epoch,test_acc,test_loss
1,0.273,2.0017
2,0.3002,1.9356
3,0.3074,1.9762
4,0.3954,1.7083
5,0.3766,1.7344
6,0.4294,1.592
7,0.403,1.6145
8,0.4388,1.5656
9,0.4196,1.6179
10,0.4452,1.5428
11,0.4644,1.497
12,0.4312,1.5965
13,0.4608,1.5261
14,0.4546,1.5463
15,0.4666,1.5066
16,0.4034,1.6499
17,0.4536,1.549
18,0.4736,1.4889
19,0.4642,1.5262
20,0.4498,1.595
21,0.4774,1.5341
22,0.472,1.5523
23,0.4496,1.7018
24,0.456,1.5985
25,0.429,1.7613
26,0.4464,1.7245
27,0.4124,1.8359
28,0.4042,1.8756
29,0.4094,1.9856
30,0.436,1.8892
