epoch,lr,test_acc,test_loss
1,0.01,0.273,2.0017
2,0.009973,0.298,1.9385
3,0.009891,0.3024,1.9922
4,0.009755,0.3988,1.6995
5,0.009568,0.3668,1.7573
6,0.00933,0.4284,1.5954
7,0.009045,0.4104,1.612
8,0.008716,0.4406,1.5701
9,0.008346,0.4326,1.5876
10,0.007939,0.4494,1.5205
11,0.0075,0.4584,1.5012
12,0.007034,0.4462,1.5424
13,0.006545,0.468,1.5034
14,0.00604,0.46,1.5213
15,0.005523,0.4798,1.461
16,0.005,0.4314,1.5799
17,0.004477,0.4676,1.4898
18,0.00396,0.4906,1.422
19,0.003455,0.4768,1.4796
20,0.002966,0.4984,1.4409
21,0.0025,0.501,1.4295
22,0.002061,0.5028,1.4245
23,0.001654,0.4938,1.4563
24,0.001284,0.494,1.4367
25,0.000955,0.4996,1.4317
26,0.00067,0.5042,1.4235
27,0.000432,0.5044,1.4243
28,0.000245,0.5036,1.4243
29,0.000109,0.501,1.4237
30,2.7e-05,0.5036,1.4225
