stage,epoch,val_acc,val_loss,test_acc,test_loss
1,1,0.251,2.0602,0.2514,2.0679
1,2,0.28,2.0451,0.2734,2.0487
1,3,0.347,1.8027,0.3432,1.8092
1,4,0.3285,1.8419,0.3198,1.8511
1,5,0.32,1.8471,0.3224,1.8577
1,6,0.3845,1.6835,0.3882,1.6907
1,7,0.3895,1.6544,0.4002,1.673
1,8,0.412,1.5973,0.4162,1.614
1,9,0.3955,1.6694,0.3792,1.6865
1,10,0.3815,1.6613,0.385,1.6773
1,11,0.4245,1.5945,0.4142,1.6164
1,12,0.355,1.8181,0.3454,1.8495
1,13,0.3945,1.639,0.3932,1.6658
1,14,0.406,1.6335,0.3996,1.6632
1,15,0.347,1.9833,0.3352,2.0098
1,16,0.3885,1.7401,0.365,1.7635
1,17,0.3925,1.7395,0.3832,1.7753
1,18,0.4515,1.6197,0.4338,1.6644
1,19,0.4735,1.5134,0.4562,1.5388
1,20,0.4515,1.5656,0.4458,1.5897
1,21,0.428,1.7464,0.4112,1.788
1,22,0.4375,1.6491,0.4342,1.6864
1,23,0.44,1.6406,0.4376,1.6677
1,24,0.416,1.7173,0.4074,1.7373
1,25,0.3865,2.0132,0.36,2.0459
1,26,0.425,1.7164,0.4352,1.7361
1,27,0.409,1.8479,0.3896,1.9279
1,28,0.354,2.2545,0.3326,2.3105
1,29,0.297,2.6484,0.2864,2.7062
1,30,0.367,2.2027,0.3452,2.2687
2,1,,,0.2812,2.0133
2,2,,,0.2468,2.0673
2,3,,,0.3486,1.8276
2,4,,,0.2762,1.9288
2,5,,,0.3622,1.7466
2,6,,,0.3906,1.6637
2,7,,,0.3712,1.7438
2,8,,,0.367,1.7133
2,9,,,0.41,1.6692
2,10,,,0.4214,1.6084
2,11,,,0.4382,1.5425
2,12,,,0.458,1.5161
2,13,,,0.3002,2.0254
2,14,,,0.4216,1.6294
2,15,,,0.4536,1.535
2,16,,,0.44,1.5832
2,17,,,0.4364,1.6126
2,18,,,0.4644,1.5051
2,19,,,0.4084,1.7178
