stage,epoch,val_acc,val_loss,test_acc,test_loss
1,1,0.2405,2.0895,0.2612,2.0573
1,2,0.21,2.1871,0.2376,2.1363
1,3,0.2095,2.1935,0.2386,2.1593
1,4,0.335,1.8042,0.3486,1.7562
1,5,0.2545,2.0066,0.283,1.9612
1,6,0.357,1.7999,0.365,1.7517
1,7,0.264,2.1229,0.2738,2.0653
1,8,0.369,1.763,0.3872,1.7187
1,9,0.398,1.6426,0.3974,1.6292
1,10,0.4085,1.635,0.4232,1.5918
1,11,0.3125,1.9632,0.3166,1.9176
1,12,0.389,1.6403,0.4058,1.6227
1,13,0.4105,1.6655,0.4264,1.6333
1,14,0.4075,1.6856,0.407,1.6706
1,15,0.4305,1.5682,0.4406,1.5476
1,16,0.3895,1.7384,0.3866,1.744
1,17,0.4035,1.7598,0.4,1.7632
1,18,0.367,1.8332,0.3848,1.7928
1,19,0.4255,1.7327,0.4148,1.7297
1,20,0.3975,1.6888,0.3928,1.7106
1,21,0.4065,1.7232,0.4234,1.6972
1,22,0.406,1.7026,0.409,1.7061
1,23,0.375,1.8699,0.3868,1.8631
1,24,0.3935,1.9387,0.3984,1.882
1,25,0.4235,1.6988,0.435,1.701
1,26,0.406,1.8751,0.4144,1.8637
1,27,0.3985,1.9531,0.3904,1.9723
1,28,0.379,1.9601,0.373,1.9884
1,29,0.4195,1.7367,0.4314,1.7329
1,30,0.3875,2.0745,0.3974,2.0743
2,1,,,0.1756,2.4066
2,2,,,0.3044,1.8871
2,3,,,0.3162,1.8935
2,4,,,0.3556,1.8254
2,5,,,0.3824,1.7123
2,6,,,0.406,1.6869
2,7,,,0.4282,1.5789
2,8,,,0.3962,1.662
2,9,,,0.4278,1.578
2,10,,,0.4554,1.4864
2,11,,,0.4518,1.5187
2,12,,,0.4434,1.5541
2,13,,,0.4612,1.5013
2,14,,,0.4,1.6959
2,15,,,0.3788,1.8236
