round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.126,2.3035,0.12,0.014587,11347800
2,0.1739,2.2746,0.1774,0.016815,11347800
3,0.1989,2.1876,0.1925,0.017605,11347800
4,0.2392,2.0873,0.2426,0.026092,11347800
5,0.2558,2.0398,0.2589,0.022677,11347800
6,0.2852,1.9609,0.2893,0.024749,11347800
7,0.283,1.9606,0.2843,0.027651,11347800
8,0.2698,1.9742,0.2682,0.01845,11347800
9,0.3021,1.9075,0.3002,0.024073,11347800
10,0.3194,1.8854,0.3029,0.019087,11347800
11,0.3258,1.8497,0.3203,0.018342,11347800
12,0.326,1.8551,0.3202,0.017492,11347800
13,0.3349,1.8309,0.3218,0.016989,11347800
14,0.3443,1.7905,0.3424,0.01681,11347800
15,0.3543,1.7773,0.3434,0.013635,11347800
16,0.3346,1.8406,0.3345,0.014783,11347800
17,0.3603,1.7491,0.3491,0.011728,11347800
18,0.3578,1.7665,0.3565,0.009931,11347800
19,0.3635,1.7434,0.3625,0.01006,11347800
20,0.3711,1.7271,0.3591,0.012668,11347800
21,0.3783,1.703,0.3803,0.010469,11347800
22,0.3745,1.7296,0.364,0.01005,11347800
23,0.3889,1.6758,0.3866,0.010788,11347800
24,0.3913,1.6694,0.3884,0.00824,11347800
25,0.3899,1.6733,0.3873,0.00951,11347800
26,0.3896,1.6646,0.39,0.008676,11347800
27,0.3921,1.6749,0.3859,0.008961,11347800
28,0.3944,1.6515,0.3979,0.009618,11347800
29,0.4019,1.6378,0.4064,0.009354,11347800
30,0.4042,1.6351,0.4039,0.009256,11347800
31,0.4084,1.6235,0.4136,0.009356,11347800
32,0.4142,1.6092,0.4131,0.010301,11347800
33,0.4068,1.6252,0.4157,0.008399,11347800
34,0.4138,1.6103,0.4139,0.010726,11347800
35,0.4135,1.6149,0.414,0.010583,11347800
36,0.4219,1.5978,0.4262,0.009546,11347800
37,0.4144,1.6078,0.4228,0.008518,11347800
38,0.4196,1.5948,0.4305,0.008621,11347800
39,0.4247,1.589,0.4387,0.008488,11347800
40,0.4251,1.5829,0.4311,0.011882,11347800
41,0.425,1.5791,0.4368,0.008538,11347800
42,0.4311,1.5668,0.4416,0.00745,11347800
43,0.4339,1.5641,0.4379,0.00989,11347800
44,0.4386,1.5452,0.4557,0.009117,11347800
45,0.4351,1.5689,0.4464,0.010239,11347800
46,0.4318,1.5691,0.4438,0.010113,11347800
47,0.4368,1.5681,0.4465,0.008998,11347800
48,0.4337,1.5656,0.4505,0.009419,11347800
49,0.4414,1.5579,0.4463,0.009869,11347800
50,0.4303,1.5858,0.4403,0.010976,11347800
51,0.4368,1.5662,0.4509,0.006979,11347800
52,0.4419,1.5582,0.4613,0.008761,11347800
53,0.4485,1.5384,0.4635,0.007859,11347800
54,0.4503,1.5466,0.465,0.009755,11347800
55,0.4423,1.5705,0.456,0.009099,11347800
56,0.447,1.5424,0.4702,0.009198,11347800
57,0.4443,1.5565,0.4617,0.010281,11347800
58,0.4549,1.5324,0.4732,0.00788,11347800
59,0.451,1.5385,0.4738,0.007726,11347800
60,0.4495,1.5387,0.4708,0.007764,11347800
