round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1762,2.2793,0.1679,5.2e-05,11347800
2,0.2316,2.2157,0.2263,8.2e-05,11347800
3,0.247,2.1517,0.24,7.8e-05,11347800
4,0.253,2.0907,0.2495,7.6e-05,11347800
5,0.279,2.0335,0.2765,4.6e-05,11347800
6,0.2932,1.9921,0.2917,5.6e-05,11347800
7,0.2998,1.9681,0.3028,0.00011,11347800
8,0.289,1.9608,0.2992,8.2e-05,11347800
9,0.3098,1.9143,0.318,7.5e-05,11347800
10,0.316,1.906,0.3191,0.000187,11347800
11,0.3306,1.8708,0.3338,0.000146,11347800
12,0.33,1.8648,0.3379,9.3e-05,11347800
13,0.3366,1.8426,0.3462,0.000139,11347800
14,0.346,1.8284,0.3525,8.4e-05,11347800
15,0.3432,1.8416,0.3496,8.2e-05,11347800
16,0.3506,1.8026,0.3626,9.7e-05,11347800
17,0.3622,1.7808,0.3714,0.000122,11347800
18,0.3712,1.7661,0.3788,0.000113,11347800
19,0.3636,1.7668,0.3778,8e-05,11347800
20,0.3768,1.7464,0.3831,0.00012,11347800
21,0.3674,1.7521,0.3773,9.9e-05,11347800
22,0.38,1.7243,0.3896,8.8e-05,11347800
23,0.3794,1.7246,0.3907,5.8e-05,11347800
24,0.3902,1.7076,0.3975,7.6e-05,11347800
25,0.3922,1.6963,0.4037,8.7e-05,11347800
26,0.3878,1.6956,0.401,9e-05,11347800
27,0.3978,1.6738,0.4133,0.000109,11347800
28,0.3984,1.665,0.419,0.000126,11347800
29,0.4068,1.6543,0.4284,0.00012,11347800
30,0.3876,1.6713,0.4135,9.1e-05,11347800
31,0.4088,1.6476,0.4225,9.3e-05,11347800
32,0.4148,1.6278,0.439,8.3e-05,11347800
33,0.406,1.6451,0.4312,9.6e-05,11347800
34,0.4154,1.6219,0.4414,0.00013,11347800
35,0.4154,1.6292,0.4415,0.000113,11347800
36,0.4192,1.6136,0.4486,0.000136,11347800
37,0.4112,1.6309,0.4447,9.9e-05,11347800
38,0.4242,1.5978,0.4561,7.8e-05,11347800
39,0.415,1.6082,0.454,0.000114,11347800
40,0.431,1.5827,0.4618,9.3e-05,11347800
41,0.4186,1.6213,0.4529,8.8e-05,11347800
42,0.4252,1.6007,0.4534,0.000132,11347800
43,0.4308,1.5771,0.4686,0.000143,11347800
44,0.4378,1.5677,0.4744,0.000109,11347800
45,0.438,1.5631,0.4785,0.000106,11347800
46,0.4442,1.5508,0.4879,0.000124,11347800
47,0.4394,1.5576,0.4809,7.4e-05,11347800
48,0.4428,1.5466,0.4896,7.9e-05,11347800
49,0.4364,1.5576,0.481,0.000142,11347800
50,0.4412,1.5526,0.4856,0.000102,11347800
51,0.4406,1.5515,0.493,9.6e-05,11347800
52,0.4452,1.5455,0.4922,9.7e-05,11347800
53,0.446,1.542,0.4986,0.000114,11347800
54,0.4432,1.5461,0.4975,0.000189,11347800
55,0.4552,1.5249,0.5098,7.9e-05,11347800
56,0.445,1.5473,0.5044,8.5e-05,11347800
57,0.456,1.5217,0.5106,0.000143,11347800
58,0.4578,1.5134,0.523,0.000106,11347800
59,0.4632,1.5054,0.5286,8.4e-05,11347800
60,0.4588,1.508,0.5279,0.000128,11347800
