round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1004,2.3442,0.1381,0.033318,11347800
2,0.114,2.3293,0.1514,0.042464,11347800
3,0.1154,2.3106,0.1164,0.029611,11347800
4,0.1166,2.3,0.1158,0.024773,11347800
5,0.1074,2.2942,0.1072,0.016835,11347800
6,0.1172,2.2907,0.1135,0.012985,11347800
7,0.127,2.2886,0.1256,0.013344,11347800
8,0.1326,2.2865,0.1289,0.010405,11347800
9,0.1422,2.2841,0.143,0.010562,11347800
10,0.1474,2.2818,0.1508,0.008734,11347800
11,0.1582,2.2797,0.1584,0.012618,11347800
12,0.1634,2.2778,0.1631,0.009308,11347800
13,0.1676,2.2758,0.1685,0.01119,11347800
14,0.1732,2.2737,0.1696,0.01407,11347800
15,0.178,2.2717,0.1754,0.013888,11347800
16,0.18,2.2696,0.1774,0.014316,11347800
17,0.186,2.2675,0.18,0.015167,11347800
18,0.1878,2.2649,0.1842,0.014201,11347800
19,0.1934,2.2625,0.1866,0.015924,11347800
20,0.1954,2.2606,0.1872,0.016539,11347800
21,0.1964,2.2584,0.1889,0.016259,11347800
22,0.2002,2.256,0.194,0.014889,11347800
23,0.2022,2.2539,0.1924,0.018866,11347800
24,0.206,2.2513,0.1969,0.015503,11347800
25,0.2068,2.2492,0.19,0.019315,11347800
26,0.2074,2.2467,0.1999,0.02026,11347800
27,0.2104,2.2441,0.1983,0.016888,11347800
28,0.211,2.2414,0.2023,0.021056,11347800
29,0.2162,2.2385,0.1992,0.018538,11347800
30,0.2074,2.2356,0.2077,0.021229,11347800
31,0.2166,2.2326,0.2023,0.018501,11347800
32,0.2124,2.2293,0.2111,0.024107,11347800
33,0.2174,2.2264,0.205,0.018322,11347800
34,0.2196,2.223,0.2101,0.021455,11347800
35,0.2174,2.2196,0.2109,0.018526,11347800
36,0.213,2.2163,0.216,0.02328,11347800
37,0.2252,2.2136,0.2026,0.020772,11347800
38,0.2078,2.2106,0.2164,0.028147,11347800
39,0.2224,2.2077,0.1972,0.024587,11347800
40,0.2016,2.2049,0.2134,0.030082,11347800
41,0.2226,2.2024,0.1887,0.027581,11347800
42,0.1976,2.1993,0.2097,0.041119,11347800
43,0.2246,2.2,0.1752,0.036137,11347800
44,0.1784,2.1982,0.2007,0.051936,11347800
45,0.2116,2.2035,0.1648,0.04199,11347800
46,0.1582,2.2153,0.1836,0.064985,11347800
47,0.193,2.2357,0.1494,0.04721,11347800
48,0.148,2.247,0.1731,0.070237,11347800
49,0.1858,2.2659,0.149,0.046857,11347800
50,0.1582,2.2547,0.1831,0.042862,11347800
51,0.1906,2.2481,0.1602,0.048145,11347800
52,0.1606,2.2407,0.184,0.044338,11347800
53,0.192,2.2274,0.1608,0.049695,11347800
54,0.17,2.2188,0.1941,0.032915,11347800
55,0.2006,2.2056,0.1735,0.049558,11347800
56,0.1826,2.2035,0.2028,0.02715,11347800
57,0.209,2.2004,0.1769,0.046104,11347800
58,0.1804,2.1964,0.2071,0.02892,11347800
59,0.2134,2.1909,0.1744,0.045307,11347800
60,0.184,2.1908,0.2105,0.026995,11347800
