round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1394,2.2936,0.144,0.015795,11347800
2,0.1662,2.2476,0.2067,0.023094,11347800
3,0.1538,2.3093,0.2094,0.034036,11347800
4,0.1628,2.3457,0.2143,0.036678,11347800
5,0.173,2.3561,0.2174,0.03238,11347800
6,0.2098,2.1814,0.245,0.027374,11347800
7,0.2366,2.074,0.2537,0.020238,11347800
8,0.257,2.0622,0.2589,0.013521,11347800
9,0.2694,1.9659,0.2785,0.015188,11347800
10,0.2882,1.913,0.303,0.012285,11347800
11,0.2904,1.9443,0.3282,0.013988,11347800
12,0.2782,1.9749,0.3258,0.021949,11347800
13,0.2846,1.9339,0.333,0.026438,11347800
14,0.3078,1.8915,0.3488,0.023759,11347800
15,0.3266,1.8706,0.3593,0.015324,11347800
16,0.33,1.8651,0.3694,0.015028,11347800
17,0.3422,1.8148,0.3789,0.01203,11347800
18,0.3588,1.7688,0.3983,0.008914,11347800
19,0.3666,1.7603,0.4052,0.009906,11347800
20,0.3632,1.7764,0.4023,0.012302,11347800
21,0.363,1.7638,0.403,0.012643,11347800
22,0.3612,1.7696,0.4027,0.015277,11347800
23,0.3598,1.795,0.3988,0.016537,11347800
24,0.3604,1.7827,0.4048,0.016609,11347800
25,0.3708,1.7363,0.4131,0.012865,11347800
26,0.3802,1.7025,0.4189,0.009992,11347800
27,0.3926,1.6742,0.4243,0.006977,11347800
28,0.3956,1.6646,0.4282,0.00619,11347800
29,0.4014,1.6584,0.4301,0.007021,11347800
30,0.3972,1.6837,0.4322,0.008441,11347800
31,0.3904,1.7148,0.4344,0.011213,11347800
32,0.38,1.724,0.4387,0.013263,11347800
33,0.3798,1.7257,0.4414,0.013273,11347800
34,0.3882,1.6988,0.4389,0.011574,11347800
35,0.4012,1.6482,0.4505,0.007791,11347800
36,0.418,1.6217,0.4589,0.004847,11347800
37,0.43,1.618,0.4547,0.005895,11347800
38,0.424,1.6227,0.4568,0.004561,11347800
39,0.4178,1.6402,0.4558,0.002936,11347800
40,0.405,1.6793,0.4543,0.004781,11347800
41,0.4014,1.7071,0.4589,0.008508,11347800
42,0.4104,1.7026,0.4689,0.010534,11347800
43,0.4118,1.6852,0.47,0.009881,11347800
44,0.4252,1.6589,0.4732,0.008215,11347800
45,0.429,1.6293,0.4761,0.00722,11347800
46,0.4352,1.6078,0.4813,0.006089,11347800
47,0.43,1.607,0.4813,0.00491,11347800
48,0.4172,1.6487,0.4806,0.005387,11347800
49,0.4144,1.6854,0.486,0.006524,11347800
50,0.4154,1.7218,0.4873,0.006086,11347800
51,0.4282,1.7055,0.4897,0.007911,11347800
52,0.4312,1.6855,0.4929,0.007988,11347800
53,0.4366,1.6782,0.4928,0.009105,11347800
54,0.4318,1.6839,0.4924,0.008232,11347800
55,0.4278,1.6857,0.4935,0.008883,11347800
56,0.4182,1.7279,0.4897,0.008257,11347800
57,0.4158,1.7643,0.4925,0.007455,11347800
58,0.42,1.7813,0.4995,0.005365,11347800
59,0.4208,1.7946,0.5041,0.005946,11347800
60,0.427,1.7948,0.5115,0.005739,11347800
