round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1546,2.2498,0.1674,0.005914,11347800
2,0.2452,2.137,0.2442,0.006149,11347800
3,0.2756,2.0659,0.274,0.004668,11347800
4,0.2974,2.0007,0.2937,0.003028,11347800
5,0.3086,1.9537,0.3071,0.003368,11347800
6,0.3216,1.9224,0.3235,0.003406,11347800
7,0.3278,1.8944,0.3255,0.003216,11347800
8,0.3266,1.8785,0.3297,0.003501,11347800
9,0.333,1.8593,0.3292,0.002047,11347800
10,0.3502,1.8334,0.3479,0.003256,11347800
11,0.3544,1.8072,0.3518,0.002802,11347800
12,0.3614,1.7866,0.3654,0.001725,11347800
13,0.3608,1.7838,0.3663,0.002876,11347800
14,0.3712,1.7596,0.3738,0.00295,11347800
15,0.3698,1.7631,0.3703,0.002025,11347800
16,0.3792,1.7365,0.3836,0.001778,11347800
17,0.3744,1.73,0.3845,0.002077,11347800
18,0.3834,1.719,0.3891,0.002483,11347800
19,0.385,1.7088,0.3902,0.00226,11347800
20,0.3942,1.6917,0.4042,0.002749,11347800
21,0.3864,1.7031,0.3929,0.001686,11347800
22,0.3942,1.687,0.4042,0.001221,11347800
23,0.3986,1.6767,0.4084,0.001915,11347800
24,0.4058,1.6594,0.4123,0.002693,11347800
25,0.4096,1.6478,0.4197,0.002151,11347800
26,0.4068,1.6493,0.4174,0.001396,11347800
27,0.4118,1.6392,0.4238,0.001479,11347800
28,0.4178,1.6288,0.4288,0.00169,11347800
29,0.4164,1.6264,0.4265,0.001776,11347800
30,0.4244,1.6058,0.441,0.001845,11347800
31,0.427,1.5992,0.4453,0.001071,11347800
32,0.426,1.5968,0.4498,0.001191,11347800
33,0.4174,1.6197,0.4395,0.001508,11347800
34,0.421,1.6077,0.4414,0.0027,11347800
35,0.433,1.5733,0.4601,0.00136,11347800
36,0.4324,1.573,0.4576,0.00182,11347800
37,0.4278,1.5683,0.4567,0.001899,11347800
38,0.4376,1.5688,0.4639,0.001847,11347800
39,0.4352,1.5689,0.468,0.000907,11347800
40,0.442,1.5646,0.469,0.002205,11347800
41,0.438,1.5469,0.4736,0.0015,11347800
42,0.4394,1.5473,0.4765,0.002195,11347800
43,0.4406,1.5553,0.476,0.001037,11347800
44,0.4428,1.5413,0.4835,0.001595,11347800
45,0.4434,1.5361,0.4845,0.001617,11347800
46,0.4434,1.5301,0.4888,0.001798,11347800
47,0.4488,1.5238,0.4949,0.002068,11347800
48,0.4518,1.5208,0.498,0.000904,11347800
49,0.4466,1.5241,0.4971,0.001838,11347800
50,0.4538,1.5187,0.5017,0.00058,11347800
51,0.4486,1.5226,0.5038,0.000802,11347800
52,0.45,1.5171,0.5022,0.001035,11347800
53,0.4558,1.5162,0.5097,0.001248,11347800
54,0.4528,1.5134,0.5118,0.001132,11347800
55,0.4568,1.5085,0.5096,0.001456,11347800
56,0.4514,1.5122,0.5095,0.001868,11347800
57,0.4586,1.5094,0.5175,0.001175,11347800
58,0.454,1.5122,0.5144,0.000882,11347800
59,0.4606,1.5017,0.5242,0.001447,11347800
60,0.4586,1.5039,0.5202,0.001181,11347800
