round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.198,2.2305,0.194,0.000111,11347800
2,0.2374,2.1479,0.2333,0.00012,11347800
3,0.2576,2.0788,0.2549,0.000105,11347800
4,0.2812,2.0361,0.2689,0.000127,11347800
5,0.286,2.0004,0.2812,0.00015,11347800
6,0.303,1.9622,0.2997,0.000147,11347800
7,0.307,1.9349,0.3093,0.000195,11347800
8,0.317,1.9114,0.3193,0.000157,11347800
9,0.3202,1.8839,0.3258,0.000107,11347800
10,0.3272,1.8768,0.3292,0.00013,11347800
11,0.333,1.8596,0.3416,0.000127,11347800
12,0.3448,1.824,0.3563,0.000155,11347800
13,0.3514,1.8059,0.3636,0.000124,11347800
14,0.3592,1.795,0.3676,8.6e-05,11347800
15,0.3656,1.7899,0.3678,0.000109,11347800
16,0.3654,1.7739,0.374,0.000119,11347800
17,0.372,1.7601,0.3809,0.000117,11347800
18,0.3766,1.7405,0.3885,0.000105,11347800
19,0.3778,1.7289,0.3951,0.000135,11347800
20,0.3872,1.7132,0.4017,0.000132,11347800
21,0.3964,1.6979,0.4045,0.000137,11347800
22,0.3888,1.6891,0.4105,0.000197,11347800
23,0.4024,1.6812,0.4149,0.00016,11347800
24,0.4044,1.6637,0.4226,0.00017,11347800
25,0.4004,1.6789,0.4176,0.000167,11347800
26,0.405,1.6603,0.4313,0.000108,11347800
27,0.4138,1.6354,0.4396,0.000143,11347800
28,0.4148,1.6343,0.4401,0.00013,11347800
29,0.4228,1.625,0.445,0.000164,11347800
30,0.4198,1.6149,0.4472,0.000186,11347800
31,0.4252,1.6,0.4555,0.000132,11347800
32,0.4338,1.5843,0.4686,0.000112,11347800
33,0.4344,1.5984,0.4583,0.000142,11347800
34,0.438,1.576,0.4695,9.6e-05,11347800
35,0.4382,1.5707,0.4757,0.000167,11347800
36,0.4418,1.5641,0.4766,0.000152,11347800
37,0.442,1.5618,0.4766,8.8e-05,11347800
38,0.4468,1.5575,0.4815,0.000107,11347800
39,0.4488,1.5514,0.4842,0.00013,11347800
40,0.436,1.5774,0.4777,0.000123,11347800
41,0.4522,1.5481,0.4883,0.000127,11347800
42,0.4534,1.5325,0.4995,0.000161,11347800
43,0.4548,1.53,0.5022,0.000103,11347800
44,0.4452,1.5273,0.4979,0.000112,11347800
45,0.4564,1.5207,0.5067,0.000106,11347800
46,0.455,1.5316,0.5026,8.1e-05,11347800
47,0.4628,1.5189,0.5068,0.000103,11347800
48,0.4602,1.5133,0.5117,0.000114,11347800
49,0.4602,1.5169,0.5097,0.000101,11347800
50,0.4566,1.5194,0.5153,0.000101,11347800
51,0.4592,1.5135,0.5181,0.00013,11347800
52,0.4686,1.5,0.5205,9.3e-05,11347800
53,0.4672,1.4923,0.5329,0.000107,11347800
54,0.4664,1.4957,0.5348,0.000135,11347800
55,0.468,1.4839,0.5408,0.000112,11347800
56,0.4676,1.503,0.5322,0.000111,11347800
57,0.4724,1.4893,0.5412,8.4e-05,11347800
58,0.4632,1.4961,0.5428,8.4e-05,11347800
59,0.4678,1.4993,0.5369,9.8e-05,11347800
60,0.4788,1.4809,0.5499,0.000102,11347800
