round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.289,2.0506,0.2602,0.002593,11347800
2,0.3294,1.8809,0.3033,0.00473,11347800
3,0.3444,1.8296,0.3283,0.001665,11347800
4,0.3718,1.7436,0.3607,0.002331,11347800
5,0.3982,1.6781,0.3796,0.001562,11347800
6,0.3952,1.6654,0.3893,0.001522,11347800
7,0.4232,1.6136,0.4195,0.001924,11347800
8,0.4204,1.5891,0.431,0.002052,11347800
9,0.4356,1.569,0.4343,0.002799,11347800
10,0.4398,1.5589,0.4379,0.002379,11347800
11,0.4422,1.5632,0.4281,0.005376,11347800
12,0.4374,1.5506,0.4421,0.003799,11347800
13,0.4614,1.5085,0.4572,0.003349,11347800
14,0.4616,1.5271,0.4651,0.00224,11347800
15,0.471,1.4965,0.4713,0.002945,11347800
16,0.4658,1.5029,0.4676,0.003826,11347800
17,0.4488,1.5849,0.4407,0.004189,11347800
18,0.4756,1.4863,0.4821,0.00498,11347800
19,0.4622,1.519,0.4863,0.004395,11347800
20,0.4748,1.4932,0.49,0.005733,11347800
21,0.4744,1.5132,0.4982,0.007208,11347800
22,0.4638,1.565,0.4747,0.011231,11347800
23,0.4512,1.6245,0.4711,0.008555,11347800
24,0.4408,1.6634,0.4682,0.006991,11347800
25,0.4696,1.593,0.4903,0.010807,11347800
26,0.457,1.6221,0.4859,0.011989,11347800
27,0.4628,1.6222,0.5027,0.010388,11347800
28,0.4522,1.6471,0.4991,0.013903,11347800
29,0.4612,1.6859,0.4919,0.014595,11347800
30,0.4606,1.7443,0.507,0.011295,11347800
31,0.4442,1.8044,0.4952,0.012425,11347800
32,0.4582,1.8017,0.5003,0.012082,11347800
33,0.4546,1.8294,0.5063,0.015457,11347800
34,0.4578,1.8274,0.5149,0.016688,11347800
35,0.4556,1.8407,0.5036,0.01783,11347800
36,0.457,1.889,0.5055,0.020283,11347800
37,0.4614,1.9109,0.5233,0.019254,11347800
38,0.433,2.0696,0.4995,0.014597,11347800
39,0.4574,1.9741,0.5181,0.022501,11347800
40,0.457,1.9227,0.5345,0.020412,11347800
41,0.4562,2.065,0.5349,0.020442,11347800
42,0.4578,2.0541,0.5339,0.023964,11347800
43,0.448,2.1179,0.5113,0.024501,11347800
44,0.4582,2.0612,0.5402,0.025974,11347800
45,0.4568,2.0827,0.5386,0.026491,11347800
46,0.445,2.1578,0.5263,0.025901,11347800
47,0.46,2.1431,0.5433,0.027875,11347800
48,0.45,2.2144,0.5397,0.027246,11347800
49,0.4546,2.2009,0.5468,0.028082,11347800
50,0.4524,2.2153,0.554,0.025875,11347800
51,0.4528,2.218,0.5579,0.025857,11347800
52,0.4556,2.2574,0.5479,0.030659,11347800
53,0.4542,2.2751,0.5607,0.028008,11347800
54,0.4534,2.2766,0.564,0.027918,11347800
55,0.4442,2.2787,0.5376,0.033572,11347800
56,0.4516,2.2951,0.5669,0.029438,11347800
57,0.4532,2.4441,0.5609,0.030953,11347800
58,0.4488,2.3664,0.5688,0.028686,11347800
59,0.4542,2.3664,0.5674,0.031928,11347800
60,0.4558,2.3906,0.5747,0.03175,11347800
