round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1512,2.2686,0.179,0.018444,11347800
2,0.1876,2.1935,0.2289,0.026058,11347800
3,0.171,2.1937,0.2224,0.0325,11347800
4,0.209,2.1246,0.253,0.02733,11347800
5,0.2248,2.0657,0.2495,0.029688,11347800
6,0.2316,2.0352,0.2764,0.031309,11347800
7,0.2524,2.0036,0.3033,0.027084,11347800
8,0.2606,1.9718,0.3156,0.024811,11347800
9,0.274,1.9295,0.3265,0.022467,11347800
10,0.2832,1.9071,0.3327,0.023055,11347800
11,0.2922,1.89,0.3423,0.023437,11347800
12,0.2932,1.8762,0.3487,0.022526,11347800
13,0.3054,1.8464,0.3526,0.01977,11347800
14,0.3118,1.865,0.3581,0.016865,11347800
15,0.3174,1.8119,0.3657,0.019866,11347800
16,0.3064,1.8419,0.3507,0.0239,11347800
17,0.3306,1.7892,0.372,0.016885,11347800
18,0.3308,1.7876,0.3796,0.019278,11347800
19,0.338,1.7801,0.3758,0.018006,11347800
20,0.3508,1.7454,0.3946,0.012612,11347800
21,0.3502,1.7574,0.3823,0.015776,11347800
22,0.3246,1.801,0.3738,0.023956,11347800
23,0.3458,1.7618,0.3953,0.020315,11347800
24,0.3518,1.7493,0.3968,0.016911,11347800
25,0.3676,1.6978,0.4091,0.010692,11347800
26,0.3746,1.6919,0.4145,0.012919,11347800
27,0.3774,1.7061,0.41,0.006017,11347800
28,0.375,1.6897,0.4096,0.012072,11347800
29,0.3862,1.6749,0.4135,0.008118,11347800
30,0.379,1.6724,0.4248,0.009032,11347800
31,0.3864,1.6618,0.4259,0.011971,11347800
32,0.3882,1.6459,0.4349,0.01239,11347800
33,0.377,1.6729,0.4234,0.013967,11347800
34,0.4018,1.6305,0.4501,0.007663,11347800
35,0.3936,1.6363,0.4431,0.009499,11347800
36,0.3986,1.6566,0.4216,0.007694,11347800
37,0.4046,1.6166,0.4422,0.006702,11347800
38,0.3938,1.6472,0.4462,0.008454,11347800
39,0.405,1.6099,0.4479,0.006324,11347800
40,0.4034,1.6348,0.4468,0.009395,11347800
41,0.4028,1.6164,0.4504,0.010374,11347800
42,0.4072,1.607,0.4532,0.009787,11347800
43,0.407,1.6023,0.4561,0.007305,11347800
44,0.4324,1.5643,0.4686,0.003884,11347800
45,0.4166,1.5936,0.4643,0.009449,11347800
46,0.4072,1.6256,0.4528,0.012711,11347800
47,0.4094,1.5979,0.4577,0.008608,11347800
48,0.4288,1.5761,0.4709,0.006259,11347800
49,0.4208,1.5851,0.4736,0.006181,11347800
50,0.4166,1.6068,0.4673,0.008835,11347800
51,0.419,1.5965,0.4654,0.007763,11347800
52,0.4188,1.5894,0.474,0.007429,11347800
53,0.4138,1.6061,0.4667,0.010793,11347800
54,0.4262,1.5922,0.4731,0.010575,11347800
55,0.4272,1.5741,0.48,0.005361,11347800
56,0.3976,1.6441,0.4663,0.01269,11347800
57,0.4248,1.5821,0.4819,0.00673,11347800
58,0.4316,1.5775,0.4857,0.006289,11347800
59,0.4254,1.5867,0.486,0.006868,11347800
60,0.4352,1.5729,0.4863,0.005873,11347800
