round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1512,2.2364,0.1555,0.000146,11347800
2,0.1924,2.1964,0.1935,0.000174,11347800
3,0.2362,2.129,0.2419,0.000164,11347800
4,0.289,2.0704,0.2827,0.000109,11347800
5,0.2774,2.0307,0.2766,6.2e-05,11347800
6,0.2974,2.0029,0.2925,0.000125,11347800
7,0.2766,1.9845,0.2759,0.000104,11347800
8,0.3118,1.9306,0.3122,0.000128,11347800
9,0.3258,1.8917,0.3235,0.000146,11347800
10,0.317,1.9118,0.311,0.000132,11347800
11,0.3348,1.8701,0.3301,0.000121,11347800
12,0.3388,1.8539,0.3341,0.000161,11347800
13,0.3308,1.8879,0.3257,0.000156,11347800
14,0.3216,1.8585,0.3191,0.000265,11347800
15,0.358,1.8009,0.3523,0.000188,11347800
16,0.363,1.7879,0.3564,0.000196,11347800
17,0.3506,1.7925,0.352,0.000194,11347800
18,0.359,1.7852,0.3601,0.000165,11347800
19,0.3484,1.7861,0.3524,0.000225,11347800
20,0.38,1.757,0.3693,0.000236,11347800
21,0.3672,1.7533,0.3674,0.000157,11347800
22,0.368,1.7789,0.3607,0.000226,11347800
23,0.3844,1.7181,0.3884,0.000229,11347800
24,0.3878,1.7149,0.3893,0.000203,11347800
25,0.3656,1.7612,0.3669,0.000144,11347800
26,0.3566,1.8071,0.3646,0.0002,11347800
27,0.3956,1.6967,0.3881,0.00016,11347800
28,0.3934,1.6825,0.4,0.000158,11347800
29,0.3928,1.6809,0.3997,0.000147,11347800
30,0.3882,1.7083,0.3975,0.000119,11347800
31,0.3772,1.7008,0.3893,0.000154,11347800
32,0.4038,1.6554,0.4108,0.000182,11347800
33,0.3946,1.661,0.41,0.000106,11347800
34,0.412,1.6442,0.4154,0.000173,11347800
35,0.417,1.6386,0.4229,0.000158,11347800
36,0.4106,1.6427,0.4235,0.000181,11347800
37,0.3744,1.766,0.3837,0.000128,11347800
38,0.4062,1.6342,0.4265,0.000115,11347800
39,0.4166,1.6261,0.4331,0.000143,11347800
40,0.4186,1.62,0.4344,0.000172,11347800
41,0.4156,1.6048,0.4387,0.000199,11347800
42,0.4136,1.6174,0.4268,0.00013,11347800
43,0.4216,1.5908,0.4457,0.000126,11347800
44,0.425,1.5834,0.4468,0.000159,11347800
45,0.4222,1.608,0.4367,0.000182,11347800
46,0.4332,1.5735,0.4456,0.000175,11347800
47,0.4214,1.5836,0.444,0.000188,11347800
48,0.4286,1.5905,0.4551,0.000158,11347800
49,0.4082,1.6373,0.4391,0.00015,11347800
50,0.4394,1.5453,0.4704,0.000154,11347800
51,0.4216,1.5772,0.4571,0.000201,11347800
52,0.4366,1.5522,0.4704,0.000147,11347800
53,0.424,1.567,0.46,0.000196,11347800
54,0.4366,1.5498,0.4695,0.000161,11347800
55,0.4402,1.5419,0.4805,0.000169,11347800
56,0.4468,1.5255,0.4879,0.000221,11347800
57,0.4436,1.5304,0.4859,0.000221,11347800
58,0.4312,1.5376,0.48,0.000253,11347800
59,0.4426,1.5236,0.4885,0.000181,11347800
60,0.4494,1.5234,0.492,0.000353,11347800
