round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1532,2.2503,0.1645,0.00577,11347800
2,0.2508,2.1344,0.2484,0.006686,11347800
3,0.2848,2.061,0.2795,0.005054,11347800
4,0.2966,1.9963,0.2954,0.002765,11347800
5,0.3112,1.9512,0.3085,0.003079,11347800
6,0.3132,1.9301,0.3169,0.003186,11347800
7,0.3258,1.898,0.3224,0.003401,11347800
8,0.3324,1.8761,0.3337,0.003792,11347800
9,0.3368,1.8568,0.3356,0.001766,11347800
10,0.3444,1.8478,0.3413,0.004232,11347800
11,0.3486,1.8206,0.3502,0.002733,11347800
12,0.3552,1.8016,0.3634,0.002027,11347800
13,0.3548,1.8003,0.3615,0.003342,11347800
14,0.362,1.7774,0.3695,0.003353,11347800
15,0.361,1.7717,0.3694,0.002317,11347800
16,0.3648,1.754,0.3766,0.001783,11347800
17,0.3734,1.7491,0.3788,0.002903,11347800
18,0.3758,1.7369,0.3818,0.003225,11347800
19,0.3808,1.7244,0.3875,0.002712,11347800
20,0.3776,1.7201,0.3945,0.003434,11347800
21,0.3808,1.7174,0.3869,0.002292,11347800
22,0.3864,1.7067,0.396,0.002269,11347800
23,0.3838,1.7066,0.3904,0.004826,11347800
24,0.386,1.6999,0.3962,0.003179,11347800
25,0.3972,1.6834,0.4069,0.002788,11347800
26,0.407,1.6736,0.4082,0.001997,11347800
27,0.401,1.6698,0.4112,0.003304,11347800
28,0.4062,1.6625,0.4146,0.002668,11347800
29,0.403,1.6663,0.4135,0.002704,11347800
30,0.4132,1.6393,0.4228,0.003696,11347800
31,0.4058,1.6504,0.4172,0.00357,11347800
32,0.4034,1.6465,0.4245,0.001982,11347800
33,0.4116,1.6388,0.4266,0.0019,11347800
34,0.407,1.6436,0.4164,0.003764,11347800
35,0.411,1.6331,0.4264,0.003913,11347800
36,0.417,1.6223,0.4335,0.003483,11347800
37,0.4216,1.6151,0.4347,0.002918,11347800
38,0.421,1.6198,0.4395,0.003849,11347800
39,0.4132,1.6121,0.444,0.002376,11347800
40,0.4194,1.6176,0.4389,0.005882,11347800
41,0.4286,1.5941,0.4522,0.003659,11347800
42,0.4258,1.5895,0.4498,0.002622,11347800
43,0.4262,1.5906,0.4551,0.002173,11347800
44,0.4266,1.5895,0.4524,0.004233,11347800
45,0.4348,1.5735,0.46,0.003921,11347800
46,0.4304,1.5774,0.4625,0.004101,11347800
47,0.4354,1.5677,0.4656,0.003223,11347800
48,0.442,1.5664,0.4684,0.002847,11347800
49,0.4394,1.5642,0.4685,0.003625,11347800
50,0.4394,1.5571,0.4743,0.002308,11347800
51,0.4362,1.5641,0.4711,0.002275,11347800
52,0.4398,1.5543,0.4737,0.002415,11347800
53,0.436,1.5507,0.4757,0.00253,11347800
54,0.4344,1.5575,0.473,0.002712,11347800
55,0.4458,1.5391,0.482,0.002415,11347800
56,0.4378,1.5519,0.4746,0.004268,11347800
57,0.4438,1.5334,0.4902,0.002435,11347800
58,0.4398,1.5395,0.4812,0.00219,11347800
59,0.439,1.5447,0.4809,0.005057,11347800
60,0.441,1.5415,0.4848,0.003193,11347800
