round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.2012,2.2304,0.1968,0.000116,11347800
2,0.24,2.1491,0.2325,0.000106,11347800
3,0.2612,2.0788,0.255,0.000121,11347800
4,0.2802,2.0363,0.2692,0.000137,11347800
5,0.2882,1.9998,0.2814,0.000165,11347800
6,0.2982,1.9695,0.2975,0.000157,11347800
7,0.3094,1.9333,0.3102,0.000194,11347800
8,0.318,1.914,0.3183,0.000148,11347800
9,0.3204,1.8855,0.3265,9e-05,11347800
10,0.328,1.8814,0.3275,0.000142,11347800
11,0.3304,1.8634,0.3408,0.000151,11347800
12,0.3426,1.8256,0.3545,0.000139,11347800
13,0.3498,1.8099,0.361,0.000106,11347800
14,0.3556,1.8008,0.3639,8.8e-05,11347800
15,0.3632,1.7969,0.3675,0.0001,11347800
16,0.3652,1.7792,0.3735,0.00019,11347800
17,0.37,1.7726,0.3743,0.000136,11347800
18,0.3708,1.7467,0.3838,8.8e-05,11347800
19,0.3752,1.7301,0.3932,0.000146,11347800
20,0.386,1.719,0.3971,0.000121,11347800
21,0.394,1.7074,0.3977,0.000191,11347800
22,0.3854,1.6992,0.4062,0.000176,11347800
23,0.3998,1.6838,0.4121,0.000123,11347800
24,0.4006,1.6682,0.4212,0.000133,11347800
25,0.4006,1.682,0.4161,0.000137,11347800
26,0.4022,1.6728,0.4229,0.000124,11347800
27,0.4138,1.6405,0.4368,0.000161,11347800
28,0.4126,1.6452,0.4336,0.000148,11347800
29,0.418,1.6346,0.4413,0.000149,11347800
30,0.4188,1.6236,0.4407,0.000185,11347800
31,0.4176,1.6124,0.4477,0.000163,11347800
32,0.4356,1.5925,0.4635,0.000156,11347800
33,0.4316,1.6026,0.4566,0.000144,11347800
34,0.4292,1.5857,0.4642,0.000106,11347800
35,0.435,1.5757,0.4697,0.000191,11347800
36,0.4384,1.5712,0.472,0.000161,11347800
37,0.4354,1.5674,0.474,0.00013,11347800
38,0.4384,1.5602,0.4785,0.000137,11347800
39,0.4444,1.5556,0.477,0.000114,11347800
40,0.4344,1.5783,0.4709,0.000101,11347800
41,0.4512,1.549,0.4834,0.000118,11347800
42,0.4492,1.5365,0.4916,0.000157,11347800
43,0.4474,1.5341,0.4918,0.000131,11347800
44,0.4458,1.5328,0.4898,0.000107,11347800
45,0.4544,1.5272,0.4967,0.000143,11347800
46,0.4524,1.5342,0.4933,0.000149,11347800
47,0.4618,1.5229,0.4969,0.000133,11347800
48,0.4552,1.5189,0.5019,0.000138,11347800
49,0.4636,1.5152,0.5006,0.000125,11347800
50,0.453,1.5163,0.5061,0.000112,11347800
51,0.4542,1.5185,0.5024,0.000188,11347800
52,0.4676,1.4973,0.5116,0.000117,11347800
53,0.4676,1.493,0.5203,0.000199,11347800
54,0.4666,1.4969,0.519,0.000192,11347800
55,0.4696,1.4858,0.5234,0.000163,11347800
56,0.4642,1.5025,0.5173,0.00012,11347800
57,0.4702,1.4857,0.5265,0.000159,11347800
58,0.4668,1.4905,0.5248,0.000155,11347800
59,0.4646,1.4864,0.5247,0.000111,11347800
60,0.474,1.4775,0.5327,0.000174,11347800
