stage,epoch,val_acc,val_loss,test_acc,test_loss
1,1,0.2506,2.0286,0.2302,2.112
1,2,0.3147,1.713,0.5401,1.3011
1,3,0.3197,1.6581,0.4931,1.3264
1,4,0.4052,1.4694,0.5661,1.2305
1,5,0.5163,1.2443,0.6115,1.0017
1,6,0.5953,1.0961,0.6753,0.8816
1,7,0.5128,1.2524,0.5895,1.0591
1,8,0.4932,1.274,0.5991,1.0677
1,9,0.4327,1.4463,0.5523,1.2786
1,10,0.4887,1.3827,0.6235,1.0433
1,11,0.4872,1.3211,0.5651,1.1837
1,12,0.6158,1.0102,0.7081,0.8094
1,13,0.3787,2.0084,0.5189,1.8037
1,14,0.4207,1.4483,0.5123,1.2574
1,15,0.6283,0.9813,0.7009,0.7937
1,16,0.5398,1.1707,0.6235,1.0012
1,17,0.6098,1.0462,0.7131,0.8425
1,18,0.6578,0.9378,0.7391,0.7761
1,19,0.4932,1.4845,0.6067,1.1714
1,20,0.3732,1.8779,0.4323,1.8028
1,21,0.5783,1.0426,0.5915,1.0042
1,22,0.5083,1.4225,0.5667,1.4506
1,23,0.6623,0.9178,0.6883,0.8557
1,24,0.5728,1.1779,0.6273,1.1194
1,25,0.6198,1.0251,0.7075,0.8249
1,26,0.4097,1.8641,0.5985,1.4065
1,27,0.5893,1.177,0.6417,1.0094
1,28,0.5578,1.1762,0.6751,0.8882
1,29,0.6283,1.0654,0.6297,1.0636
1,30,0.6663,0.9319,0.6753,1.002
2,1,,,0.3227,1.8482
2,2,,,0.5457,1.2641
2,3,,,0.2975,1.8846
2,4,,,0.5807,1.1768
2,5,,,0.6707,0.9201
2,6,,,0.6097,1.002
2,7,,,0.5467,1.2164
2,8,,,0.6249,1.0409
2,9,,,0.6681,0.9191
2,10,,,0.6275,1.0016
2,11,,,0.7125,0.8348
2,12,,,0.6823,0.9047
2,13,,,0.6941,0.872
2,14,,,0.7307,0.7592
2,15,,,0.6559,0.9383
2,16,,,0.6233,1.0553
2,17,,,0.7069,0.8281
2,18,,,0.7532,0.7164
2,19,,,0.6477,0.949
2,20,,,0.7259,0.8016
2,21,,,0.7363,0.7369
2,22,,,0.6765,0.8801
2,23,,,0.7109,0.8204
2,24,,,0.6595,0.9313
2,25,,,0.4393,1.585
2,26,,,0.7089,0.8264
2,27,,,0.7243,0.8538
2,28,,,0.6733,0.9017
2,29,,,0.7177,0.7835
2,30,,,0.6349,1.0988
