epoch,test_acc,test_loss
1,0.3227,1.8482
2,0.5457,1.2641
3,0.2975,1.8846
4,0.5807,1.1768
5,0.6707,0.9201
6,0.6097,1.002
7,0.5467,1.2164
8,0.6249,1.0409
9,0.6681,0.9191
10,0.6275,1.0016
11,0.7125,0.8348
12,0.6823,0.9047
13,0.6941,0.872
14,0.7307,0.7592
15,0.6559,0.9383
16,0.6233,1.0553
17,0.7069,0.8281
18,0.7532,0.7164
19,0.6477,0.949
20,0.7259,0.8016
21,0.7363,0.7369
22,0.6765,0.8801
23,0.7109,0.8204
24,0.6595,0.9313
25,0.4393,1.585
26,0.7089,0.8264
27,0.7243,0.8538
28,0.6733,0.9017
29,0.7177,0.7835
30,0.6349,1.0988
