epoch,lr,test_acc,test_loss
1,0.01,0.3227,1.8482
2,0.009973,0.3913,1.5729
3,0.009891,0.2681,2.0161
4,0.009755,0.5393,1.1713
5,0.009568,0.6533,0.9681
6,0.00933,0.5919,1.0242
7,0.009045,0.5365,1.2611
8,0.008716,0.5711,1.1785
9,0.008346,0.6893,0.8861
10,0.007939,0.6255,1.023
11,0.0075,0.6951,0.8528
12,0.007034,0.6865,0.8726
13,0.006545,0.6827,0.8617
14,0.00604,0.7231,0.7862
15,0.005523,0.6925,0.8404
16,0.005,0.5389,1.255
17,0.004477,0.6613,0.8923
18,0.00396,0.7596,0.6949
19,0.003455,0.7241,0.8132
20,0.002966,0.7504,0.7096
21,0.0025,0.7608,0.7083
22,0.002061,0.7477,0.7466
23,0.001654,0.7347,0.7519
24,0.001284,0.7349,0.7673
25,0.000955,0.7017,0.8616
26,0.00067,0.755,0.7442
27,0.000432,0.7654,0.7184
28,0.000245,0.7594,0.7208
29,0.000109,0.7592,0.7183
30,2.7e-05,0.7614,0.7203
