round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1802,2.1098,0.1318,0.006751,7899420
2,0.3647,1.906,0.2331,0.011595,7899420
3,0.4793,1.7907,0.3359,0.006331,7899420
4,0.3987,1.7122,0.3191,0.006851,7899420
5,0.5129,1.534,0.3603,0.006365,7899420
6,0.4623,1.5269,0.3456,0.006044,7899420
7,0.5281,1.4453,0.3651,0.006005,7899420
8,0.5491,1.2987,0.3893,0.006715,7899420
9,0.5497,1.3031,0.3827,0.006257,7899420
10,0.5975,1.2013,0.4019,0.006286,7899420
11,0.5681,1.2158,0.3978,0.006915,7899420
12,0.6069,1.135,0.423,0.005443,7899420
13,0.5753,1.158,0.417,0.005663,7899420
14,0.6145,1.0724,0.4732,0.004609,7899420
15,0.5891,1.0996,0.4477,0.007974,7899420
16,0.6085,1.0828,0.45,0.004737,7899420
17,0.5947,1.1174,0.4385,0.006162,7899420
18,0.6077,1.0274,0.4969,0.006725,7899420
19,0.5927,1.127,0.4395,0.006462,7899420
20,0.6105,1.0357,0.5128,0.005745,7899420
21,0.6307,1.0316,0.5169,0.0039,7899420
22,0.6493,0.99,0.5376,0.003997,7899420
23,0.6355,1.0408,0.502,0.002935,7899420
24,0.6391,1.0002,0.5174,0.003482,7899420
25,0.6599,0.9767,0.5514,0.004236,7899420
26,0.6445,0.9769,0.5312,0.003433,7899420
27,0.6417,0.9586,0.5497,0.005858,7899420
28,0.6711,0.9582,0.559,0.00443,7899420
29,0.6527,0.9611,0.5553,0.004014,7899420
30,0.6713,0.9348,0.5701,0.005427,7899420
31,0.6571,0.9372,0.5674,0.00712,7899420
32,0.6581,0.9083,0.5672,0.009,7899420
33,0.6697,0.9073,0.58,0.00588,7899420
34,0.6731,0.902,0.5789,0.005255,7899420
35,0.6769,0.898,0.5874,0.006608,7899420
36,0.6633,0.9013,0.5848,0.00618,7899420
37,0.6743,0.8791,0.5829,0.007271,7899420
38,0.6759,0.87,0.5913,0.007592,7899420
39,0.6753,0.8795,0.5891,0.005984,7899420
40,0.6867,0.9102,0.5956,0.004251,7899420
41,0.6931,0.8622,0.595,0.006005,7899420
42,0.6863,0.8806,0.6012,0.005877,7899420
43,0.6881,0.8698,0.6058,0.006092,7899420
44,0.6731,0.8626,0.6024,0.006933,7899420
45,0.6879,0.8634,0.5994,0.006921,7899420
46,0.6943,0.8589,0.6068,0.005323,7899420
47,0.6967,0.8625,0.6132,0.005658,7899420
48,0.6973,0.8584,0.6121,0.005094,7899420
49,0.6971,0.8478,0.6106,0.006282,7899420
50,0.7019,0.8493,0.6202,0.005816,7899420
51,0.6859,0.836,0.6059,0.007801,7899420
52,0.6847,0.8627,0.6196,0.007034,7899420
53,0.6853,0.8415,0.611,0.007627,7899420
54,0.6951,0.8366,0.6295,0.006455,7899420
55,0.6949,0.8378,0.6177,0.007034,7899420
56,0.6973,0.8149,0.6256,0.006555,7899420
57,0.6895,0.8275,0.6094,0.008867,7899420
58,0.6909,0.8584,0.634,0.005148,7899420
59,0.6847,0.8387,0.6159,0.007353,7899420
60,0.7051,0.8131,0.6306,0.00664,7899420
