round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.3807,2.0961,0.2939,0.000156,7899420
2,0.4553,1.9011,0.3269,0.000229,7899420
3,0.3387,1.9095,0.2955,0.000357,7899420
4,0.3901,1.8736,0.3109,0.000242,7899420
5,0.4649,1.5119,0.365,0.000134,7899420
6,0.3887,1.7016,0.3059,0.00018,7899420
7,0.4903,1.4789,0.3888,0.000188,7899420
8,0.3965,1.5985,0.3118,0.0002,7899420
9,0.4781,1.5673,0.3285,0.00022,7899420
10,0.5067,1.4672,0.3794,0.000182,7899420
11,0.5631,1.2286,0.4283,0.000283,7899420
12,0.5335,1.3015,0.3922,0.000325,7899420
13,0.5739,1.2137,0.4236,0.000421,7899420
14,0.5471,1.2079,0.4171,0.000223,7899420
15,0.5703,1.1513,0.4829,0.000288,7899420
16,0.6097,1.0985,0.4971,0.000161,7899420
17,0.6265,1.0789,0.5019,0.00024,7899420
18,0.5749,1.1603,0.4637,0.000237,7899420
19,0.5787,1.1261,0.4901,0.000273,7899420
20,0.6261,1.0428,0.5172,0.00022,7899420
21,0.6169,1.0039,0.5398,0.000308,7899420
22,0.6237,1.0219,0.5009,0.000102,7899420
23,0.6109,1.055,0.5118,0.000209,7899420
24,0.6339,1.0275,0.55,0.000273,7899420
25,0.5847,0.9876,0.5029,0.00022,7899420
26,0.6395,0.9806,0.5566,0.000128,7899420
27,0.6523,0.9931,0.5552,0.000169,7899420
28,0.6057,0.9914,0.554,0.000259,7899420
29,0.6203,0.9548,0.5414,0.000348,7899420
30,0.6477,0.986,0.5425,0.000218,7899420
31,0.6465,0.9209,0.5821,0.000324,7899420
32,0.6545,0.9625,0.5787,0.000245,7899420
33,0.6409,0.9294,0.5833,0.00028,7899420
34,0.6421,0.9331,0.5733,0.000287,7899420
35,0.6801,0.8772,0.5914,0.000336,7899420
36,0.6089,1.026,0.5559,0.000265,7899420
37,0.6465,0.9592,0.5522,0.000235,7899420
38,0.6919,0.8813,0.597,0.000291,7899420
39,0.6805,0.9118,0.5983,0.00031,7899420
40,0.6441,0.907,0.5563,0.000239,7899420
41,0.6357,0.9148,0.5603,0.000181,7899420
42,0.6863,0.8724,0.5981,0.000286,7899420
43,0.6429,0.898,0.5598,0.000265,7899420
44,0.6763,0.863,0.6031,0.000355,7899420
45,0.6859,0.8521,0.5956,0.000236,7899420
46,0.6917,0.8272,0.6191,0.000336,7899420
47,0.6799,0.8721,0.6117,0.000264,7899420
48,0.6887,0.8804,0.6214,0.00036,7899420
49,0.7003,0.8377,0.6294,0.000266,7899420
50,0.6879,0.8535,0.6057,0.000278,7899420
51,0.6989,0.8202,0.6335,0.000322,7899420
52,0.6749,0.8681,0.624,0.000257,7899420
53,0.6809,0.8842,0.6153,0.000299,7899420
54,0.6975,0.8572,0.627,0.000196,7899420
55,0.6581,0.9165,0.6149,0.000252,7899420
56,0.7093,0.7926,0.6314,0.000198,7899420
57,0.7177,0.8241,0.6322,0.00022,7899420
58,0.6409,1.0007,0.5971,0.000231,7899420
59,0.6931,0.8006,0.6288,0.000253,7899420
60,0.6979,0.8284,0.6371,0.000233,7899420
