round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1326,2.1977,0.0668,0.030721,7899420
2,0.1684,2.2062,0.0725,0.057545,7899420
3,0.1716,2.1998,0.0669,0.062146,7899420
4,0.1678,2.1802,0.077,0.055358,7899420
5,0.1706,2.1741,0.0682,0.06125,7899420
6,0.1638,2.1629,0.0898,0.049217,7899420
7,0.1706,2.1542,0.0681,0.0609,7899420
8,0.169,2.1457,0.1094,0.050486,7899420
9,0.1706,2.1385,0.0681,0.061034,7899420
10,0.1742,2.1324,0.1291,0.066904,7899420
11,0.1716,2.1222,0.0678,0.061618,7899420
12,0.1758,2.1173,0.1511,0.091369,7899420
13,0.1718,2.1156,0.0667,0.062222,7899420
14,0.2006,2.1167,0.2185,0.132153,7899420
15,0.1718,2.1275,0.0667,0.062222,7899420
16,0.2513,2.1365,0.2461,0.163245,7899420
17,0.1718,2.1584,0.0667,0.062222,7899420
18,0.2617,2.1523,0.2438,0.159415,7899420
19,0.1718,2.1583,0.0667,0.062222,7899420
20,0.2617,2.1196,0.2454,0.157143,7899420
21,0.1738,2.1239,0.0667,0.062222,7899420
22,0.2643,2.0912,0.2424,0.154794,7899420
23,0.2038,2.1233,0.0684,0.062018,7899420
24,0.2647,2.0774,0.2561,0.143041,7899420
25,0.2569,2.1265,0.1058,0.066962,7899420
26,0.2649,2.0724,0.2398,0.147096,7899420
27,0.2685,2.1194,0.1462,0.092768,7899420
28,0.2651,2.0559,0.2421,0.14567,7899420
29,0.2769,2.1114,0.171,0.119035,7899420
30,0.2661,2.0369,0.2357,0.143257,7899420
31,0.2803,2.1106,0.1765,0.125947,7899420
32,0.2715,2.0167,0.2517,0.136102,7899420
33,0.2809,2.094,0.1799,0.130512,7899420
34,0.3285,1.9858,0.2628,0.124895,7899420
35,0.2811,2.0997,0.1804,0.131049,7899420
36,0.3277,1.9626,0.2797,0.120848,7899420
37,0.2807,2.1302,0.1736,0.121688,7899420
38,0.3499,1.9452,0.2857,0.115542,7899420
39,0.2731,2.1457,0.149,0.080983,7899420
40,0.3659,1.9247,0.3064,0.118784,7899420
41,0.1976,2.2101,0.1241,0.062533,7899420
42,0.3281,1.9809,0.2518,0.133009,7899420
43,0.1866,2.237,0.136,0.077678,7899420
44,0.3597,1.9254,0.3501,0.177218,7899420
45,0.3051,1.9932,0.214,0.098239,7899420
46,0.3239,1.8768,0.2845,0.138594,7899420
47,0.2953,2.0671,0.2167,0.094594,7899420
48,0.3425,1.8568,0.3105,0.147018,7899420
49,0.3503,1.9897,0.2447,0.123011,7899420
50,0.3397,1.8359,0.2992,0.140186,7899420
51,0.3655,1.9654,0.2515,0.131499,7899420
52,0.3597,1.8249,0.3048,0.138847,7899420
53,0.3741,1.9032,0.2554,0.141555,7899420
54,0.2913,1.9814,0.1911,0.070833,7899420
55,0.2372,2.0492,0.1559,0.111662,7899420
56,0.1718,2.6349,0.067,0.062183,7899420
57,0.1792,2.1522,0.2587,0.130302,7899420
58,0.4223,1.8266,0.26,0.137193,7899420
59,0.3661,1.8909,0.3273,0.152575,7899420
60,0.3459,1.8285,0.1937,0.149898,7899420
