round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1912,2.1804,0.1208,0.031572,7899420
2,0.2244,2.1341,0.1443,0.038799,7899420
3,0.4613,2.1224,0.2678,0.063539,7899420
4,0.4487,2.095,0.2793,0.052182,7899420
5,0.4049,2.0243,0.2722,0.051458,7899420
6,0.3773,1.8503,0.2989,0.070068,7899420
7,0.4321,1.7824,0.315,0.072198,7899420
8,0.4915,1.5879,0.3293,0.059958,7899420
9,0.5079,1.3495,0.3418,0.062305,7899420
10,0.5181,1.3102,0.3414,0.06254,7899420
11,0.5693,1.2723,0.3791,0.070486,7899420
12,0.5395,1.2717,0.3803,0.076021,7899420
13,0.5355,1.2809,0.4189,0.076812,7899420
14,0.5393,1.2738,0.455,0.065773,7899420
15,0.5491,1.2363,0.4835,0.055666,7899420
16,0.5209,1.3,0.4426,0.069392,7899420
17,0.5051,1.3745,0.4141,0.076146,7899420
18,0.5167,1.3569,0.4201,0.083594,7899420
19,0.5135,1.2936,0.4353,0.07848,7899420
20,0.5277,1.2377,0.4769,0.052785,7899420
21,0.5425,1.2428,0.5081,0.039284,7899420
22,0.5435,1.3,0.5116,0.034943,7899420
23,0.5355,1.3321,0.5156,0.035025,7899420
24,0.5181,1.2985,0.5301,0.034975,7899420
25,0.5505,1.1839,0.5543,0.034323,7899420
26,0.5487,1.1686,0.5248,0.033203,7899420
27,0.5319,1.1793,0.4991,0.038639,7899420
28,0.5497,1.1565,0.5225,0.034399,7899420
29,0.5639,1.1127,0.5586,0.02882,7899420
30,0.5619,1.1187,0.5657,0.033214,7899420
31,0.5565,1.1453,0.5613,0.031215,7899420
32,0.5477,1.1595,0.5596,0.030947,7899420
33,0.5183,1.2174,0.5419,0.032309,7899420
34,0.5045,1.2376,0.5422,0.032915,7899420
35,0.5371,1.1702,0.5652,0.029024,7899420
36,0.5689,1.0933,0.5895,0.023599,7899420
37,0.5707,1.0898,0.606,0.031979,7899420
38,0.5575,1.1215,0.6064,0.03847,7899420
39,0.5665,1.1164,0.6018,0.03399,7899420
40,0.5645,1.1182,0.5927,0.026337,7899420
41,0.5671,1.1439,0.5657,0.024341,7899420
42,0.5783,1.1443,0.5675,0.020253,7899420
43,0.5801,1.1187,0.5977,0.021224,7899420
44,0.5913,1.0801,0.6135,0.024707,7899420
45,0.5649,1.1205,0.6115,0.023469,7899420
46,0.5139,1.2175,0.5948,0.029685,7899420
47,0.4857,1.2939,0.5663,0.04219,7899420
48,0.5421,1.1514,0.6018,0.02912,7899420
49,0.5667,1.096,0.6055,0.022078,7899420
50,0.5863,1.1023,0.6058,0.019029,7899420
51,0.5891,1.1412,0.6139,0.025958,7899420
52,0.5787,1.1735,0.6174,0.02539,7899420
53,0.5539,1.2557,0.6161,0.024093,7899420
54,0.5417,1.2687,0.6109,0.017706,7899420
55,0.5629,1.1819,0.6215,0.018099,7899420
56,0.5763,1.1487,0.6178,0.021679,7899420
57,0.5983,1.0817,0.619,0.020372,7899420
58,0.6093,1.0711,0.6236,0.022293,7899420
59,0.6047,1.0979,0.6164,0.025343,7899420
60,0.5941,1.1306,0.6238,0.025347,7899420
