round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.2543,2.079,0.1772,0.009205,7899420
2,0.3873,1.9102,0.2353,0.012869,7899420
3,0.4689,1.7468,0.3231,0.007183,7899420
4,0.4245,1.6867,0.3261,0.006767,7899420
5,0.5337,1.4442,0.363,0.007285,7899420
6,0.4871,1.4757,0.3544,0.006138,7899420
7,0.5549,1.3641,0.3805,0.007462,7899420
8,0.4333,1.5931,0.304,0.00659,7899420
9,0.5373,1.385,0.3754,0.006709,7899420
10,0.5883,1.1965,0.4011,0.006723,7899420
11,0.5799,1.1964,0.3987,0.006923,7899420
12,0.5969,1.134,0.433,0.005796,7899420
13,0.5669,1.2196,0.4034,0.005944,7899420
14,0.6133,1.0722,0.4837,0.005239,7899420
15,0.5669,1.1286,0.4354,0.008557,7899420
16,0.6115,1.0725,0.456,0.004302,7899420
17,0.6019,1.0958,0.4403,0.006116,7899420
18,0.5911,1.0441,0.4926,0.008737,7899420
19,0.6003,1.1118,0.4474,0.005987,7899420
20,0.6173,1.0524,0.4808,0.004659,7899420
21,0.6201,1.0714,0.4864,0.004319,7899420
22,0.6429,1.0182,0.5259,0.003038,7899420
23,0.6161,1.0874,0.4706,0.003767,7899420
24,0.6365,1.0022,0.5101,0.003247,7899420
25,0.6519,0.9751,0.5555,0.00519,7899420
26,0.6499,0.9605,0.5424,0.003931,7899420
27,0.6423,0.9523,0.557,0.006336,7899420
28,0.6659,0.9348,0.5656,0.005635,7899420
29,0.6625,0.9514,0.5561,0.003924,7899420
30,0.6687,0.948,0.5615,0.003791,7899420
31,0.6523,0.9337,0.5627,0.008052,7899420
32,0.6547,0.9064,0.5669,0.009004,7899420
33,0.6657,0.942,0.5746,0.004184,7899420
34,0.6499,0.9057,0.5729,0.00833,7899420
35,0.6821,0.9075,0.5862,0.005355,7899420
36,0.6675,0.8916,0.5856,0.006762,7899420
37,0.6531,0.9063,0.5796,0.008205,7899420
38,0.6805,0.8636,0.5928,0.007446,7899420
39,0.6759,0.8743,0.5902,0.006091,7899420
40,0.6949,0.8781,0.5975,0.005284,7899420
41,0.6799,0.8676,0.5809,0.007084,7899420
42,0.6793,0.9016,0.5972,0.005471,7899420
43,0.6893,0.8712,0.6035,0.005846,7899420
44,0.6821,0.858,0.6007,0.007011,7899420
45,0.6917,0.8633,0.6012,0.006522,7899420
46,0.6955,0.8468,0.6055,0.006659,7899420
47,0.6995,0.8465,0.6119,0.006066,7899420
48,0.6995,0.846,0.6134,0.006167,7899420
49,0.6977,0.8579,0.6116,0.00591,7899420
50,0.7043,0.8532,0.6206,0.00557,7899420
51,0.6683,0.8707,0.5861,0.009311,7899420
52,0.6829,0.867,0.6181,0.006769,7899420
53,0.6927,0.8357,0.6145,0.006858,7899420
54,0.7011,0.8284,0.626,0.006598,7899420
55,0.7093,0.8238,0.6278,0.006208,7899420
56,0.7039,0.8066,0.6284,0.006704,7899420
57,0.6779,0.8353,0.5865,0.010012,7899420
58,0.6905,0.8647,0.6296,0.004873,7899420
59,0.6963,0.8255,0.6258,0.006822,7899420
60,0.7071,0.8096,0.6272,0.006643,7899420
