round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1728,2.1739,0.0992,0.043013,7899420
2,0.0926,2.2464,0.1191,0.012078,7899420
3,0.3427,2.025,0.264,0.049562,7899420
4,0.4983,1.8583,0.3321,0.063817,7899420
5,0.3787,1.7646,0.2728,0.055019,7899420
6,0.4213,1.7571,0.3091,0.058408,7899420
7,0.4117,1.7172,0.3159,0.06182,7899420
8,0.4573,1.6365,0.3133,0.056081,7899420
9,0.4349,1.6212,0.3275,0.065948,7899420
10,0.5181,1.4974,0.3872,0.084805,7899420
11,0.4549,1.6095,0.3518,0.074968,7899420
12,0.4659,1.5172,0.3372,0.071131,7899420
13,0.5045,1.3943,0.3776,0.079625,7899420
14,0.5253,1.3577,0.3988,0.084378,7899420
15,0.4669,1.4183,0.3589,0.073998,7899420
16,0.5217,1.3432,0.4165,0.06212,7899420
17,0.4803,1.3988,0.3762,0.073795,7899420
18,0.5127,1.2824,0.4006,0.074408,7899420
19,0.5041,1.302,0.411,0.062977,7899420
20,0.5103,1.3018,0.4148,0.062204,7899420
21,0.5221,1.2554,0.4067,0.075393,7899420
22,0.5323,1.2744,0.395,0.060938,7899420
23,0.5051,1.3481,0.4336,0.053804,7899420
24,0.5343,1.2203,0.4355,0.068309,7899420
25,0.5087,1.2792,0.4677,0.03679,7899420
26,0.5153,1.2377,0.4272,0.05873,7899420
27,0.4777,1.3193,0.3729,0.067466,7899420
28,0.5565,1.129,0.4954,0.037011,7899420
29,0.5213,1.1664,0.4264,0.052129,7899420
30,0.5385,1.1709,0.4794,0.043078,7899420
31,0.5577,1.1161,0.5137,0.035137,7899420
32,0.5093,1.2679,0.4282,0.070448,7899420
33,0.5565,1.1338,0.4851,0.042002,7899420
34,0.5391,1.1784,0.4622,0.056766,7899420
35,0.5329,1.1881,0.4621,0.044543,7899420
36,0.5599,1.1274,0.5105,0.035704,7899420
37,0.5569,1.1466,0.4792,0.039025,7899420
38,0.5337,1.1422,0.5094,0.036736,7899420
39,0.5501,1.1016,0.5061,0.041057,7899420
40,0.5607,1.1164,0.5262,0.037969,7899420
41,0.5381,1.1223,0.4734,0.046598,7899420
42,0.5559,1.0925,0.5313,0.035929,7899420
43,0.5647,1.0578,0.5287,0.03565,7899420
44,0.5781,1.0437,0.5316,0.043015,7899420
45,0.5425,1.1317,0.4975,0.033359,7899420
46,0.5675,1.0886,0.5485,0.040708,7899420
47,0.5523,1.0925,0.495,0.041515,7899420
48,0.5715,1.1117,0.5211,0.033658,7899420
49,0.5551,1.12,0.5178,0.035854,7899420
50,0.5731,1.057,0.5502,0.041833,7899420
51,0.5733,1.0925,0.529,0.042255,7899420
52,0.5717,1.1015,0.5435,0.039766,7899420
53,0.5443,1.1719,0.4613,0.047728,7899420
54,0.5693,1.0939,0.555,0.034779,7899420
55,0.5599,1.1066,0.5395,0.040102,7899420
56,0.5651,1.1438,0.5089,0.035368,7899420
57,0.5527,1.0656,0.534,0.04269,7899420
58,0.5615,1.058,0.5492,0.042951,7899420
59,0.5243,1.316,0.4335,0.075213,7899420
60,0.5631,1.0777,0.5295,0.03383,7899420
