round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1728,2.1739,0.0992,0.043013,7899420
2,0.2977,2.1236,0.2875,0.064243,7899420
3,0.3763,1.9874,0.3176,0.077473,7899420
4,0.4325,1.8812,0.3377,0.069892,7899420
5,0.3379,1.8896,0.2705,0.061655,7899420
6,0.3789,1.7714,0.3331,0.079443,7899420
7,0.4053,1.8305,0.3271,0.060289,7899420
8,0.3855,1.7412,0.3404,0.050108,7899420
9,0.2799,2.0228,0.2859,0.073099,7899420
10,0.1922,1.7996,0.3411,0.083548,7899420
11,0.3485,1.685,0.3622,0.086733,7899420
12,0.5019,1.7012,0.3968,0.064235,7899420
13,0.3111,1.8034,0.3192,0.062112,7899420
14,0.2412,1.7887,0.3571,0.073341,7899420
15,0.3273,1.9341,0.2161,0.064465,7899420
16,0.2436,2.0668,0.3612,0.073453,7899420
17,0.3481,1.7157,0.3376,0.08006,7899420
18,0.1772,1.8035,0.3005,0.068624,7899420
19,0.2681,1.9221,0.2952,0.070018,7899420
20,0.2116,1.7807,0.3252,0.085269,7899420
21,0.2394,1.7482,0.3381,0.09496,7899420
22,0.2675,1.6264,0.3824,0.05259,7899420
23,0.2899,1.7775,0.3412,0.074461,7899420
24,0.5475,1.5112,0.3865,0.062942,7899420
25,0.4399,1.6493,0.3341,0.037801,7899420
26,0.3223,1.8165,0.4382,0.084164,7899420
27,0.4153,1.7166,0.3871,0.049536,7899420
28,0.2599,1.7948,0.3124,0.078271,7899420
29,0.4075,1.6017,0.3363,0.047361,7899420
30,0.3573,1.7707,0.3537,0.094879,7899420
31,0.3795,1.5576,0.352,0.0739,7899420
32,0.2673,2.2507,0.3337,0.08916,7899420
33,0.4241,1.6546,0.4287,0.074424,7899420
34,0.4479,1.5945,0.3891,0.097959,7899420
35,0.3849,1.5648,0.3786,0.090962,7899420
36,0.4679,1.4628,0.4578,0.047539,7899420
37,0.5445,1.5605,0.4005,0.072624,7899420
38,0.4893,1.6081,0.4461,0.074025,7899420
39,0.4691,1.4855,0.3929,0.071574,7899420
40,0.4575,1.5142,0.3966,0.094817,7899420
41,0.5101,1.4014,0.3888,0.063469,7899420
42,0.5027,1.4199,0.4206,0.082436,7899420
43,0.5389,1.4294,0.322,0.063821,7899420
44,0.4607,1.4236,0.3979,0.066589,7899420
45,0.3325,1.7214,0.3482,0.081612,7899420
46,0.3549,1.5066,0.3912,0.068193,7899420
47,0.4847,1.4845,0.3847,0.053339,7899420
48,0.4669,1.3935,0.4274,0.055896,7899420
49,0.4767,1.704,0.2999,0.072054,7899420
50,0.4349,1.4199,0.4034,0.076411,7899420
51,0.4517,1.5009,0.4074,0.073697,7899420
52,0.4521,1.3769,0.4072,0.045956,7899420
53,0.4949,1.3557,0.4541,0.044937,7899420
54,0.3941,1.478,0.3757,0.077687,7899420
55,0.3749,1.5199,0.3857,0.065439,7899420
56,0.4919,1.4419,0.5128,0.067029,7899420
57,0.4085,1.3851,0.4549,0.078284,7899420
58,0.4307,1.4237,0.4086,0.089167,7899420
59,0.5205,1.3441,0.4878,0.065425,7899420
60,0.4189,1.6716,0.3714,0.104066,7899420
