round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.3807,2.0961,0.2939,0.000156,7899420
2,0.4605,1.8711,0.3227,0.000214,7899420
3,0.4143,1.7741,0.3044,0.000292,7899420
4,0.4009,1.8534,0.3243,0.000209,7899420
5,0.4877,1.5935,0.3563,0.000241,7899420
6,0.4061,1.7022,0.3078,0.000182,7899420
7,0.5221,1.4364,0.4199,0.000163,7899420
8,0.4049,1.7053,0.2996,0.000197,7899420
9,0.5391,1.3655,0.3929,0.000246,7899420
10,0.4957,1.4694,0.3958,0.000172,7899420
11,0.5337,1.2937,0.3938,0.000305,7899420
12,0.5635,1.2494,0.4264,0.000166,7899420
13,0.5231,1.2873,0.395,0.000354,7899420
14,0.5431,1.2616,0.4036,0.000214,7899420
15,0.5689,1.1637,0.4901,0.000302,7899420
16,0.6215,1.1004,0.4929,0.000212,7899420
17,0.6253,1.1153,0.483,0.000161,7899420
18,0.5943,1.0977,0.4931,0.000243,7899420
19,0.6029,1.0927,0.5054,0.000279,7899420
20,0.5955,1.0828,0.4818,0.000195,7899420
21,0.6193,1.0156,0.5479,0.000272,7899420
22,0.6213,1.0366,0.4932,0.000143,7899420
23,0.5953,1.1317,0.481,0.0003,7899420
24,0.6317,1.0203,0.5499,0.000256,7899420
25,0.6141,0.9685,0.5264,0.000219,7899420
26,0.6313,1.0057,0.5462,0.000136,7899420
27,0.6445,1.0157,0.5267,0.000241,7899420
28,0.6169,0.9916,0.5547,0.000293,7899420
29,0.6319,0.9542,0.5667,0.000277,7899420
30,0.6305,1.0473,0.5044,0.000198,7899420
31,0.6507,0.9523,0.5796,0.000323,7899420
32,0.6577,0.9677,0.5847,0.000367,7899420
33,0.6479,0.9279,0.5851,0.000279,7899420
34,0.6313,0.9968,0.5399,0.000288,7899420
35,0.6871,0.8958,0.5907,0.000269,7899420
36,0.5681,1.0965,0.5169,0.000189,7899420
37,0.6479,0.9913,0.5555,0.000245,7899420
38,0.6889,0.8866,0.5853,0.000305,7899420
39,0.6925,0.9048,0.597,0.000313,7899420
40,0.6393,0.919,0.553,0.000268,7899420
41,0.6229,0.9341,0.5448,0.000206,7899420
42,0.6807,0.905,0.5959,0.000373,7899420
43,0.6617,0.8864,0.5801,0.000305,7899420
44,0.6895,0.8662,0.6115,0.000332,7899420
45,0.6847,0.8781,0.5886,0.000171,7899420
46,0.6791,0.8623,0.6159,0.000331,7899420
47,0.6801,0.871,0.6202,0.000331,7899420
48,0.6737,0.9316,0.5965,0.000336,7899420
49,0.7017,0.8402,0.6224,0.000228,7899420
50,0.6781,0.8692,0.5881,0.000249,7899420
51,0.6987,0.8246,0.6306,0.000307,7899420
52,0.6781,0.8953,0.609,0.00039,7899420
53,0.6935,0.846,0.6261,0.000279,7899420
54,0.7027,0.842,0.6255,0.000254,7899420
55,0.6743,0.8851,0.628,0.000288,7899420
56,0.7109,0.8019,0.6213,0.000262,7899420
57,0.7203,0.8381,0.6404,0.000225,7899420
58,0.6605,0.9599,0.5979,0.000237,7899420
59,0.6775,0.8425,0.6139,0.00029,7899420
60,0.7015,0.8233,0.6421,0.000332,7899420
