round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.1024,2.3288,0.0759,0.009867,11347800,11347800,0
2,0.1038,2.3347,0.0762,0.020995,11347800,11347800,0
3,0.1086,2.3278,0.0832,0.016757,11347800,11347800,0
4,0.1228,2.3096,0.0872,0.015813,11347800,11347800,0
5,0.1252,2.3086,0.0877,0.011759,11347800,11347800,0
6,0.1298,2.3056,0.0834,0.00801,11347800,11347800,0
7,0.131,2.3006,0.0907,0.013883,11347800,11347800,0
8,0.1254,2.2994,0.1004,0.009847,11347800,11347800,0
9,0.1098,2.309,0.0934,0.01456,11347800,11347800,0
10,0.112,2.3151,0.1011,0.017858,11347800,11347800,0
11,0.13,2.3005,0.1161,0.018892,11347800,11347800,0
12,0.123,2.2909,0.1254,0.03493,11347800,11347800,0
13,0.1128,2.2945,0.1164,0.031269,11347800,11347800,0
14,0.1282,2.28,0.1223,0.014248,11347800,11347800,0
15,0.1128,2.2931,0.1161,0.033085,11347800,11347800,0
16,0.138,2.2762,0.116,0.008395,11347800,11347800,0
17,0.1364,2.2681,0.1482,0.040588,11347800,11347800,0
18,0.1176,2.2734,0.1353,0.05138,11347800,11347800,0
19,0.127,2.2612,0.126,0.022198,11347800,11347800,0
20,0.155,2.2512,0.1339,0.005767,11347800,11347800,0
21,0.1514,2.261,0.1531,0.011616,11347800,11347800,0
22,0.1588,2.253,0.1654,0.024658,11347800,11347800,0
23,0.1296,2.2551,0.1336,0.024,11347800,11347800,0
24,0.1496,2.2394,0.1485,0.020984,11347800,11347800,0
25,0.1674,2.2307,0.164,0.00616,11347800,11347800,0
26,0.1734,2.2324,0.1805,0.01613,11347800,11347800,0
27,0.1868,2.2194,0.187,0.010971,11347800,11347800,0
28,0.1764,2.2312,0.1818,0.014629,11347800,11347800,0
29,0.1772,2.2342,0.1776,0.014186,11347800,11347800,0
30,0.1726,2.2247,0.164,0.006323,11347800,11347800,0
31,0.1794,2.2319,0.1621,0.005356,11347800,11347800,0
32,0.1616,2.2159,0.1658,0.012661,11347800,11347800,0
33,0.1748,2.228,0.1852,0.023541,11347800,11347800,0
34,0.2018,2.2046,0.1886,0.007506,11347800,11347800,0
35,0.165,2.2099,0.1843,0.03537,11347800,11347800,0
36,0.167,2.2281,0.1851,0.038566,11347800,11347800,0
37,0.1808,2.214,0.168,0.00906,11347800,11347800,0
38,0.2042,2.1856,0.1863,0.006594,11347800,11347800,0
39,0.208,2.1971,0.1959,0.012514,11347800,11347800,0
40,0.1952,2.1978,0.2004,0.011488,11347800,11347800,0
41,0.2112,2.1738,0.2028,0.00777,11347800,11347800,0
42,0.218,2.1753,0.2071,0.006419,11347800,11347800,0
43,0.2184,2.1765,0.2082,0.006164,11347800,11347800,0
44,0.2104,2.1879,0.2044,0.017314,11347800,11347800,0
45,0.2,2.1748,0.1911,0.011379,11347800,11347800,0
46,0.2066,2.1729,0.2052,0.01883,11347800,11347800,0
47,0.2098,2.1795,0.2132,0.02547,11347800,11347800,0
48,0.2188,2.1648,0.2137,0.021449,11347800,11347800,0
49,0.2206,2.1473,0.2037,0.019939,11347800,11347800,0
50,0.225,2.1424,0.2019,0.012907,11347800,11347800,0
51,0.2144,2.1729,0.2106,0.019903,11347800,11347800,0
52,0.2204,2.1332,0.2088,0.012652,11347800,11347800,0
53,0.2168,2.1329,0.1903,0.010262,11347800,11347800,0
54,0.2052,2.1536,0.1942,0.012534,11347800,11347800,0
55,0.207,2.1624,0.1809,0.008995,11347800,11347800,0
56,0.2264,2.1282,0.179,0.009196,11347800,11347800,0
57,0.2348,2.1065,0.2018,0.008788,11347800,11347800,0
58,0.2304,2.118,0.2063,0.012383,11347800,11347800,0
59,0.2222,2.1647,0.2004,0.009377,11347800,11347800,0
60,0.2384,2.1057,0.2124,0.007647,11347800,11347800,0
