round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.105,2.3089,0.1038,0.002483,11347800,11347800,0
2,0.107,2.3022,0.1001,0.004268,11347800,11347800,0
3,0.11,2.2959,0.1081,0.004116,11347800,11347800,0
4,0.1212,2.2911,0.1106,0.003089,11347800,11347800,0
5,0.118,2.2893,0.1016,0.002853,11347800,11347800,0
6,0.1194,2.2856,0.1107,0.002224,11347800,11347800,0
7,0.1336,2.2817,0.1241,0.001877,11347800,11347800,0
8,0.1532,2.2776,0.1441,0.001451,11347800,11347800,0
9,0.1502,2.2731,0.1407,0.002172,11347800,11347800,0
10,0.1328,2.273,0.1213,0.002225,11347800,11347800,0
11,0.14,2.2682,0.1332,0.001665,11347800,11347800,0
12,0.1506,2.2636,0.1454,0.001184,11347800,11347800,0
13,0.1544,2.2617,0.1444,0.001299,11347800,11347800,0
14,0.1434,2.2569,0.1374,0.001781,11347800,11347800,0
15,0.1352,2.2546,0.1255,0.002005,11347800,11347800,0
16,0.1262,2.2577,0.1195,0.002394,11347800,11347800,0
17,0.139,2.2578,0.1305,0.002124,11347800,11347800,0
18,0.1462,2.2522,0.1359,0.002038,11347800,11347800,0
19,0.154,2.2441,0.1404,0.001604,11347800,11347800,0
20,0.1452,2.2392,0.1352,0.002085,11347800,11347800,0
21,0.1694,2.2353,0.1583,0.001973,11347800,11347800,0
22,0.1642,2.2333,0.1504,0.001854,11347800,11347800,0
23,0.1882,2.226,0.1665,0.002166,11347800,11347800,0
24,0.1732,2.223,0.1608,0.002208,11347800,11347800,0
25,0.167,2.217,0.1557,0.001893,11347800,11347800,0
26,0.177,2.2192,0.1633,0.002366,11347800,11347800,0
27,0.1852,2.2077,0.173,0.001585,11347800,11347800,0
28,0.2006,2.2065,0.1972,0.001899,11347800,11347800,0
29,0.2012,2.2014,0.1949,0.001836,11347800,11347800,0
30,0.1836,2.201,0.1719,0.002147,11347800,11347800,0
31,0.1802,2.2033,0.176,0.001306,11347800,11347800,0
32,0.1862,2.1987,0.1779,0.002169,11347800,11347800,0
33,0.1866,2.1933,0.176,0.001215,11347800,11347800,0
34,0.1982,2.1871,0.1839,0.001579,11347800,11347800,0
35,0.1924,2.1882,0.1764,0.001392,11347800,11347800,0
36,0.1978,2.1823,0.186,0.001307,11347800,11347800,0
37,0.1952,2.1812,0.1874,0.001317,11347800,11347800,0
38,0.2006,2.177,0.1832,0.001319,11347800,11347800,0
39,0.1976,2.1664,0.1879,0.001425,11347800,11347800,0
40,0.2042,2.1739,0.1959,0.002325,11347800,11347800,0
41,0.2188,2.1695,0.2098,0.002778,11347800,11347800,0
42,0.2088,2.1618,0.2061,0.002222,11347800,11347800,0
43,0.2108,2.1621,0.2024,0.00253,11347800,11347800,0
44,0.2042,2.1634,0.1948,0.002092,11347800,11347800,0
45,0.211,2.1625,0.2108,0.002095,11347800,11347800,0
46,0.219,2.1604,0.2124,0.003317,11347800,11347800,0
47,0.2226,2.1591,0.2142,0.002397,11347800,11347800,0
48,0.2284,2.154,0.2187,0.00296,11347800,11347800,0
49,0.2332,2.1487,0.2194,0.002976,11347800,11347800,0
50,0.236,2.1422,0.2189,0.002824,11347800,11347800,0
51,0.221,2.1475,0.2118,0.004973,11347800,11347800,0
52,0.2278,2.1429,0.2137,0.003874,11347800,11347800,0
53,0.2244,2.1354,0.21,0.003254,11347800,11347800,0
54,0.2208,2.132,0.2042,0.002061,11347800,11347800,0
55,0.228,2.1316,0.2117,0.002721,11347800,11347800,0
56,0.2278,2.1236,0.221,0.002746,11347800,11347800,0
57,0.229,2.1216,0.2147,0.001777,11347800,11347800,0
58,0.2116,2.1279,0.1923,0.002649,11347800,11347800,0
59,0.228,2.1239,0.2159,0.002734,11347800,11347800,0
60,0.2218,2.1216,0.2078,0.002176,11347800,11347800,0
