round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0948,2.3067,0.0939,3.9e-05,11347800,11347800,0
2,0.098,2.2982,0.101,0.000112,11347800,11347800,0
3,0.1028,2.2921,0.1041,0.000127,11347800,11347800,0
4,0.1072,2.2869,0.1086,7.8e-05,11347800,11347800,0
5,0.114,2.2834,0.1149,8.6e-05,11347800,11347800,0
6,0.122,2.2796,0.1256,7.5e-05,11347800,11347800,0
7,0.127,2.2748,0.1316,8.9e-05,11347800,11347800,0
8,0.145,2.2697,0.1466,0.00011,11347800,11347800,0
9,0.1444,2.2648,0.1448,8.9e-05,11347800,11347800,0
10,0.1642,2.2599,0.1629,8.9e-05,11347800,11347800,0
11,0.1696,2.2558,0.1687,7.6e-05,11347800,11347800,0
12,0.1752,2.25,0.1758,9.1e-05,11347800,11347800,0
13,0.176,2.2448,0.1726,8.9e-05,11347800,11347800,0
14,0.187,2.2401,0.1814,7.7e-05,11347800,11347800,0
15,0.185,2.2339,0.1835,8.1e-05,11347800,11347800,0
16,0.1884,2.2303,0.1854,7.4e-05,11347800,11347800,0
17,0.2,2.2247,0.1922,9.1e-05,11347800,11347800,0
18,0.2066,2.2185,0.1979,7.5e-05,11347800,11347800,0
19,0.205,2.2133,0.198,8.2e-05,11347800,11347800,0
20,0.2112,2.2067,0.2029,8.7e-05,11347800,11347800,0
21,0.213,2.2011,0.2033,6.7e-05,11347800,11347800,0
22,0.219,2.195,0.2085,0.000121,11347800,11347800,0
23,0.2252,2.1888,0.2158,8.6e-05,11347800,11347800,0
24,0.2312,2.1834,0.2175,0.000109,11347800,11347800,0
25,0.229,2.1787,0.2179,0.000101,11347800,11347800,0
26,0.2342,2.1729,0.2224,0.000141,11347800,11347800,0
27,0.236,2.1673,0.2262,0.000201,11347800,11347800,0
28,0.238,2.1622,0.228,0.000185,11347800,11347800,0
29,0.239,2.1572,0.2314,0.000174,11347800,11347800,0
30,0.2416,2.1526,0.2333,0.000159,11347800,11347800,0
31,0.2426,2.1482,0.2327,0.000136,11347800,11347800,0
32,0.2462,2.1443,0.2341,0.000122,11347800,11347800,0
33,0.2454,2.1397,0.2364,0.00016,11347800,11347800,0
34,0.2504,2.1355,0.2372,0.000141,11347800,11347800,0
35,0.254,2.1325,0.2374,0.000182,11347800,11347800,0
36,0.2548,2.1284,0.2415,0.000225,11347800,11347800,0
37,0.254,2.1253,0.2413,0.000172,11347800,11347800,0
38,0.2544,2.121,0.2421,0.000166,11347800,11347800,0
39,0.2546,2.1169,0.2447,0.000144,11347800,11347800,0
40,0.2536,2.1131,0.2439,0.000132,11347800,11347800,0
41,0.2562,2.1095,0.2466,0.000151,11347800,11347800,0
42,0.2534,2.1074,0.2463,0.000145,11347800,11347800,0
43,0.2536,2.1039,0.2484,0.00015,11347800,11347800,0
44,0.2544,2.1003,0.2495,0.000156,11347800,11347800,0
45,0.2566,2.098,0.2518,0.0002,11347800,11347800,0
46,0.255,2.0949,0.2494,0.000141,11347800,11347800,0
47,0.256,2.0921,0.251,0.000199,11347800,11347800,0
48,0.2592,2.0888,0.2535,0.000146,11347800,11347800,0
49,0.2596,2.086,0.2537,0.000185,11347800,11347800,0
50,0.2604,2.0831,0.2572,0.000189,11347800,11347800,0
51,0.2604,2.0803,0.2572,0.000211,11347800,11347800,0
52,0.261,2.0777,0.2576,0.000176,11347800,11347800,0
53,0.2592,2.0752,0.2566,0.000207,11347800,11347800,0
54,0.2602,2.0726,0.258,0.000182,11347800,11347800,0
55,0.2598,2.0706,0.2578,0.000166,11347800,11347800,0
56,0.2628,2.0683,0.26,0.000159,11347800,11347800,0
57,0.2612,2.0661,0.2613,0.000212,11347800,11347800,0
58,0.2626,2.0646,0.2614,0.000195,11347800,11347800,0
59,0.2656,2.0616,0.2616,0.000205,11347800,11347800,0
60,0.2634,2.0596,0.2637,0.00019,11347800,11347800,0
