round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.1016,2.3288,0.0756,0.009849,11347800,11347800,0
2,0.1042,2.3346,0.0762,0.021017,11347800,11347800,0
3,0.108,2.3277,0.0836,0.016747,11347800,11347800,0
4,0.1236,2.3095,0.087,0.015832,11347800,11347800,0
5,0.125,2.3085,0.0878,0.011857,11347800,11347800,0
6,0.1286,2.3055,0.0836,0.008053,11347800,11347800,0
7,0.131,2.3006,0.0909,0.013904,11347800,11347800,0
8,0.1256,2.2994,0.1003,0.009832,11347800,11347800,0
9,0.1092,2.3089,0.0935,0.014582,11347800,11347800,0
10,0.1122,2.3149,0.1011,0.017818,11347800,11347800,0
11,0.1292,2.3005,0.1153,0.018286,11347800,11347800,0
12,0.123,2.291,0.1254,0.03492,11347800,11347800,0
13,0.1126,2.2946,0.1163,0.031317,11347800,11347800,0
14,0.127,2.2801,0.1222,0.014275,11347800,11347800,0
15,0.1128,2.2931,0.1161,0.03312,11347800,11347800,0
16,0.1382,2.2763,0.1156,0.008388,11347800,11347800,0
17,0.1364,2.2682,0.1481,0.040442,11347800,11347800,0
18,0.1174,2.2734,0.1355,0.051398,11347800,11347800,0
19,0.1272,2.2613,0.1253,0.022354,11347800,11347800,0
20,0.1546,2.2512,0.1327,0.005684,11347800,11347800,0
21,0.151,2.261,0.1535,0.011604,11347800,11347800,0
22,0.1576,2.253,0.1655,0.024655,11347800,11347800,0
23,0.1298,2.2549,0.1337,0.024079,11347800,11347800,0
24,0.1492,2.2395,0.1482,0.020992,11347800,11347800,0
25,0.1666,2.2309,0.1632,0.006221,11347800,11347800,0
26,0.1738,2.2326,0.18,0.016102,11347800,11347800,0
27,0.186,2.2196,0.1871,0.01104,11347800,11347800,0
28,0.1766,2.2311,0.1818,0.014656,11347800,11347800,0
29,0.1762,2.2342,0.1773,0.014186,11347800,11347800,0
30,0.1712,2.2247,0.1636,0.006275,11347800,11347800,0
31,0.1788,2.2319,0.1623,0.005348,11347800,11347800,0
32,0.161,2.2158,0.1666,0.012624,11347800,11347800,0
33,0.176,2.2281,0.185,0.023529,11347800,11347800,0
34,0.201,2.2048,0.1888,0.00747,11347800,11347800,0
35,0.1652,2.2099,0.1841,0.035403,11347800,11347800,0
36,0.1672,2.228,0.1853,0.03866,11347800,11347800,0
37,0.1814,2.214,0.1691,0.00916,11347800,11347800,0
38,0.2046,2.1859,0.1854,0.006336,11347800,11347800,0
39,0.2072,2.1973,0.1958,0.01252,11347800,11347800,0
40,0.1958,2.1978,0.2003,0.011481,11347800,11347800,0
41,0.21,2.1738,0.2027,0.007754,11347800,11347800,0
42,0.2178,2.1753,0.2063,0.0063,11347800,11347800,0
43,0.2182,2.1768,0.2078,0.006168,11347800,11347800,0
44,0.2096,2.1876,0.2047,0.016823,11347800,11347800,0
45,0.2004,2.1747,0.1905,0.011113,11347800,11347800,0
46,0.207,2.1727,0.2055,0.018346,11347800,11347800,0
47,0.2094,2.1795,0.2129,0.025345,11347800,11347800,0
48,0.2182,2.165,0.2131,0.021043,11347800,11347800,0
49,0.2194,2.1475,0.2042,0.020166,11347800,11347800,0
50,0.2248,2.1426,0.2017,0.012839,11347800,11347800,0
51,0.2138,2.1725,0.2098,0.01964,11347800,11347800,0
52,0.2198,2.133,0.2092,0.012554,11347800,11347800,0
53,0.2164,2.1325,0.1911,0.01027,11347800,11347800,0
54,0.2046,2.154,0.194,0.012676,11347800,11347800,0
55,0.2076,2.1624,0.1803,0.009096,11347800,11347800,0
56,0.2264,2.1281,0.1791,0.009244,11347800,11347800,0
57,0.2346,2.1062,0.2011,0.008692,11347800,11347800,0
58,0.2294,2.1181,0.2072,0.012324,11347800,11347800,0
59,0.2214,2.1647,0.2006,0.009326,11347800,11347800,0
60,0.2374,2.1058,0.2113,0.007867,11347800,11347800,0
