round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0986,2.3076,0.0987,0.002334,11347800,11347800,0
2,0.1078,2.2995,0.104,0.003416,11347800,11347800,0
3,0.1172,2.2932,0.1126,0.004131,11347800,11347800,0
4,0.1224,2.2882,0.1155,0.004377,11347800,11347800,0
5,0.1258,2.2837,0.1194,0.004456,11347800,11347800,0
6,0.1328,2.2777,0.1274,0.004161,11347800,11347800,0
7,0.1476,2.2718,0.1392,0.003937,11347800,11347800,0
8,0.1512,2.266,0.1475,0.004096,11347800,11347800,0
9,0.1554,2.2601,0.1536,0.004028,11347800,11347800,0
10,0.159,2.2548,0.1566,0.002741,11347800,11347800,0
11,0.165,2.2491,0.1603,0.002595,11347800,11347800,0
12,0.1712,2.243,0.1665,0.002749,11347800,11347800,0
13,0.1788,2.2374,0.1705,0.002456,11347800,11347800,0
14,0.1874,2.2302,0.1793,0.002155,11347800,11347800,0
15,0.1866,2.2259,0.1802,0.002063,11347800,11347800,0
16,0.1882,2.2225,0.1804,0.001884,11347800,11347800,0
17,0.1956,2.2178,0.1869,0.001825,11347800,11347800,0
18,0.2002,2.2109,0.1907,0.001912,11347800,11347800,0
19,0.2072,2.2049,0.1967,0.002119,11347800,11347800,0
20,0.2162,2.1975,0.2045,0.001948,11347800,11347800,0
21,0.2172,2.1923,0.2082,0.001849,11347800,11347800,0
22,0.2186,2.1868,0.2092,0.001832,11347800,11347800,0
23,0.223,2.18,0.2154,0.001962,11347800,11347800,0
24,0.2332,2.1743,0.2239,0.001338,11347800,11347800,0
25,0.232,2.1697,0.223,0.001475,11347800,11347800,0
26,0.2336,2.1652,0.2272,0.001584,11347800,11347800,0
27,0.2352,2.1588,0.2268,0.001762,11347800,11347800,0
28,0.2308,2.1553,0.2306,0.002148,11347800,11347800,0
29,0.2344,2.1501,0.2303,0.001436,11347800,11347800,0
30,0.2332,2.1451,0.2303,0.002015,11347800,11347800,0
31,0.2382,2.1414,0.2326,0.0014,11347800,11347800,0
32,0.2376,2.1375,0.2325,0.00211,11347800,11347800,0
33,0.2424,2.1331,0.2374,0.001932,11347800,11347800,0
34,0.2432,2.1298,0.2366,0.001857,11347800,11347800,0
35,0.2386,2.1273,0.235,0.001651,11347800,11347800,0
36,0.2474,2.1223,0.239,0.001721,11347800,11347800,0
37,0.2476,2.1192,0.2441,0.001857,11347800,11347800,0
38,0.2504,2.1155,0.2422,0.001755,11347800,11347800,0
39,0.25,2.1096,0.242,0.001794,11347800,11347800,0
40,0.2516,2.1105,0.2443,0.002375,11347800,11347800,0
41,0.2532,2.1061,0.2441,0.002074,11347800,11347800,0
42,0.2536,2.1017,0.2479,0.001976,11347800,11347800,0
43,0.2506,2.101,0.2437,0.0017,11347800,11347800,0
44,0.2546,2.0984,0.2464,0.001757,11347800,11347800,0
45,0.259,2.0951,0.247,0.001737,11347800,11347800,0
46,0.257,2.0911,0.2485,0.00158,11347800,11347800,0
47,0.2596,2.0891,0.2506,0.001745,11347800,11347800,0
48,0.2588,2.0853,0.2518,0.001736,11347800,11347800,0
49,0.2594,2.0833,0.2525,0.001851,11347800,11347800,0
50,0.2624,2.0779,0.256,0.001851,11347800,11347800,0
51,0.2604,2.0762,0.255,0.00208,11347800,11347800,0
52,0.2616,2.074,0.2554,0.0021,11347800,11347800,0
53,0.2644,2.0685,0.2574,0.001739,11347800,11347800,0
54,0.2654,2.0672,0.2563,0.001622,11347800,11347800,0
55,0.2634,2.0659,0.2586,0.00179,11347800,11347800,0
56,0.2624,2.0637,0.2587,0.001748,11347800,11347800,0
57,0.26,2.0603,0.2589,0.001306,11347800,11347800,0
58,0.2608,2.0621,0.2535,0.001384,11347800,11347800,0
59,0.262,2.0571,0.2584,0.001641,11347800,11347800,0
60,0.2626,2.0562,0.256,0.001761,11347800,11347800,0
