round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0974,2.3081,0.0952,5.4e-05,11347800,11347800,0
2,0.108,2.3021,0.1076,8.2e-05,11347800,11347800,0
3,0.1072,2.2964,0.1067,0.000145,11347800,11347800,0
4,0.1026,2.2915,0.1035,8.1e-05,11347800,11347800,0
5,0.1264,2.2908,0.1252,7.2e-05,11347800,11347800,0
6,0.1342,2.289,0.1351,6.4e-05,11347800,11347800,0
7,0.1396,2.2859,0.1372,8.7e-05,11347800,11347800,0
8,0.1476,2.2834,0.1482,7.4e-05,11347800,11347800,0
9,0.1456,2.2807,0.1425,5.4e-05,11347800,11347800,0
10,0.1548,2.2782,0.1536,0.000128,11347800,11347800,0
11,0.1438,2.2776,0.1394,0.000202,11347800,11347800,0
12,0.1608,2.274,0.1614,0.000195,11347800,11347800,0
13,0.1648,2.2727,0.1658,0.000122,11347800,11347800,0
14,0.14,2.2735,0.1399,0.000132,11347800,11347800,0
15,0.156,2.27,0.1565,9.8e-05,11347800,11347800,0
16,0.1596,2.2721,0.1547,8.9e-05,11347800,11347800,0
17,0.1496,2.2733,0.1513,7.6e-05,11347800,11347800,0
18,0.1576,2.2712,0.1565,9.5e-05,11347800,11347800,0
19,0.1422,2.269,0.1416,0.000128,11347800,11347800,0
20,0.1296,2.2647,0.1315,0.000115,11347800,11347800,0
21,0.1404,2.2591,0.1412,0.000145,11347800,11347800,0
22,0.1416,2.2565,0.1474,0.000108,11347800,11347800,0
23,0.1426,2.254,0.1436,0.000137,11347800,11347800,0
24,0.1576,2.25,0.1558,0.000156,11347800,11347800,0
25,0.1548,2.2477,0.1547,0.000137,11347800,11347800,0
26,0.1714,2.244,0.1746,0.000149,11347800,11347800,0
27,0.1824,2.2385,0.1771,0.000135,11347800,11347800,0
28,0.1928,2.2313,0.1941,0.000104,11347800,11347800,0
29,0.1988,2.2298,0.1997,0.000143,11347800,11347800,0
30,0.1966,2.2255,0.1974,0.000155,11347800,11347800,0
31,0.1874,2.224,0.1883,6.7e-05,11347800,11347800,0
32,0.198,2.2214,0.1954,7.6e-05,11347800,11347800,0
33,0.1924,2.2191,0.1922,8.7e-05,11347800,11347800,0
34,0.1984,2.2138,0.1932,9.6e-05,11347800,11347800,0
35,0.1918,2.2145,0.1913,8.5e-05,11347800,11347800,0
36,0.1966,2.21,0.1981,8.6e-05,11347800,11347800,0
37,0.197,2.2058,0.1963,0.000124,11347800,11347800,0
38,0.2108,2.2012,0.204,8.8e-05,11347800,11347800,0
39,0.217,2.1962,0.2121,0.00014,11347800,11347800,0
40,0.2182,2.1925,0.2078,0.00011,11347800,11347800,0
41,0.2198,2.1894,0.2147,0.000134,11347800,11347800,0
42,0.2116,2.1873,0.2121,0.000117,11347800,11347800,0
43,0.2086,2.1838,0.2115,0.000107,11347800,11347800,0
44,0.2102,2.1796,0.2116,0.000162,11347800,11347800,0
45,0.2122,2.1789,0.2117,0.000156,11347800,11347800,0
46,0.2166,2.1752,0.2101,0.000141,11347800,11347800,0
47,0.2232,2.1692,0.2119,0.000145,11347800,11347800,0
48,0.2268,2.1671,0.2216,0.000132,11347800,11347800,0
49,0.2366,2.1615,0.2306,0.000123,11347800,11347800,0
50,0.2376,2.1603,0.2283,0.000167,11347800,11347800,0
51,0.228,2.1572,0.2243,9e-05,11347800,11347800,0
52,0.2286,2.1555,0.2269,9.6e-05,11347800,11347800,0
53,0.2316,2.1529,0.2301,0.000105,11347800,11347800,0
54,0.2302,2.1527,0.2252,0.000141,11347800,11347800,0
55,0.2282,2.1474,0.2244,0.000115,11347800,11347800,0
56,0.235,2.1424,0.2285,9.7e-05,11347800,11347800,0
57,0.239,2.1396,0.2344,0.000167,11347800,11347800,0
58,0.2416,2.1377,0.2329,0.000154,11347800,11347800,0
59,0.2396,2.1333,0.2337,0.000118,11347800,11347800,0
60,0.2404,2.132,0.2306,0.000154,11347800,11347800,0
