round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.1024,2.3288,0.0759,0.009867,11347800,11347800,0
2,0.1028,2.343,0.0741,0.016162,11347800,11347800,0
3,0.1184,2.3328,0.0859,0.010265,11347800,11347800,0
4,0.1248,2.3178,0.0847,0.013214,11347800,11347800,0
5,0.1188,2.3102,0.0827,0.015739,11347800,11347800,0
6,0.1202,2.3109,0.0753,0.009898,11347800,11347800,0
7,0.1202,2.3057,0.0866,0.016238,11347800,11347800,0
8,0.1298,2.2952,0.0986,0.010383,11347800,11347800,0
9,0.1126,2.3054,0.0919,0.013612,11347800,11347800,0
10,0.1142,2.3062,0.1024,0.016821,11347800,11347800,0
11,0.1324,2.3013,0.1005,0.00896,11347800,11347800,0
12,0.1284,2.2886,0.1106,0.017019,11347800,11347800,0
13,0.1198,2.2891,0.1148,0.026204,11347800,11347800,0
14,0.1146,2.2821,0.1068,0.016656,11347800,11347800,0
15,0.1258,2.2901,0.104,0.015329,11347800,11347800,0
16,0.1328,2.2771,0.1019,0.010485,11347800,11347800,0
17,0.1388,2.2709,0.1325,0.026141,11347800,11347800,0
18,0.1166,2.2685,0.1296,0.055881,11347800,11347800,0
19,0.13,2.2659,0.123,0.027329,11347800,11347800,0
20,0.1558,2.2532,0.1357,0.007588,11347800,11347800,0
21,0.1446,2.2497,0.1364,0.01217,11347800,11347800,0
22,0.1868,2.2417,0.1714,0.012243,11347800,11347800,0
23,0.1582,2.2452,0.1467,0.011967,11347800,11347800,0
24,0.162,2.2349,0.1486,0.011936,11347800,11347800,0
25,0.1612,2.2347,0.145,0.007561,11347800,11347800,0
26,0.1792,2.2282,0.1717,0.009118,11347800,11347800,0
27,0.1914,2.2191,0.1818,0.005018,11347800,11347800,0
28,0.189,2.2142,0.1764,0.008513,11347800,11347800,0
29,0.1818,2.2232,0.1739,0.013665,11347800,11347800,0
30,0.1776,2.2188,0.1622,0.004829,11347800,11347800,0
31,0.1694,2.2083,0.1647,0.006219,11347800,11347800,0
32,0.1686,2.2152,0.1636,0.012608,11347800,11347800,0
33,0.192,2.2069,0.1906,0.023064,11347800,11347800,0
34,0.1948,2.1927,0.1762,0.007173,11347800,11347800,0
35,0.1734,2.1949,0.1865,0.034584,11347800,11347800,0
36,0.1868,2.194,0.1962,0.032014,11347800,11347800,0
37,0.1934,2.1867,0.1858,0.009711,11347800,11347800,0
38,0.1976,2.1847,0.1685,0.008522,11347800,11347800,0
39,0.2086,2.1726,0.1976,0.012771,11347800,11347800,0
40,0.1964,2.1822,0.2067,0.013301,11347800,11347800,0
41,0.2032,2.1757,0.202,0.007948,11347800,11347800,0
42,0.2036,2.1668,0.2081,0.010006,11347800,11347800,0
43,0.2158,2.1514,0.217,0.011702,11347800,11347800,0
44,0.2066,2.1634,0.2145,0.019875,11347800,11347800,0
45,0.2088,2.1587,0.2013,0.012824,11347800,11347800,0
46,0.2146,2.1699,0.2252,0.019994,11347800,11347800,0
47,0.2124,2.161,0.2222,0.02743,11347800,11347800,0
48,0.2266,2.1561,0.221,0.018855,11347800,11347800,0
49,0.2216,2.1454,0.2117,0.024142,11347800,11347800,0
50,0.233,2.1398,0.2115,0.013083,11347800,11347800,0
51,0.2208,2.1419,0.2176,0.020762,11347800,11347800,0
52,0.2258,2.1239,0.2138,0.015038,11347800,11347800,0
53,0.2324,2.1159,0.209,0.009576,11347800,11347800,0
54,0.2144,2.1196,0.2173,0.017623,11347800,11347800,0
55,0.2194,2.13,0.2011,0.008392,11347800,11347800,0
56,0.229,2.117,0.1936,0.011294,11347800,11347800,0
57,0.2374,2.1089,0.2202,0.010642,11347800,11347800,0
58,0.2346,2.101,0.2178,0.014348,11347800,11347800,0
59,0.2248,2.1043,0.2162,0.012937,11347800,11347800,0
60,0.2414,2.0994,0.2255,0.010316,11347800,11347800,0
