round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0982,2.3075,0.0987,0.002311,11347800,11347800,0
2,0.0958,2.3018,0.0967,0.00468,11347800,11347800,0
3,0.1026,2.2957,0.0991,0.006288,11347800,11347800,0
4,0.1092,2.2896,0.1076,0.006653,11347800,11347800,0
5,0.113,2.2861,0.1083,0.007189,11347800,11347800,0
6,0.1266,2.2805,0.1242,0.006222,11347800,11347800,0
7,0.1296,2.2745,0.1229,0.007183,11347800,11347800,0
8,0.1492,2.2668,0.1409,0.005972,11347800,11347800,0
9,0.1482,2.2611,0.1396,0.006194,11347800,11347800,0
10,0.1604,2.2535,0.1549,0.004229,11347800,11347800,0
11,0.1628,2.249,0.1565,0.003426,11347800,11347800,0
12,0.176,2.2419,0.1709,0.003223,11347800,11347800,0
13,0.1732,2.2372,0.1678,0.003265,11347800,11347800,0
14,0.1816,2.231,0.1753,0.003368,11347800,11347800,0
15,0.1854,2.2261,0.1764,0.002701,11347800,11347800,0
16,0.1896,2.2214,0.18,0.002518,11347800,11347800,0
17,0.199,2.2161,0.1898,0.001676,11347800,11347800,0
18,0.2008,2.2095,0.1941,0.001863,11347800,11347800,0
19,0.2098,2.2035,0.2013,0.00138,11347800,11347800,0
20,0.211,2.1962,0.2026,0.001367,11347800,11347800,0
21,0.2158,2.1919,0.2053,0.00137,11347800,11347800,0
22,0.2216,2.1857,0.2124,0.001368,11347800,11347800,0
23,0.222,2.1783,0.2159,0.001321,11347800,11347800,0
24,0.2352,2.1735,0.2229,0.000988,11347800,11347800,0
25,0.2324,2.1692,0.2231,0.000927,11347800,11347800,0
26,0.232,2.1638,0.2253,0.000867,11347800,11347800,0
27,0.2304,2.1584,0.2248,0.001181,11347800,11347800,0
28,0.2312,2.1541,0.2295,0.001174,11347800,11347800,0
29,0.236,2.1499,0.2259,0.001157,11347800,11347800,0
30,0.2338,2.1447,0.2271,0.001193,11347800,11347800,0
31,0.232,2.1417,0.2276,0.000961,11347800,11347800,0
32,0.2342,2.1364,0.231,0.001016,11347800,11347800,0
33,0.245,2.1323,0.2349,0.00117,11347800,11347800,0
34,0.2422,2.1288,0.2331,0.001099,11347800,11347800,0
35,0.2366,2.1262,0.2333,0.001086,11347800,11347800,0
36,0.2448,2.1219,0.2374,0.001207,11347800,11347800,0
37,0.2492,2.1185,0.242,0.001234,11347800,11347800,0
38,0.2516,2.115,0.2392,0.001226,11347800,11347800,0
39,0.247,2.1094,0.2391,0.001005,11347800,11347800,0
40,0.2494,2.1085,0.2435,0.001458,11347800,11347800,0
41,0.2484,2.1046,0.2416,0.00157,11347800,11347800,0
42,0.249,2.1012,0.2419,0.001289,11347800,11347800,0
43,0.2426,2.0995,0.2403,0.001053,11347800,11347800,0
44,0.251,2.0968,0.2445,0.001266,11347800,11347800,0
45,0.2492,2.0936,0.2449,0.001334,11347800,11347800,0
46,0.2508,2.0906,0.2455,0.001281,11347800,11347800,0
47,0.2544,2.0881,0.2482,0.001445,11347800,11347800,0
48,0.2564,2.0844,0.2501,0.001509,11347800,11347800,0
49,0.2588,2.0818,0.2499,0.001335,11347800,11347800,0
50,0.2612,2.0769,0.2523,0.001293,11347800,11347800,0
51,0.2608,2.0751,0.2532,0.001599,11347800,11347800,0
52,0.2546,2.0725,0.2543,0.001385,11347800,11347800,0
53,0.2584,2.0676,0.2563,0.001223,11347800,11347800,0
54,0.2558,2.0666,0.2532,0.001245,11347800,11347800,0
55,0.2586,2.0645,0.2568,0.00135,11347800,11347800,0
56,0.2596,2.0622,0.2576,0.00133,11347800,11347800,0
57,0.2584,2.0606,0.2563,0.00113,11347800,11347800,0
58,0.2556,2.0615,0.2527,0.001381,11347800,11347800,0
59,0.2594,2.0562,0.2566,0.001414,11347800,11347800,0
60,0.257,2.0548,0.2555,0.001494,11347800,11347800,0
