round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.095,2.3067,0.0947,5.4e-05,11347800,11347800,0
2,0.098,2.2979,0.1002,0.000121,11347800,11347800,0
3,0.1014,2.2916,0.1028,9.8e-05,11347800,11347800,0
4,0.1078,2.2873,0.1062,8.9e-05,11347800,11347800,0
5,0.1136,2.2848,0.112,7.1e-05,11347800,11347800,0
6,0.1196,2.2828,0.1189,8.4e-05,11347800,11347800,0
7,0.1224,2.2798,0.1258,8.8e-05,11347800,11347800,0
8,0.1306,2.2771,0.1377,9.2e-05,11347800,11347800,0
9,0.139,2.2748,0.149,7.2e-05,11347800,11347800,0
10,0.1564,2.2731,0.1623,6.8e-05,11347800,11347800,0
11,0.1708,2.2719,0.173,6.3e-05,11347800,11347800,0
12,0.1804,2.2714,0.1838,9.4e-05,11347800,11347800,0
13,0.1934,2.271,0.1898,0.0001,11347800,11347800,0
14,0.1936,2.2721,0.1903,0.000106,11347800,11347800,0
15,0.1932,2.273,0.1913,0.00011,11347800,11347800,0
16,0.1888,2.2767,0.188,0.00011,11347800,11347800,0
17,0.1874,2.2809,0.182,0.000123,11347800,11347800,0
18,0.1812,2.2848,0.174,0.00011,11347800,11347800,0
19,0.172,2.2893,0.1665,8e-05,11347800,11347800,0
20,0.1582,2.2923,0.1576,0.000119,11347800,11347800,0
21,0.1478,2.2956,0.1487,0.000149,11347800,11347800,0
22,0.1328,2.2973,0.1349,0.00011,11347800,11347800,0
23,0.127,2.2986,0.1301,9.2e-05,11347800,11347800,0
24,0.1146,2.2993,0.1177,8.8e-05,11347800,11347800,0
25,0.1224,2.2992,0.1244,9.9e-05,11347800,11347800,0
26,0.1146,2.2995,0.1144,6.7e-05,11347800,11347800,0
27,0.1226,2.2985,0.1245,9.5e-05,11347800,11347800,0
28,0.1162,2.2991,0.1151,6.3e-05,11347800,11347800,0
29,0.119,2.2989,0.1201,7.9e-05,11347800,11347800,0
30,0.113,2.2992,0.1135,6.8e-05,11347800,11347800,0
31,0.1194,2.2987,0.1197,7.9e-05,11347800,11347800,0
32,0.112,2.2987,0.1144,6.8e-05,11347800,11347800,0
33,0.1222,2.2978,0.1217,8.7e-05,11347800,11347800,0
34,0.1152,2.298,0.116,7.4e-05,11347800,11347800,0
35,0.1226,2.2972,0.124,6.9e-05,11347800,11347800,0
36,0.1178,2.2977,0.1178,6e-05,11347800,11347800,0
37,0.1238,2.2966,0.1249,5.4e-05,11347800,11347800,0
38,0.1196,2.2969,0.1194,6.8e-05,11347800,11347800,0
39,0.1252,2.2958,0.1273,6.3e-05,11347800,11347800,0
40,0.1234,2.2958,0.1238,6.1e-05,11347800,11347800,0
41,0.1312,2.2954,0.129,6.9e-05,11347800,11347800,0
42,0.1248,2.2956,0.1246,5.8e-05,11347800,11347800,0
43,0.1346,2.2938,0.131,5.6e-05,11347800,11347800,0
44,0.1316,2.2938,0.1293,8.8e-05,11347800,11347800,0
45,0.1364,2.292,0.1343,0.000103,11347800,11347800,0
46,0.1326,2.2919,0.135,7e-05,11347800,11347800,0
47,0.1412,2.2903,0.1414,0.000126,11347800,11347800,0
48,0.1398,2.2904,0.139,0.000142,11347800,11347800,0
49,0.1488,2.2882,0.1431,0.000156,11347800,11347800,0
50,0.145,2.288,0.1445,0.000128,11347800,11347800,0
51,0.1558,2.2852,0.151,0.000124,11347800,11347800,0
52,0.153,2.2851,0.1511,8.3e-05,11347800,11347800,0
53,0.1626,2.2813,0.1581,0.000134,11347800,11347800,0
54,0.163,2.2806,0.161,0.000107,11347800,11347800,0
55,0.1672,2.277,0.1683,8.8e-05,11347800,11347800,0
56,0.1674,2.2758,0.1709,5.7e-05,11347800,11347800,0
57,0.1756,2.2707,0.1804,6.4e-05,11347800,11347800,0
58,0.1816,2.2694,0.1807,4.5e-05,11347800,11347800,0
59,0.186,2.2632,0.1919,6.5e-05,11347800,11347800,0
60,0.1894,2.2627,0.1886,4.8e-05,11347800,11347800,0
