round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.1024,2.3288,0.0759,0.009867,22695600,11347800,11347800
2,0.0986,2.3198,0.0727,0.015557,22695600,11347800,11347800
3,0.1194,2.3106,0.1179,0.014942,22695600,11347800,11347800
4,0.1206,2.2959,0.1127,0.006125,22695600,11347800,11347800
5,0.1292,2.2972,0.1224,0.008505,22695600,11347800,11347800
6,0.1322,2.29,0.1252,0.011028,22695600,11347800,11347800
7,0.1206,2.2982,0.1254,0.006083,22695600,11347800,11347800
8,0.124,2.3063,0.1477,0.013823,22695600,11347800,11347800
9,0.1256,2.2997,0.135,0.007861,22695600,11347800,11347800
10,0.114,2.2964,0.1287,0.008631,22695600,11347800,11347800
11,0.1138,2.3003,0.1385,0.012734,22695600,11347800,11347800
12,0.1364,2.3089,0.1802,0.026442,22695600,11347800,11347800
13,0.1352,2.3138,0.1819,0.024453,22695600,11347800,11347800
14,0.1368,2.3247,0.1822,0.028874,22695600,11347800,11347800
15,0.1306,2.3015,0.1705,0.020975,22695600,11347800,11347800
16,0.1358,2.3029,0.1716,0.017915,22695600,11347800,11347800
17,0.1332,2.3001,0.1695,0.019348,22695600,11347800,11347800
18,0.138,2.3063,0.1671,0.015468,22695600,11347800,11347800
19,0.1188,2.3185,0.1376,0.013391,22695600,11347800,11347800
20,0.1336,2.3249,0.1694,0.016759,22695600,11347800,11347800
21,0.12,2.3285,0.1544,0.017588,22695600,11347800,11347800
22,0.1148,2.3228,0.148,0.013657,22695600,11347800,11347800
23,0.1218,2.3062,0.1524,0.012205,22695600,11347800,11347800
24,0.1118,2.3316,0.1549,0.028624,22695600,11347800,11347800
25,0.1102,2.3334,0.1481,0.02545,22695600,11347800,11347800
26,0.1246,2.3005,0.1509,0.005931,22695600,11347800,11347800
27,0.1256,2.3121,0.1668,0.027077,22695600,11347800,11347800
28,0.1244,2.3185,0.168,0.024178,22695600,11347800,11347800
29,0.146,2.318,0.1858,0.021758,22695600,11347800,11347800
30,0.1358,2.3327,0.1808,0.030268,22695600,11347800,11347800
31,0.1404,2.3345,0.1753,0.032214,22695600,11347800,11347800
32,0.1294,2.3234,0.1659,0.016428,22695600,11347800,11347800
33,0.145,2.3128,0.1808,0.02715,22695600,11347800,11347800
34,0.1634,2.2847,0.2023,0.021451,22695600,11347800,11347800
35,0.1346,2.3016,0.1681,0.024871,22695600,11347800,11347800
36,0.1586,2.3266,0.1912,0.020945,22695600,11347800,11347800
37,0.1586,2.3235,0.1845,0.024969,22695600,11347800,11347800
38,0.1592,2.3182,0.2048,0.02895,22695600,11347800,11347800
39,0.1754,2.3053,0.2211,0.025599,22695600,11347800,11347800
40,0.1686,2.3339,0.2038,0.021575,22695600,11347800,11347800
41,0.1696,2.3088,0.2068,0.026084,22695600,11347800,11347800
42,0.1642,2.3052,0.201,0.019743,22695600,11347800,11347800
43,0.1744,2.3298,0.211,0.024238,22695600,11347800,11347800
44,0.1728,2.3267,0.216,0.030022,22695600,11347800,11347800
45,0.1784,2.3256,0.216,0.027021,22695600,11347800,11347800
46,0.1488,2.3833,0.1988,0.030205,22695600,11347800,11347800
47,0.1584,2.2988,0.2055,0.0298,22695600,11347800,11347800
48,0.16,2.2929,0.2104,0.028633,22695600,11347800,11347800
49,0.1714,2.2703,0.2146,0.025415,22695600,11347800,11347800
50,0.1622,2.2962,0.2091,0.025975,22695600,11347800,11347800
51,0.1542,2.3165,0.2012,0.02711,22695600,11347800,11347800
52,0.1506,2.3428,0.1946,0.027701,22695600,11347800,11347800
53,0.1498,2.3281,0.1951,0.026325,22695600,11347800,11347800
54,0.1412,2.3353,0.1872,0.026546,22695600,11347800,11347800
55,0.1418,2.3217,0.1902,0.025333,22695600,11347800,11347800
56,0.1432,2.3434,0.1881,0.027623,22695600,11347800,11347800
57,0.1494,2.3528,0.196,0.028672,22695600,11347800,11347800
58,0.163,2.3339,0.2096,0.029535,22695600,11347800,11347800
59,0.1524,2.3053,0.1944,0.027709,22695600,11347800,11347800
60,0.1788,2.2835,0.2203,0.015512,22695600,11347800,11347800
