round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0948,2.3308,0.071,0.014294,22695600,11347800,11347800
2,0.1026,2.3148,0.0813,0.013869,22695600,11347800,11347800
3,0.102,2.3019,0.0893,0.009694,22695600,11347800,11347800
4,0.1112,2.291,0.0923,0.009136,22695600,11347800,11347800
5,0.1276,2.288,0.115,0.00708,22695600,11347800,11347800
6,0.1442,2.2822,0.131,0.00456,22695600,11347800,11347800
7,0.135,2.2818,0.145,0.010774,22695600,11347800,11347800
8,0.1404,2.2806,0.157,0.012146,22695600,11347800,11347800
9,0.1508,2.2807,0.1594,0.003581,22695600,11347800,11347800
10,0.1252,2.2835,0.1398,0.00897,22695600,11347800,11347800
11,0.1398,2.2853,0.1737,0.022867,22695600,11347800,11347800
12,0.14,2.2886,0.1615,0.018245,22695600,11347800,11347800
13,0.1426,2.2834,0.1695,0.019631,22695600,11347800,11347800
14,0.1538,2.2837,0.1918,0.021278,22695600,11347800,11347800
15,0.1492,2.2784,0.177,0.016502,22695600,11347800,11347800
16,0.1526,2.2783,0.1775,0.016214,22695600,11347800,11347800
17,0.1512,2.2838,0.1912,0.019401,22695600,11347800,11347800
18,0.1364,2.2881,0.1738,0.018826,22695600,11347800,11347800
19,0.1404,2.2881,0.1779,0.019107,22695600,11347800,11347800
20,0.1364,2.2835,0.1692,0.013659,22695600,11347800,11347800
21,0.1464,2.2854,0.1859,0.018532,22695600,11347800,11347800
22,0.1612,2.2894,0.2046,0.023245,22695600,11347800,11347800
23,0.1652,2.2819,0.198,0.017861,22695600,11347800,11347800
24,0.1542,2.2819,0.1748,0.018954,22695600,11347800,11347800
25,0.1508,2.2811,0.172,0.012421,22695600,11347800,11347800
26,0.1592,2.2813,0.1853,0.020116,22695600,11347800,11347800
27,0.1676,2.283,0.2089,0.025545,22695600,11347800,11347800
28,0.168,2.2677,0.2128,0.023071,22695600,11347800,11347800
29,0.17,2.2621,0.2136,0.016995,22695600,11347800,11347800
30,0.1644,2.2694,0.2123,0.025816,22695600,11347800,11347800
31,0.1678,2.2625,0.2069,0.024228,22695600,11347800,11347800
32,0.1716,2.2825,0.2165,0.028008,22695600,11347800,11347800
33,0.1628,2.2874,0.2042,0.024153,22695600,11347800,11347800
34,0.1682,2.2798,0.2096,0.025274,22695600,11347800,11347800
35,0.159,2.2812,0.2005,0.026697,22695600,11347800,11347800
36,0.1738,2.2747,0.2029,0.013998,22695600,11347800,11347800
37,0.1752,2.2733,0.2101,0.01885,22695600,11347800,11347800
38,0.1726,2.272,0.2001,0.018567,22695600,11347800,11347800
39,0.179,2.2628,0.2055,0.01851,22695600,11347800,11347800
40,0.1762,2.273,0.2143,0.028758,22695600,11347800,11347800
41,0.1848,2.2632,0.2199,0.022734,22695600,11347800,11347800
42,0.159,2.2682,0.189,0.024045,22695600,11347800,11347800
43,0.1526,2.2683,0.1813,0.022814,22695600,11347800,11347800
44,0.173,2.2599,0.206,0.016422,22695600,11347800,11347800
45,0.1828,2.2608,0.2187,0.021862,22695600,11347800,11347800
46,0.17,2.2636,0.218,0.022866,22695600,11347800,11347800
47,0.173,2.2637,0.2236,0.026752,22695600,11347800,11347800
48,0.1578,2.2682,0.2132,0.028048,22695600,11347800,11347800
49,0.1756,2.2683,0.2243,0.028874,22695600,11347800,11347800
50,0.171,2.2811,0.2156,0.01876,22695600,11347800,11347800
51,0.18,2.267,0.2276,0.018284,22695600,11347800,11347800
52,0.1832,2.2642,0.2309,0.02208,22695600,11347800,11347800
53,0.1884,2.2552,0.2341,0.022995,22695600,11347800,11347800
54,0.1888,2.2621,0.2311,0.024388,22695600,11347800,11347800
55,0.1864,2.2643,0.2212,0.018453,22695600,11347800,11347800
56,0.1708,2.261,0.2055,0.023157,22695600,11347800,11347800
57,0.1694,2.2716,0.1925,0.015805,22695600,11347800,11347800
58,0.1658,2.258,0.1888,0.015286,22695600,11347800,11347800
59,0.1598,2.2615,0.1862,0.023107,22695600,11347800,11347800
60,0.1688,2.2578,0.2032,0.024092,22695600,11347800,11347800
