round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.095,2.3067,0.0947,5.4e-05,22695600,11347800,11347800
2,0.0968,2.2979,0.1011,0.000131,22695600,11347800,11347800
3,0.1042,2.2918,0.104,0.000112,22695600,11347800,11347800
4,0.1072,2.2867,0.1098,8.4e-05,22695600,11347800,11347800
5,0.1118,2.2828,0.1155,8.5e-05,22695600,11347800,11347800
6,0.1202,2.2787,0.1247,0.000105,22695600,11347800,11347800
7,0.1274,2.274,0.1309,9.2e-05,22695600,11347800,11347800
8,0.139,2.2688,0.1438,8.8e-05,22695600,11347800,11347800
9,0.1412,2.2637,0.1459,8.3e-05,22695600,11347800,11347800
10,0.1598,2.2583,0.1586,8.9e-05,22695600,11347800,11347800
11,0.1648,2.2535,0.1653,7.6e-05,22695600,11347800,11347800
12,0.1742,2.2476,0.1717,9.4e-05,22695600,11347800,11347800
13,0.1732,2.2419,0.1706,8.6e-05,22695600,11347800,11347800
14,0.1802,2.2367,0.1789,8.1e-05,22695600,11347800,11347800
15,0.184,2.2306,0.1805,0.000102,22695600,11347800,11347800
16,0.187,2.2259,0.1848,0.000106,22695600,11347800,11347800
17,0.1942,2.22,0.1895,8.6e-05,22695600,11347800,11347800
18,0.203,2.214,0.1966,9.5e-05,22695600,11347800,11347800
19,0.2056,2.2085,0.1991,5.8e-05,22695600,11347800,11347800
20,0.2108,2.2024,0.2024,9.8e-05,22695600,11347800,11347800
21,0.2166,2.1966,0.2059,8.3e-05,22695600,11347800,11347800
22,0.2184,2.1907,0.2092,0.000105,22695600,11347800,11347800
23,0.2254,2.1848,0.2144,0.000108,22695600,11347800,11347800
24,0.23,2.1793,0.2171,0.000103,22695600,11347800,11347800
25,0.2298,2.1742,0.2178,0.000121,22695600,11347800,11347800
26,0.2346,2.1686,0.2204,0.000173,22695600,11347800,11347800
27,0.2348,2.1632,0.2245,0.000155,22695600,11347800,11347800
28,0.2382,2.1581,0.2254,0.000173,22695600,11347800,11347800
29,0.2414,2.1532,0.2302,0.000199,22695600,11347800,11347800
30,0.2474,2.1485,0.2335,0.000195,22695600,11347800,11347800
31,0.2482,2.1441,0.2332,0.000197,22695600,11347800,11347800
32,0.2492,2.14,0.2353,0.000193,22695600,11347800,11347800
33,0.2506,2.1355,0.2367,0.000192,22695600,11347800,11347800
34,0.2526,2.1314,0.2376,0.000199,22695600,11347800,11347800
35,0.2502,2.128,0.2384,0.000187,22695600,11347800,11347800
36,0.2522,2.1239,0.2404,0.000187,22695600,11347800,11347800
37,0.2518,2.1204,0.2422,0.000167,22695600,11347800,11347800
38,0.253,2.1165,0.2421,0.000182,22695600,11347800,11347800
39,0.2534,2.1127,0.2441,0.000178,22695600,11347800,11347800
40,0.2534,2.1089,0.2455,0.000156,22695600,11347800,11347800
41,0.2536,2.1053,0.2474,0.000157,22695600,11347800,11347800
42,0.2536,2.1027,0.2475,0.000187,22695600,11347800,11347800
43,0.2532,2.0993,0.2495,0.000196,22695600,11347800,11347800
44,0.2544,2.0958,0.2506,0.000208,22695600,11347800,11347800
45,0.2576,2.0931,0.2532,0.000212,22695600,11347800,11347800
46,0.2572,2.0905,0.2509,0.000218,22695600,11347800,11347800
47,0.2592,2.0874,0.2523,0.000198,22695600,11347800,11347800
48,0.2598,2.0842,0.254,0.000188,22695600,11347800,11347800
49,0.2606,2.0817,0.2554,0.000195,22695600,11347800,11347800
50,0.2594,2.079,0.2575,0.000201,22695600,11347800,11347800
51,0.261,2.0763,0.2574,0.000218,22695600,11347800,11347800
52,0.2626,2.0736,0.2585,0.0002,22695600,11347800,11347800
53,0.2602,2.0712,0.258,0.000185,22695600,11347800,11347800
54,0.2608,2.0687,0.2592,0.000197,22695600,11347800,11347800
55,0.263,2.0664,0.2591,0.000196,22695600,11347800,11347800
56,0.2646,2.064,0.2615,0.000202,22695600,11347800,11347800
57,0.2634,2.0617,0.2622,0.00019,22695600,11347800,11347800
58,0.2632,2.0595,0.2634,0.000211,22695600,11347800,11347800
59,0.2654,2.0572,0.265,0.000215,22695600,11347800,11347800
60,0.2646,2.0548,0.2651,0.000209,22695600,11347800,11347800
