round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1512,2.2686,0.179,0.018444,11347800,11347800,0,0.0,0.0,0
2,0.1836,2.1969,0.223,0.022482,11347800,11347800,0,0.0,0.0,0
3,0.185,2.2044,0.2322,0.028987,11347800,11347800,0,0.0,0.0,0
4,0.2066,2.1375,0.2476,0.02739,11347800,11347800,0,0.0,0.0,0
5,0.2276,2.0621,0.2591,0.02996,11347800,11347800,0,0.0,0.0,0
6,0.2324,2.036,0.2821,0.033164,11347800,11347800,0,0.0,0.0,0
7,0.2546,1.997,0.3099,0.029255,11347800,11347800,0,0.0,0.0,0
8,0.265,1.9636,0.3214,0.026288,11347800,11347800,0,0.0,0.0,0
9,0.2774,1.9178,0.3352,0.023787,11347800,11347800,0,0.0,0.0,0
10,0.2776,1.9137,0.3291,0.027551,11347800,11347800,0,0.0,0.0,0
11,0.2844,1.9037,0.3445,0.026048,11347800,11347800,0,0.0,0.0,0
12,0.2878,1.8802,0.3471,0.026336,11347800,11347800,0,0.0,0.0,0
13,0.308,1.8422,0.3551,0.017373,11347800,11347800,0,0.0,0.0,0
14,0.306,1.8776,0.3559,0.019502,11347800,11347800,0,0.0,0.0,0
15,0.3158,1.8116,0.3715,0.02232,11347800,11347800,0,0.0,0.0,0
16,0.2922,1.858,0.3447,0.026838,11347800,11347800,0,0.0,0.0,0
