round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1512,2.2686,0.179,0.018444,11347800,11347800,0,0.33731,0.00149,210
2,0.1864,2.1964,0.225,0.021421,11347800,11347800,0,0.34448,0.00108,210
3,0.1848,2.2063,0.2318,0.028897,11347800,11347800,0,0.33549,0.00105,210
4,0.2058,2.1349,0.2504,0.027185,11347800,11347800,0,0.335,0.00106,210
5,0.2222,2.0633,0.2593,0.030775,11347800,11347800,0,0.33552,0.00106,210
6,0.2326,2.0321,0.2831,0.032291,11347800,11347800,0,0.33612,0.00136,210
7,0.254,2.001,0.3077,0.029506,11347800,11347800,0,0.33785,0.00148,210
8,0.2638,1.9649,0.3177,0.026265,11347800,11347800,0,0.33275,0.00107,210
9,0.278,1.9169,0.3352,0.023903,11347800,11347800,0,0.33655,0.0015,210
10,0.2796,1.9115,0.3305,0.026867,11347800,11347800,0,0.33638,0.00106,210
11,0.284,1.9019,0.3438,0.027188,11347800,11347800,0,0.33775,0.00106,210
12,0.2898,1.8769,0.3502,0.025552,11347800,11347800,0,0.33767,0.00139,210
13,0.3094,1.8408,0.3565,0.016611,11347800,11347800,0,0.33712,0.00107,210
14,0.303,1.8838,0.3557,0.02015,11347800,11347800,0,0.33597,0.00106,210
15,0.314,1.8108,0.3695,0.021951,11347800,11347800,0,0.33594,0.00107,210
16,0.2936,1.8571,0.3456,0.026957,11347800,11347800,0,0.33289,0.00119,210
17,0.3254,1.8021,0.3733,0.018649,11347800,11347800,0,0.34926,0.00148,210
18,0.321,1.8057,0.3785,0.022036,11347800,11347800,0,0.33703,0.00119,210
19,0.3384,1.781,0.379,0.019439,11347800,11347800,0,0.33786,0.00106,210
20,0.3434,1.7595,0.3897,0.015783,11347800,11347800,0,0.3338,0.00108,210
21,0.3414,1.7766,0.376,0.015351,11347800,11347800,0,0.33766,0.00106,210
22,0.319,1.8161,0.3719,0.025334,11347800,11347800,0,0.33715,0.00105,210
23,0.331,1.7881,0.3851,0.026202,11347800,11347800,0,0.34336,0.00119,210
24,0.3398,1.7764,0.3879,0.019462,11347800,11347800,0,0.34327,0.00115,210
25,0.3598,1.704,0.403,0.013594,11347800,11347800,0,0.33677,0.00106,210
26,0.3568,1.7265,0.4047,0.017865,11347800,11347800,0,0.34057,0.00131,210
27,0.3642,1.7109,0.4098,0.00926,11347800,11347800,0,0.33675,0.00106,210
28,0.3652,1.7148,0.4054,0.016461,11347800,11347800,0,0.33676,0.00106,210
29,0.3792,1.6833,0.4151,0.009559,11347800,11347800,0,0.33794,0.00105,210
30,0.369,1.6998,0.4217,0.013487,11347800,11347800,0,0.33669,0.00121,210
31,0.3784,1.6865,0.4223,0.014623,11347800,11347800,0,0.33668,0.00106,210
32,0.3776,1.6713,0.4271,0.014738,11347800,11347800,0,0.33568,0.00117,210
33,0.3626,1.7093,0.4168,0.016858,11347800,11347800,0,0.33682,0.00117,210
34,0.3914,1.6529,0.4466,0.010775,11347800,11347800,0,0.33849,0.00109,210
35,0.383,1.666,0.4416,0.012713,11347800,11347800,0,0.33682,0.00114,210
36,0.3866,1.6744,0.4233,0.010618,11347800,11347800,0,0.33587,0.00135,210
37,0.3954,1.6376,0.4439,0.009457,11347800,11347800,0,0.33448,0.00156,210
38,0.3824,1.6685,0.4388,0.010807,11347800,11347800,0,0.35223,0.00129,210
39,0.4118,1.6212,0.4459,0.006462,11347800,11347800,0,0.35324,0.00183,210
40,0.3862,1.6665,0.4363,0.012639,11347800,11347800,0,0.33979,0.00108,210
41,0.3862,1.6515,0.4396,0.014604,11347800,11347800,0,0.37877,0.00154,210
42,0.4062,1.6273,0.4507,0.011261,11347800,11347800,0,0.33762,0.00124,210
43,0.409,1.6095,0.4509,0.00868,11347800,11347800,0,0.34879,0.00136,210
44,0.4214,1.5826,0.4651,0.004489,11347800,11347800,0,0.34909,0.0011,210
45,0.4116,1.6135,0.4617,0.009605,11347800,11347800,0,0.3384,0.00144,210
46,0.3978,1.6504,0.4486,0.015225,11347800,11347800,0,0.3383,0.0015,210
47,0.408,1.6168,0.4536,0.008987,11347800,11347800,0,0.338,0.00158,210
48,0.4196,1.6039,0.4674,0.006886,11347800,11347800,0,0.35514,0.0011,210
49,0.4138,1.6007,0.4656,0.008178,11347800,11347800,0,0.32975,0.00121,210
50,0.401,1.6432,0.4628,0.012259,11347800,11347800,0,0.33397,0.00124,210
51,0.4204,1.6068,0.4597,0.00742,11347800,11347800,0,0.33249,0.00105,210
52,0.4114,1.6131,0.4736,0.008751,11347800,11347800,0,0.35849,0.00136,210
53,0.4098,1.6173,0.4666,0.011935,11347800,11347800,0,0.34997,0.00172,210
54,0.4192,1.5992,0.4733,0.010006,11347800,11347800,0,0.35332,0.00192,210
55,0.4222,1.5947,0.4789,0.006581,11347800,11347800,0,0.32655,0.00106,210
56,0.3978,1.6624,0.4558,0.013556,11347800,11347800,0,0.32995,0.00105,210
57,0.4244,1.5951,0.4759,0.009231,11347800,11347800,0,0.3264,0.00104,210
58,0.4188,1.6002,0.473,0.007606,11347800,11347800,0,0.34929,0.00182,210
59,0.42,1.6112,0.4846,0.008535,11347800,11347800,0,0.3268,0.00106,210
60,0.4322,1.5843,0.479,0.007095,11347800,11347800,0,0.34542,0.00152,210
