round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1512,2.2686,0.179,0.018444,22695600,11347800,11347800,0.0,0.0,0
2,0.1682,2.2139,0.2164,0.03131,22695600,11347800,11347800,0.0,0.0,0
3,0.1844,2.2208,0.235,0.028701,22695600,11347800,11347800,0.0,0.0,0
4,0.193,2.1691,0.2348,0.031431,22695600,11347800,11347800,0.0,0.0,0
5,0.2202,2.0722,0.2689,0.031327,22695600,11347800,11347800,0.0,0.0,0
6,0.2184,2.0966,0.271,0.032534,22695600,11347800,11347800,0.0,0.0,0
7,0.2416,2.1002,0.3,0.027835,22695600,11347800,11347800,0.0,0.0,0
8,0.2418,2.0657,0.2953,0.028807,22695600,11347800,11347800,0.0,0.0,0
9,0.2602,2.0577,0.3111,0.018651,22695600,11347800,11347800,0.0,0.0,0
10,0.2412,2.1167,0.2935,0.027459,22695600,11347800,11347800,0.0,0.0,0
11,0.2466,2.1124,0.3042,0.030663,22695600,11347800,11347800,0.0,0.0,0
12,0.2486,2.0995,0.3053,0.032346,22695600,11347800,11347800,0.0,0.0,0
13,0.2628,2.0343,0.3293,0.031837,22695600,11347800,11347800,0.0,0.0,0
14,0.265,2.1159,0.3275,0.03221,22695600,11347800,11347800,0.0,0.0,0
15,0.2654,2.0197,0.3171,0.038631,22695600,11347800,11347800,0.0,0.0,0
16,0.2502,2.0641,0.306,0.034894,22695600,11347800,11347800,0.0,0.0,0
17,0.2664,2.0099,0.3287,0.027517,22695600,11347800,11347800,0.0,0.0,0
18,0.2792,1.9904,0.3407,0.030751,22695600,11347800,11347800,0.0,0.0,0
19,0.283,1.9821,0.3258,0.026295,22695600,11347800,11347800,0.0,0.0,0
20,0.2776,2.0202,0.3413,0.029185,22695600,11347800,11347800,0.0,0.0,0
21,0.2712,2.0266,0.3228,0.028931,22695600,11347800,11347800,0.0,0.0,0
22,0.2506,2.1172,0.3117,0.040983,22695600,11347800,11347800,0.0,0.0,0
23,0.2746,2.085,0.3305,0.0427,22695600,11347800,11347800,0.0,0.0,0
24,0.2816,1.9699,0.3438,0.028599,22695600,11347800,11347800,0.0,0.0,0
25,0.2978,1.9508,0.3429,0.02005,22695600,11347800,11347800,0.0,0.0,0
26,0.2842,1.9708,0.3482,0.030452,22695600,11347800,11347800,0.0,0.0,0
27,0.2904,1.9346,0.3544,0.032535,22695600,11347800,11347800,0.0,0.0,0
28,0.293,1.9313,0.3588,0.030275,22695600,11347800,11347800,0.0,0.0,0
29,0.2994,1.9257,0.3674,0.027445,22695600,11347800,11347800,0.0,0.0,0
30,0.288,2.002,0.3621,0.035887,22695600,11347800,11347800,0.0,0.0,0
31,0.2894,2.0041,0.3617,0.032271,22695600,11347800,11347800,0.0,0.0,0
32,0.2864,1.9603,0.3503,0.036509,22695600,11347800,11347800,0.0,0.0,0
33,0.2824,2.0116,0.3487,0.031359,22695600,11347800,11347800,0.0,0.0,0
