round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1512,2.2686,0.179,0.018444,22695600,11347800,11347800,0.33764,0.0018,210
2,0.1676,2.2153,0.2164,0.031602,22695600,11347800,11347800,0.33186,0.00106,210
3,0.1844,2.2176,0.2365,0.030556,22695600,11347800,11347800,0.33372,0.00133,210
4,0.1946,2.1691,0.2359,0.030739,22695600,11347800,11347800,0.34172,0.00109,210
5,0.2168,2.0734,0.2661,0.032943,22695600,11347800,11347800,0.34137,0.00112,210
6,0.2186,2.1071,0.2694,0.033393,22695600,11347800,11347800,0.34587,0.00111,210
7,0.2444,2.0992,0.2986,0.027463,22695600,11347800,11347800,0.33035,0.00114,210
8,0.2356,2.088,0.2917,0.031392,22695600,11347800,11347800,0.33325,0.00157,210
9,0.262,2.0419,0.3124,0.016953,22695600,11347800,11347800,0.34055,0.0011,210
10,0.2326,2.0983,0.2865,0.030854,22695600,11347800,11347800,0.33129,0.00126,210
11,0.2504,2.0787,0.3,0.028969,22695600,11347800,11347800,0.33108,0.00106,210
12,0.2502,2.0799,0.3051,0.03148,22695600,11347800,11347800,0.33254,0.00106,210
13,0.2618,2.0464,0.323,0.02865,22695600,11347800,11347800,0.33217,0.00105,210
14,0.2618,2.1631,0.327,0.029871,22695600,11347800,11347800,0.3309,0.00104,210
15,0.26,2.0452,0.3116,0.037472,22695600,11347800,11347800,0.3304,0.00107,210
16,0.2338,2.0972,0.2926,0.037833,22695600,11347800,11347800,0.3333,0.00105,210
17,0.2686,2.0058,0.3262,0.026337,22695600,11347800,11347800,0.33987,0.00114,210
18,0.2724,1.999,0.3345,0.030127,22695600,11347800,11347800,0.32951,0.00104,210
19,0.286,1.9873,0.3346,0.027333,22695600,11347800,11347800,0.33237,0.00105,210
20,0.2814,2.0349,0.3429,0.02814,22695600,11347800,11347800,0.33065,0.0011,210
21,0.2788,2.0084,0.3249,0.022666,22695600,11347800,11347800,0.33298,0.00106,210
22,0.2544,2.1083,0.3142,0.036412,22695600,11347800,11347800,0.35119,0.0015,210
23,0.2728,2.0709,0.3251,0.041278,22695600,11347800,11347800,0.34611,0.00136,210
24,0.282,1.9733,0.3365,0.026278,22695600,11347800,11347800,0.32991,0.00124,210
25,0.2992,1.9241,0.3589,0.023487,22695600,11347800,11347800,0.33093,0.00106,210
26,0.2838,1.983,0.3463,0.029447,22695600,11347800,11347800,0.32941,0.00104,210
27,0.2782,1.9581,0.3345,0.034395,22695600,11347800,11347800,0.3289,0.00104,210
28,0.2954,1.9522,0.3535,0.032827,22695600,11347800,11347800,0.32985,0.0011,210
29,0.2814,1.9628,0.3583,0.036987,22695600,11347800,11347800,0.33507,0.00119,210
30,0.2902,1.9733,0.3639,0.034699,22695600,11347800,11347800,0.32929,0.00104,210
31,0.2998,1.9708,0.3616,0.028024,22695600,11347800,11347800,0.33044,0.00114,210
32,0.2788,2.0048,0.3497,0.034455,22695600,11347800,11347800,0.32968,0.00104,210
33,0.294,2.0276,0.3595,0.022266,22695600,11347800,11347800,0.32968,0.00104,210
34,0.3106,1.9815,0.3687,0.013891,22695600,11347800,11347800,0.33318,0.00106,210
35,0.2992,1.9691,0.3645,0.023022,22695600,11347800,11347800,0.33638,0.00146,210
36,0.2934,1.9491,0.3595,0.038715,22695600,11347800,11347800,0.33151,0.00105,210
37,0.281,1.9767,0.3428,0.041665,22695600,11347800,11347800,0.33107,0.00104,210
38,0.2848,2.0633,0.3565,0.032981,22695600,11347800,11347800,0.33081,0.0011,210
39,0.2876,1.9903,0.3575,0.030802,22695600,11347800,11347800,0.33494,0.00175,210
40,0.27,1.9983,0.3409,0.032327,22695600,11347800,11347800,0.3334,0.00106,210
41,0.3084,1.8979,0.3733,0.030001,22695600,11347800,11347800,0.33169,0.00104,210
42,0.3,1.9288,0.3633,0.030885,22695600,11347800,11347800,0.33187,0.00106,210
43,0.3008,1.9358,0.3703,0.024418,22695600,11347800,11347800,0.33816,0.00106,210
44,0.309,1.9218,0.3826,0.021741,22695600,11347800,11347800,0.32941,0.00116,210
45,0.2858,1.9753,0.3568,0.032252,22695600,11347800,11347800,0.33185,0.00105,210
46,0.2962,1.9709,0.3567,0.039176,22695600,11347800,11347800,0.33446,0.00145,210
47,0.3064,1.9188,0.3612,0.024899,22695600,11347800,11347800,0.33595,0.00107,210
48,0.3064,1.9225,0.3787,0.027635,22695600,11347800,11347800,0.3295,0.00103,210
49,0.3152,1.925,0.38,0.020451,22695600,11347800,11347800,0.33693,0.00109,210
50,0.2924,1.9582,0.3605,0.027296,22695600,11347800,11347800,0.32929,0.00104,210
51,0.311,1.8926,0.3761,0.028513,22695600,11347800,11347800,0.33333,0.00128,210
52,0.299,1.9612,0.3781,0.028964,22695600,11347800,11347800,0.33067,0.0013,210
53,0.301,1.9484,0.3672,0.037867,22695600,11347800,11347800,0.32854,0.00104,210
