round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1084,2.3282,0.0787,0.00791,11347800,11347800,0,0.0,0.0,0
2,0.102,2.3359,0.0752,0.020548,11347800,11347800,0,0.0,0.0,0
3,0.1126,2.3295,0.093,0.015604,11347800,11347800,0,0.0,0.0,0
4,0.1282,2.3096,0.0856,0.013678,11347800,11347800,0,0.0,0.0,0
5,0.1212,2.3086,0.0862,0.008966,11347800,11347800,0,0.0,0.0,0
6,0.119,2.3084,0.0684,0.007256,11347800,11347800,0,0.0,0.0,0
7,0.1356,2.3013,0.0921,0.011373,11347800,11347800,0,0.0,0.0,0
8,0.1306,2.3008,0.1041,0.01122,11347800,11347800,0,0.0,0.0,0
9,0.1138,2.3107,0.0947,0.012007,11347800,11347800,0,0.0,0.0,0
10,0.1078,2.3196,0.0961,0.015888,11347800,11347800,0,0.0,0.0,0
11,0.1322,2.3051,0.1215,0.022392,11347800,11347800,0,0.0,0.0,0
12,0.1172,2.2925,0.121,0.040206,11347800,11347800,0,0.0,0.0,0
13,0.1036,2.2986,0.1158,0.0412,11347800,11347800,0,0.0,0.0,0
14,0.1174,2.2834,0.1237,0.029629,11347800,11347800,0,0.0,0.0,0
15,0.106,2.2969,0.1164,0.046899,11347800,11347800,0,0.0,0.0,0
16,0.135,2.28,0.1208,0.01112,11347800,11347800,0,0.0,0.0,0
17,0.1238,2.2765,0.1355,0.04614,11347800,11347800,0,0.0,0.0,0
18,0.1074,2.2843,0.1275,0.05717,11347800,11347800,0,0.0,0.0,0
19,0.1214,2.2696,0.1215,0.029911,11347800,11347800,0,0.0,0.0,0
20,0.1498,2.2563,0.1305,0.006556,11347800,11347800,0,0.0,0.0,0
21,0.1422,2.2683,0.1441,0.011722,11347800,11347800,0,0.0,0.0,0
22,0.1504,2.2565,0.1641,0.027832,11347800,11347800,0,0.0,0.0,0
23,0.1266,2.2586,0.1357,0.033282,11347800,11347800,0,0.0,0.0,0
24,0.1436,2.2433,0.1472,0.025056,11347800,11347800,0,0.0,0.0,0
25,0.1582,2.2354,0.1619,0.008716,11347800,11347800,0,0.0,0.0,0
26,0.1634,2.2357,0.175,0.01394,11347800,11347800,0,0.0,0.0,0
27,0.1708,2.227,0.1804,0.010186,11347800,11347800,0,0.0,0.0,0
28,0.1648,2.2364,0.1788,0.016779,11347800,11347800,0,0.0,0.0,0
29,0.168,2.2388,0.1686,0.014087,11347800,11347800,0,0.0,0.0,0
30,0.1648,2.2328,0.1558,0.008028,11347800,11347800,0,0.0,0.0,0
31,0.1642,2.2435,0.1621,0.006776,11347800,11347800,0,0.0,0.0,0
32,0.1546,2.2246,0.1607,0.013251,11347800,11347800,0,0.0,0.0,0
33,0.169,2.2294,0.1873,0.027822,11347800,11347800,0,0.0,0.0,0
34,0.1886,2.2077,0.188,0.008593,11347800,11347800,0,0.0,0.0,0
35,0.16,2.2149,0.1795,0.04048,11347800,11347800,0,0.0,0.0,0
36,0.1648,2.2273,0.1823,0.038773,11347800,11347800,0,0.0,0.0,0
37,0.1814,2.2086,0.1725,0.01021,11347800,11347800,0,0.0,0.0,0
38,0.2054,2.1852,0.1888,0.010296,11347800,11347800,0,0.0,0.0,0
39,0.203,2.2004,0.2019,0.018617,11347800,11347800,0,0.0,0.0,0
40,0.2,2.1974,0.2069,0.013474,11347800,11347800,0,0.0,0.0,0
41,0.2154,2.1726,0.2055,0.007459,11347800,11347800,0,0.0,0.0,0
42,0.2206,2.1731,0.2099,0.007728,11347800,11347800,0,0.0,0.0,0
43,0.2222,2.1755,0.2097,0.007234,11347800,11347800,0,0.0,0.0,0
44,0.21,2.1909,0.2066,0.019512,11347800,11347800,0,0.0,0.0,0
45,0.2036,2.1721,0.1952,0.013258,11347800,11347800,0,0.0,0.0,0
46,0.2102,2.1694,0.2069,0.020545,11347800,11347800,0,0.0,0.0,0
47,0.2108,2.1755,0.213,0.024989,11347800,11347800,0,0.0,0.0,0
48,0.2168,2.1655,0.2165,0.024301,11347800,11347800,0,0.0,0.0,0
49,0.2196,2.1458,0.2121,0.023853,11347800,11347800,0,0.0,0.0,0
50,0.2186,2.1438,0.2098,0.014401,11347800,11347800,0,0.0,0.0,0
51,0.2198,2.1624,0.2169,0.024,11347800,11347800,0,0.0,0.0,0
52,0.2298,2.1275,0.2208,0.015479,11347800,11347800,0,0.0,0.0,0
53,0.2188,2.1281,0.2057,0.013294,11347800,11347800,0,0.0,0.0,0
54,0.215,2.1363,0.2043,0.012997,11347800,11347800,0,0.0,0.0,0
55,0.2184,2.1433,0.2022,0.010011,11347800,11347800,0,0.0,0.0,0
56,0.2274,2.1133,0.1956,0.01034,11347800,11347800,0,0.0,0.0,0
57,0.2414,2.098,0.2163,0.010851,11347800,11347800,0,0.0,0.0,0
58,0.2344,2.1091,0.2181,0.015953,11347800,11347800,0,0.0,0.0,0
59,0.2268,2.1443,0.214,0.011178,11347800,11347800,0,0.0,0.0,0
60,0.2442,2.101,0.224,0.011451,11347800,11347800,0,0.0,0.0,0
