round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1088,2.3281,0.0787,0.007889,11347800,11347800,0,0.0,0.0,0
2,0.1018,2.3359,0.0751,0.020566,11347800,11347800,0,0.0,0.0,0
3,0.113,2.3295,0.0928,0.015561,11347800,11347800,0,0.0,0.0,0
4,0.1286,2.3096,0.0865,0.013618,11347800,11347800,0,0.0,0.0,0
5,0.1214,2.3086,0.0856,0.008827,11347800,11347800,0,0.0,0.0,0
6,0.1196,2.3084,0.0679,0.007241,11347800,11347800,0,0.0,0.0,0
7,0.1348,2.3013,0.092,0.01134,11347800,11347800,0,0.0,0.0,0
8,0.1302,2.3008,0.1049,0.01173,11347800,11347800,0,0.0,0.0,0
9,0.114,2.3106,0.0938,0.011642,11347800,11347800,0,0.0,0.0,0
10,0.1076,2.3195,0.0961,0.015884,11347800,11347800,0,0.0,0.0,0
11,0.133,2.3052,0.1213,0.022465,11347800,11347800,0,0.0,0.0,0
12,0.1168,2.2925,0.1208,0.040241,11347800,11347800,0,0.0,0.0,0
13,0.104,2.2986,0.1159,0.041171,11347800,11347800,0,0.0,0.0,0
14,0.1178,2.2834,0.1237,0.029647,11347800,11347800,0,0.0,0.0,0
15,0.1062,2.297,0.1161,0.046986,11347800,11347800,0,0.0,0.0,0
16,0.135,2.2801,0.1203,0.011079,11347800,11347800,0,0.0,0.0,0
17,0.1222,2.2767,0.1348,0.046268,11347800,11347800,0,0.0,0.0,0
18,0.1076,2.2847,0.1274,0.057208,11347800,11347800,0,0.0,0.0,0
19,0.1214,2.2699,0.1214,0.029951,11347800,11347800,0,0.0,0.0,0
20,0.15,2.2566,0.1305,0.006591,11347800,11347800,0,0.0,0.0,0
21,0.1424,2.2683,0.1434,0.011537,11347800,11347800,0,0.0,0.0,0
22,0.1508,2.2566,0.1647,0.027751,11347800,11347800,0,0.0,0.0,0
23,0.1268,2.2588,0.1357,0.033273,11347800,11347800,0,0.0,0.0,0
24,0.144,2.2434,0.1469,0.025156,11347800,11347800,0,0.0,0.0,0
25,0.1586,2.2357,0.1623,0.009119,11347800,11347800,0,0.0,0.0,0
26,0.1626,2.2359,0.1744,0.014027,11347800,11347800,0,0.0,0.0,0
27,0.1714,2.2273,0.1798,0.010183,11347800,11347800,0,0.0,0.0,0
28,0.1654,2.2367,0.1793,0.016849,11347800,11347800,0,0.0,0.0,0
29,0.1674,2.239,0.1675,0.013655,11347800,11347800,0,0.0,0.0,0
30,0.1642,2.2333,0.1556,0.008061,11347800,11347800,0,0.0,0.0,0
31,0.1644,2.2439,0.1622,0.006703,11347800,11347800,0,0.0,0.0,0
32,0.1536,2.2251,0.1605,0.013287,11347800,11347800,0,0.0,0.0,0
33,0.1692,2.2298,0.1867,0.027827,11347800,11347800,0,0.0,0.0,0
34,0.1904,2.2079,0.1883,0.008608,11347800,11347800,0,0.0,0.0,0
35,0.1598,2.2151,0.1786,0.039462,11347800,11347800,0,0.0,0.0,0
36,0.165,2.2276,0.1822,0.0388,11347800,11347800,0,0.0,0.0,0
37,0.1818,2.2089,0.1733,0.010052,11347800,11347800,0,0.0,0.0,0
38,0.2052,2.1855,0.1898,0.010811,11347800,11347800,0,0.0,0.0,0
39,0.203,2.201,0.2019,0.018671,11347800,11347800,0,0.0,0.0,0
40,0.2004,2.1975,0.2074,0.013806,11347800,11347800,0,0.0,0.0,0
41,0.2164,2.1729,0.2062,0.00757,11347800,11347800,0,0.0,0.0,0
42,0.2208,2.1735,0.2082,0.007724,11347800,11347800,0,0.0,0.0,0
43,0.2218,2.1759,0.2096,0.007239,11347800,11347800,0,0.0,0.0,0
44,0.209,2.1917,0.2081,0.019941,11347800,11347800,0,0.0,0.0,0
45,0.2034,2.1728,0.1955,0.013276,11347800,11347800,0,0.0,0.0,0
46,0.2096,2.1699,0.207,0.020478,11347800,11347800,0,0.0,0.0,0
47,0.21,2.1759,0.2124,0.025126,11347800,11347800,0,0.0,0.0,0
48,0.2156,2.1658,0.2161,0.024284,11347800,11347800,0,0.0,0.0,0
49,0.219,2.1463,0.2115,0.024044,11347800,11347800,0,0.0,0.0,0
50,0.219,2.1446,0.2104,0.014516,11347800,11347800,0,0.0,0.0,0
51,0.2198,2.1632,0.2166,0.024212,11347800,11347800,0,0.0,0.0,0
52,0.2286,2.1281,0.2209,0.015706,11347800,11347800,0,0.0,0.0,0
53,0.2184,2.1286,0.2054,0.013374,11347800,11347800,0,0.0,0.0,0
54,0.2146,2.1363,0.2055,0.013222,11347800,11347800,0,0.0,0.0,0
55,0.2178,2.1443,0.2025,0.010196,11347800,11347800,0,0.0,0.0,0
56,0.2276,2.1136,0.1962,0.010303,11347800,11347800,0,0.0,0.0,0
57,0.2414,2.0982,0.2157,0.010852,11347800,11347800,0,0.0,0.0,0
58,0.235,2.1094,0.2176,0.015778,11347800,11347800,0,0.0,0.0,0
59,0.2266,2.1446,0.2145,0.011388,11347800,11347800,0,0.0,0.0,0
60,0.244,2.101,0.2233,0.011501,11347800,11347800,0,0.0,0.0,0
