round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.0944,2.3311,0.0716,0.014555,11347800,11347800,0,0.0,0.0,0
2,0.1028,2.3333,0.0749,0.022861,11347800,11347800,0,0.0,0.0,0
3,0.1054,2.3247,0.077,0.022646,11347800,11347800,0,0.0,0.0,0
4,0.106,2.315,0.0773,0.021688,11347800,11347800,0,0.0,0.0,0
5,0.1088,2.3082,0.0813,0.021172,11347800,11347800,0,0.0,0.0,0
6,0.1148,2.3003,0.083,0.020247,11347800,11347800,0,0.0,0.0,0
7,0.1138,2.2953,0.0854,0.020955,11347800,11347800,0,0.0,0.0,0
8,0.1196,2.2871,0.0918,0.019866,11347800,11347800,0,0.0,0.0,0
9,0.1182,2.2834,0.092,0.019909,11347800,11347800,0,0.0,0.0,0
10,0.1226,2.2783,0.1005,0.020142,11347800,11347800,0,0.0,0.0,0
11,0.1308,2.2702,0.1034,0.019971,11347800,11347800,0,0.0,0.0,0
12,0.1428,2.2645,0.1178,0.018434,11347800,11347800,0,0.0,0.0,0
13,0.1408,2.2627,0.1137,0.019108,11347800,11347800,0,0.0,0.0,0
14,0.1458,2.2516,0.1219,0.01754,11347800,11347800,0,0.0,0.0,0
15,0.1416,2.2512,0.1202,0.018419,11347800,11347800,0,0.0,0.0,0
16,0.1586,2.2398,0.1362,0.015399,11347800,11347800,0,0.0,0.0,0
17,0.1684,2.2341,0.1432,0.014487,11347800,11347800,0,0.0,0.0,0
18,0.177,2.2305,0.152,0.014855,11347800,11347800,0,0.0,0.0,0
19,0.1882,2.2195,0.1672,0.010527,11347800,11347800,0,0.0,0.0,0
20,0.1866,2.2162,0.1618,0.011847,11347800,11347800,0,0.0,0.0,0
21,0.1906,2.2137,0.1704,0.01084,11347800,11347800,0,0.0,0.0,0
22,0.2042,2.2026,0.1807,0.009438,11347800,11347800,0,0.0,0.0,0
23,0.204,2.2014,0.1837,0.010311,11347800,11347800,0,0.0,0.0,0
24,0.2052,2.1907,0.1872,0.008747,11347800,11347800,0,0.0,0.0,0
25,0.2066,2.1864,0.1877,0.010168,11347800,11347800,0,0.0,0.0,0
26,0.2186,2.174,0.1998,0.007798,11347800,11347800,0,0.0,0.0,0
27,0.2136,2.1793,0.2003,0.009822,11347800,11347800,0,0.0,0.0,0
28,0.2174,2.1755,0.2022,0.008764,11347800,11347800,0,0.0,0.0,0
29,0.218,2.1698,0.2068,0.009161,11347800,11347800,0,0.0,0.0,0
30,0.2278,2.1586,0.2088,0.007996,11347800,11347800,0,0.0,0.0,0
31,0.2258,2.1592,0.2089,0.008723,11347800,11347800,0,0.0,0.0,0
32,0.2222,2.1597,0.2082,0.008483,11347800,11347800,0,0.0,0.0,0
33,0.2266,2.1554,0.2135,0.008622,11347800,11347800,0,0.0,0.0,0
34,0.2254,2.1568,0.2137,0.008489,11347800,11347800,0,0.0,0.0,0
35,0.2304,2.1436,0.2177,0.007957,11347800,11347800,0,0.0,0.0,0
36,0.2304,2.1429,0.2149,0.008691,11347800,11347800,0,0.0,0.0,0
37,0.226,2.1504,0.2067,0.009503,11347800,11347800,0,0.0,0.0,0
38,0.231,2.1398,0.212,0.008282,11347800,11347800,0,0.0,0.0,0
39,0.2332,2.1389,0.2162,0.008062,11347800,11347800,0,0.0,0.0,0
40,0.2296,2.1365,0.2177,0.008687,11347800,11347800,0,0.0,0.0,0
41,0.2428,2.1159,0.2296,0.007675,11347800,11347800,0,0.0,0.0,0
42,0.2354,2.1263,0.2214,0.00822,11347800,11347800,0,0.0,0.0,0
43,0.2356,2.1273,0.2197,0.009048,11347800,11347800,0,0.0,0.0,0
44,0.2386,2.1209,0.227,0.007707,11347800,11347800,0,0.0,0.0,0
45,0.2386,2.1225,0.225,0.007863,11347800,11347800,0,0.0,0.0,0
46,0.236,2.125,0.2275,0.007619,11347800,11347800,0,0.0,0.0,0
47,0.2404,2.1204,0.2296,0.007973,11347800,11347800,0,0.0,0.0,0
48,0.2406,2.1196,0.2309,0.008068,11347800,11347800,0,0.0,0.0,0
49,0.246,2.1108,0.2361,0.007775,11347800,11347800,0,0.0,0.0,0
50,0.2424,2.1124,0.2277,0.007668,11347800,11347800,0,0.0,0.0,0
51,0.2488,2.1104,0.2395,0.008533,11347800,11347800,0,0.0,0.0,0
52,0.2452,2.1049,0.2392,0.007789,11347800,11347800,0,0.0,0.0,0
53,0.2496,2.1017,0.2364,0.007085,11347800,11347800,0,0.0,0.0,0
54,0.2446,2.1069,0.236,0.007297,11347800,11347800,0,0.0,0.0,0
55,0.243,2.1093,0.2302,0.007745,11347800,11347800,0,0.0,0.0,0
56,0.2512,2.1015,0.2338,0.006906,11347800,11347800,0,0.0,0.0,0
57,0.2548,2.0947,0.2366,0.006657,11347800,11347800,0,0.0,0.0,0
58,0.254,2.1004,0.2374,0.007622,11347800,11347800,0,0.0,0.0,0
59,0.2466,2.1162,0.2311,0.008038,11347800,11347800,0,0.0,0.0,0
60,0.2552,2.0966,0.2387,0.007433,11347800,11347800,0,0.0,0.0,0
