round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.089,2.3245,0.0878,0.009872,11347800,11347800,0,0.0,0.0,0
2,0.0962,2.3263,0.0738,0.009151,11347800,11347800,0,0.0,0.0,0
3,0.1086,2.3262,0.0757,0.012144,11347800,11347800,0,0.0,0.0,0
4,0.1116,2.32,0.076,0.016274,11347800,11347800,0,0.0,0.0,0
5,0.118,2.3187,0.0781,0.015009,11347800,11347800,0,0.0,0.0,0
6,0.1198,2.3182,0.0731,0.010159,11347800,11347800,0,0.0,0.0,0
7,0.1196,2.317,0.0771,0.014534,11347800,11347800,0,0.0,0.0,0
8,0.1206,2.3121,0.0782,0.012107,11347800,11347800,0,0.0,0.0,0
9,0.1182,2.3113,0.0826,0.015291,11347800,11347800,0,0.0,0.0,0
10,0.1198,2.3116,0.0813,0.014427,11347800,11347800,0,0.0,0.0,0
11,0.1232,2.3085,0.0807,0.012259,11347800,11347800,0,0.0,0.0,0
12,0.1264,2.3044,0.0855,0.009628,11347800,11347800,0,0.0,0.0,0
13,0.1226,2.3047,0.0857,0.012603,11347800,11347800,0,0.0,0.0,0
14,0.125,2.2996,0.0832,0.009874,11347800,11347800,0,0.0,0.0,0
15,0.1232,2.3017,0.0859,0.012059,11347800,11347800,0,0.0,0.0,0
16,0.1234,2.3006,0.0855,0.010444,11347800,11347800,0,0.0,0.0,0
17,0.1236,2.2935,0.0878,0.009624,11347800,11347800,0,0.0,0.0,0
18,0.128,2.2915,0.1028,0.011368,11347800,11347800,0,0.0,0.0,0
19,0.1278,2.2912,0.1052,0.010003,11347800,11347800,0,0.0,0.0,0
20,0.1304,2.2885,0.0954,0.009571,11347800,11347800,0,0.0,0.0,0
21,0.1322,2.2875,0.1136,0.014008,11347800,11347800,0,0.0,0.0,0
22,0.1374,2.2875,0.1071,0.011684,11347800,11347800,0,0.0,0.0,0
23,0.1386,2.2847,0.1106,0.010664,11347800,11347800,0,0.0,0.0,0
24,0.1404,2.2827,0.1102,0.012096,11347800,11347800,0,0.0,0.0,0
25,0.1376,2.2839,0.1038,0.011379,11347800,11347800,0,0.0,0.0,0
26,0.14,2.2809,0.1072,0.011718,11347800,11347800,0,0.0,0.0,0
27,0.1386,2.2754,0.1095,0.014234,11347800,11347800,0,0.0,0.0,0
28,0.1384,2.2769,0.1146,0.013386,11347800,11347800,0,0.0,0.0,0
29,0.1416,2.2752,0.125,0.015498,11347800,11347800,0,0.0,0.0,0
30,0.1448,2.2717,0.1109,0.009555,11347800,11347800,0,0.0,0.0,0
31,0.1526,2.2706,0.1154,0.010152,11347800,11347800,0,0.0,0.0,0
32,0.1572,2.2647,0.1252,0.007616,11347800,11347800,0,0.0,0.0,0
33,0.1614,2.2633,0.1314,0.008287,11347800,11347800,0,0.0,0.0,0
34,0.1666,2.2617,0.1342,0.008834,11347800,11347800,0,0.0,0.0,0
35,0.15,2.2589,0.1314,0.016119,11347800,11347800,0,0.0,0.0,0
36,0.1524,2.258,0.1395,0.021357,11347800,11347800,0,0.0,0.0,0
37,0.1574,2.2558,0.1374,0.013809,11347800,11347800,0,0.0,0.0,0
38,0.169,2.2502,0.1324,0.00872,11347800,11347800,0,0.0,0.0,0
39,0.1846,2.2489,0.1476,0.008781,11347800,11347800,0,0.0,0.0,0
40,0.1764,2.2476,0.1573,0.009731,11347800,11347800,0,0.0,0.0,0
41,0.183,2.2387,0.155,0.007261,11347800,11347800,0,0.0,0.0,0
42,0.1866,2.2435,0.1534,0.008312,11347800,11347800,0,0.0,0.0,0
43,0.188,2.2419,0.1628,0.009021,11347800,11347800,0,0.0,0.0,0
44,0.1908,2.2425,0.1673,0.007128,11347800,11347800,0,0.0,0.0,0
45,0.1962,2.2432,0.165,0.006048,11347800,11347800,0,0.0,0.0,0
46,0.176,2.2388,0.1622,0.011524,11347800,11347800,0,0.0,0.0,0
47,0.1818,2.2401,0.1696,0.015747,11347800,11347800,0,0.0,0.0,0
48,0.1766,2.2333,0.1661,0.014987,11347800,11347800,0,0.0,0.0,0
49,0.1742,2.2314,0.1676,0.017748,11347800,11347800,0,0.0,0.0,0
50,0.1882,2.224,0.1704,0.011575,11347800,11347800,0,0.0,0.0,0
51,0.1924,2.2283,0.1756,0.013853,11347800,11347800,0,0.0,0.0,0
52,0.205,2.2128,0.1793,0.006002,11347800,11347800,0,0.0,0.0,0
53,0.1922,2.215,0.1656,0.011445,11347800,11347800,0,0.0,0.0,0
54,0.1866,2.216,0.1645,0.01104,11347800,11347800,0,0.0,0.0,0
55,0.1916,2.2134,0.167,0.009215,11347800,11347800,0,0.0,0.0,0
56,0.1968,2.2116,0.158,0.009336,11347800,11347800,0,0.0,0.0,0
57,0.2002,2.2068,0.1614,0.006815,11347800,11347800,0,0.0,0.0,0
58,0.1932,2.2082,0.169,0.010416,11347800,11347800,0,0.0,0.0,0
59,0.1956,2.2178,0.1699,0.013148,11347800,11347800,0,0.0,0.0,0
60,0.2102,2.1975,0.1788,0.006467,11347800,11347800,0,0.0,0.0,0
