round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.0942,291.2714,0.0716,0.020218,11347800,11347800,0,0.0,0.0,0
2,0.0998,838.0544,0.1075,0.028748,11347800,11347800,0,0.0,0.0,0
3,0.0962,660.0824,0.117,0.062348,11347800,11347800,0,0.0,0.0,0
4,0.1004,2164.6661,0.1082,0.027505,11347800,11347800,0,0.0,0.0,0
5,0.1044,1692.0014,0.1154,0.019697,11347800,11347800,0,0.0,0.0,0
6,0.1038,1896.7694,0.115,0.019842,11347800,11347800,0,0.0,0.0,0
7,0.0744,2268.7441,0.0988,0.010542,11347800,11347800,0,0.0,0.0,0
8,0.1024,4013.1848,0.1104,0.028144,11347800,11347800,0,0.0,0.0,0
9,0.0998,4215.764,0.1085,0.030141,11347800,11347800,0,0.0,0.0,0
10,0.0952,5101.5385,0.1096,0.039055,11347800,11347800,0,0.0,0.0,0
11,0.0994,5062.9363,0.1121,0.034822,11347800,11347800,0,0.0,0.0,0
12,0.0922,4348.7737,0.104,0.026119,11347800,11347800,0,0.0,0.0,0
13,0.1014,5086.0802,0.112,0.044601,11347800,11347800,0,0.0,0.0,0
14,0.0774,5964.3043,0.0718,0.00805,11347800,11347800,0,0.0,0.0,0
15,0.0998,8997.0202,0.0469,0.010733,11347800,11347800,0,0.0,0.0,0
16,0.0972,11006.342,0.0465,0.0104,11347800,11347800,0,0.0,0.0,0
17,0.1096,8596.9611,0.0875,0.01104,11347800,11347800,0,0.0,0.0,0
18,0.1,10041.7444,0.0466,0.010992,11347800,11347800,0,0.0,0.0,0
19,0.1,11079.987,0.1084,0.030563,11347800,11347800,0,0.0,0.0,0
20,0.1002,13252.3308,0.1423,0.030163,11347800,11347800,0,0.0,0.0,0
21,0.104,14025.1415,0.0539,0.009186,11347800,11347800,0,0.0,0.0,0
22,0.101,14159.0493,0.0476,0.010534,11347800,11347800,0,0.0,0.0,0
23,0.0992,10879.6738,0.1418,0.028916,11347800,11347800,0,0.0,0.0,0
24,0.1,11496.1211,0.0836,0.020885,11347800,11347800,0,0.0,0.0,0
25,0.1,16197.1896,0.0834,0.020913,11347800,11347800,0,0.0,0.0,0
26,0.1,16768.9628,0.0834,0.020913,11347800,11347800,0,0.0,0.0,0
27,0.1,14224.4407,0.0834,0.020913,11347800,11347800,0,0.0,0.0,0
28,0.1002,12213.3576,0.0834,0.020913,11347800,11347800,0,0.0,0.0,0
29,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
30,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
31,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
32,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
33,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
34,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
35,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
36,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
37,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
38,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
39,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
40,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
41,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
42,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
43,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
44,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
45,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
46,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
47,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
48,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
49,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
50,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
51,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
52,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
53,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
54,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
55,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
56,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
57,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
58,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
59,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
60,0.1,nan,0.1083,0.030551,11347800,11347800,0,0.0,0.0,0
