round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.757,0.9921,0.7368,0.078489,288600
2,0.941,0.3747,0.9143,0.028631,288600
3,0.986,0.1781,0.9821,0.001241,288600
4,0.999,0.0999,0.9972,4.3e-05,288600
5,0.999,0.062,0.9995,4e-06,288600
6,1.0,0.0416,1.0,0.0,288600
7,1.0,0.0296,1.0,0.0,288600
8,1.0,0.0221,1.0,0.0,288600
9,1.0,0.0171,1.0,0.0,288600
10,1.0,0.0137,1.0,0.0,288600
11,1.0,0.0113,1.0,0.0,288600
12,1.0,0.0095,1.0,0.0,288600
13,1.0,0.0081,1.0,0.0,288600
14,1.0,0.0071,1.0,0.0,288600
15,1.0,0.0062,1.0,0.0,288600
