epoch,lr,test_acc,test_loss
1,0.01,0.2812,2.0133
2,0.009973,0.2358,2.1078
3,0.009891,0.3518,1.8131
4,0.009755,0.269,1.9404
5,0.009568,0.3692,1.7274
6,0.00933,0.394,1.6562
7,0.009045,0.3594,1.7747
8,0.008716,0.3744,1.7063
9,0.008346,0.4106,1.6643
10,0.007939,0.4254,1.6009
11,0.0075,0.4416,1.5306
12,0.007034,0.4632,1.5023
13,0.006545,0.3294,1.907
14,0.00604,0.4366,1.5748
15,0.005523,0.4664,1.4979
16,0.005,0.4524,1.5331
17,0.004477,0.4656,1.4889
18,0.00396,0.4702,1.4823
19,0.003455,0.472,1.5005
20,0.002966,0.4848,1.4408
21,0.0025,0.4898,1.4419
22,0.002061,0.4866,1.4531
23,0.001654,0.4898,1.4498
24,0.001284,0.4948,1.4443
25,0.000955,0.488,1.4406
26,0.00067,0.4934,1.4375
27,0.000432,0.4924,1.443
28,0.000245,0.492,1.4371
29,0.000109,0.496,1.4343
30,2.7e-05,0.494,1.4344
