round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.2044,2.2386,0.2086,0.005432,11347800
2,0.2256,2.1381,0.225,0.004748,11347800
3,0.244,2.08,0.2429,0.005002,11347800
4,0.2686,2.0368,0.2646,0.004738,11347800
5,0.2794,1.9983,0.2731,0.003444,11347800
6,0.3056,1.9535,0.2983,0.003441,11347800
7,0.309,1.9202,0.3105,0.003123,11347800
8,0.3188,1.9009,0.3151,0.003564,11347800
9,0.3294,1.8775,0.3258,0.00272,11347800
10,0.3374,1.8513,0.3391,0.002916,11347800
11,0.35,1.8457,0.3457,0.00417,11347800
12,0.35,1.8123,0.3531,0.002748,11347800
13,0.3568,1.7851,0.3664,0.003132,11347800
14,0.3612,1.7785,0.3697,0.003395,11347800
15,0.3678,1.7606,0.3745,0.002145,11347800
16,0.362,1.7584,0.3716,0.00216,11347800
17,0.3772,1.7319,0.3887,0.002665,11347800
18,0.3826,1.7307,0.3896,0.003541,11347800
19,0.386,1.7295,0.3867,0.004437,11347800
20,0.3866,1.7035,0.3986,0.002997,11347800
21,0.391,1.6958,0.4016,0.00358,11347800
22,0.4002,1.6728,0.4103,0.002331,11347800
23,0.407,1.6649,0.4175,0.002045,11347800
24,0.4048,1.6601,0.4155,0.003238,11347800
25,0.4092,1.6485,0.4248,0.002336,11347800
26,0.4182,1.6338,0.4312,0.002107,11347800
27,0.4188,1.6245,0.4322,0.00253,11347800
28,0.4152,1.6231,0.4344,0.00215,11347800
29,0.4266,1.6065,0.4471,0.002138,11347800
30,0.4148,1.6188,0.4387,0.002204,11347800
31,0.4248,1.6016,0.4472,0.001967,11347800
32,0.4234,1.5955,0.4534,0.003163,11347800
33,0.4264,1.5826,0.4603,0.002277,11347800
34,0.4262,1.5822,0.4631,0.00316,11347800
35,0.4306,1.5852,0.4592,0.003566,11347800
36,0.4328,1.5735,0.4686,0.003097,11347800
37,0.4288,1.5644,0.4695,0.002216,11347800
38,0.4288,1.5671,0.4703,0.003037,11347800
39,0.4338,1.5579,0.4728,0.002497,11347800
40,0.4332,1.5518,0.4804,0.002103,11347800
41,0.4378,1.5544,0.4817,0.003499,11347800
42,0.442,1.5476,0.4821,0.002695,11347800
43,0.4436,1.5417,0.4905,0.001977,11347800
44,0.4418,1.5526,0.4852,0.004439,11347800
45,0.4436,1.5387,0.493,0.002708,11347800
46,0.4434,1.5363,0.4933,0.00282,11347800
47,0.4404,1.5431,0.486,0.004337,11347800
48,0.4468,1.537,0.5022,0.002517,11347800
49,0.4486,1.5285,0.5059,0.003708,11347800
50,0.4478,1.5306,0.502,0.003036,11347800
51,0.447,1.5331,0.5113,0.003123,11347800
52,0.4544,1.5166,0.5161,0.002281,11347800
53,0.4524,1.5309,0.5144,0.00235,11347800
54,0.4504,1.5274,0.511,0.003513,11347800
55,0.4532,1.513,0.5189,0.003361,11347800
56,0.4608,1.5122,0.5197,0.003369,11347800
57,0.4596,1.5063,0.5297,0.002419,11347800
58,0.4552,1.5208,0.5261,0.002194,11347800
59,0.46,1.5117,0.5274,0.004005,11347800
60,0.461,1.51,0.5307,0.003211,11347800
