round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1512,2.2364,0.1555,0.000146,11347800
2,0.1756,2.1873,0.1781,0.000117,11347800
3,0.2474,2.131,0.2493,0.000118,11347800
4,0.2966,2.0121,0.2938,6.7e-05,11347800
5,0.2722,2.0143,0.276,8.8e-05,11347800
6,0.2972,1.9848,0.2993,0.000115,11347800
7,0.2604,1.9928,0.2634,0.000114,11347800
8,0.3232,1.9047,0.3246,0.000134,11347800
9,0.3372,1.8588,0.3329,0.00014,11347800
10,0.3354,1.8547,0.3368,0.000165,11347800
11,0.3304,1.868,0.3302,0.000171,11347800
12,0.3438,1.8399,0.3367,0.000172,11347800
13,0.3258,1.8835,0.3287,0.000116,11347800
14,0.3234,1.8332,0.3265,0.000238,11347800
15,0.37,1.771,0.3701,0.000167,11347800
16,0.3742,1.7502,0.377,0.000202,11347800
17,0.3594,1.7634,0.3623,0.000169,11347800
18,0.3728,1.7385,0.3808,0.00016,11347800
19,0.3766,1.7382,0.3797,0.000225,11347800
20,0.3856,1.7208,0.3869,0.000249,11347800
21,0.378,1.7114,0.3897,0.000161,11347800
22,0.3898,1.7126,0.3926,0.000228,11347800
23,0.3924,1.6862,0.4013,0.000139,11347800
24,0.3934,1.6922,0.4038,0.000154,11347800
25,0.3706,1.7593,0.3695,0.000156,11347800
26,0.3714,1.7516,0.3867,0.000146,11347800
27,0.4006,1.6808,0.4029,0.000159,11347800
28,0.4024,1.6549,0.42,9.7e-05,11347800
29,0.4078,1.6509,0.4174,0.000124,11347800
30,0.4038,1.6682,0.4156,0.000132,11347800
31,0.3986,1.6621,0.4108,0.00019,11347800
32,0.4212,1.6114,0.4386,0.000155,11347800
33,0.4044,1.6449,0.4251,0.000137,11347800
34,0.4144,1.6134,0.4365,0.000179,11347800
35,0.423,1.6052,0.4444,0.000202,11347800
36,0.4196,1.6071,0.4436,0.000117,11347800
37,0.392,1.6865,0.4153,0.000186,11347800
38,0.4184,1.6038,0.4459,0.000167,11347800
39,0.4186,1.6043,0.4498,0.00023,11347800
40,0.431,1.5772,0.4628,0.000145,11347800
41,0.4196,1.6057,0.4481,0.00017,11347800
42,0.4176,1.5911,0.4533,0.000144,11347800
43,0.4282,1.5633,0.4644,0.000186,11347800
44,0.4198,1.5755,0.4607,0.000195,11347800
45,0.4314,1.5884,0.4585,0.00026,11347800
46,0.4372,1.5567,0.4595,0.000157,11347800
47,0.4254,1.5759,0.4614,0.000297,11347800
48,0.4358,1.5582,0.4805,0.000128,11347800
49,0.42,1.6165,0.4641,0.000133,11347800
50,0.448,1.5183,0.4977,0.000187,11347800
51,0.4376,1.5459,0.4891,0.000213,11347800
52,0.4426,1.5222,0.4955,0.000223,11347800
53,0.4356,1.5471,0.4895,0.000246,11347800
54,0.4438,1.524,0.4992,0.000174,11347800
55,0.4498,1.5108,0.5095,0.00027,11347800
56,0.4578,1.4981,0.5167,0.000223,11347800
57,0.449,1.5134,0.5135,0.000203,11347800
58,0.4352,1.5224,0.5044,0.000279,11347800
59,0.4502,1.5113,0.5106,0.000179,11347800
60,0.454,1.5245,0.5134,0.000255,11347800
