round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.2942,2.0494,0.2594,0.002726,11347800
2,0.33,1.8831,0.2977,0.004691,11347800
3,0.3504,1.8099,0.334,0.002002,11347800
4,0.375,1.7455,0.3579,0.002782,11347800
5,0.3974,1.6762,0.3799,0.001607,11347800
6,0.3952,1.6541,0.3913,0.001687,11347800
7,0.421,1.6159,0.4183,0.001476,11347800
8,0.4284,1.5843,0.4328,0.002585,11347800
9,0.4362,1.5707,0.436,0.002709,11347800
10,0.438,1.5623,0.4405,0.002444,11347800
11,0.4414,1.5635,0.4327,0.005673,11347800
12,0.441,1.55,0.4444,0.004046,11347800
13,0.4636,1.5084,0.4588,0.003226,11347800
14,0.4544,1.5462,0.4595,0.002297,11347800
15,0.4672,1.5023,0.4681,0.003294,11347800
16,0.4678,1.5012,0.4675,0.004748,11347800
17,0.4494,1.5774,0.4563,0.003215,11347800
18,0.4784,1.4981,0.4781,0.005503,11347800
19,0.4684,1.5185,0.4827,0.004569,11347800
20,0.4762,1.5005,0.4786,0.008397,11347800
21,0.4666,1.5318,0.5031,0.005728,11347800
22,0.4726,1.5502,0.4896,0.008244,11347800
23,0.4406,1.6635,0.4594,0.009883,11347800
24,0.436,1.6631,0.4755,0.00713,11347800
25,0.4662,1.6034,0.4986,0.008485,11347800
26,0.4594,1.6224,0.4879,0.01233,11347800
27,0.4616,1.6422,0.4972,0.010425,11347800
28,0.4548,1.6565,0.4953,0.013989,11347800
29,0.4682,1.6753,0.5034,0.015294,11347800
30,0.4652,1.7557,0.4926,0.013571,11347800
31,0.4472,1.7726,0.5052,0.014148,11347800
32,0.4578,1.7722,0.5059,0.014523,11347800
33,0.4496,1.8501,0.4939,0.015744,11347800
34,0.455,1.85,0.5021,0.018616,11347800
35,0.455,1.8346,0.4957,0.021101,11347800
36,0.453,1.9236,0.507,0.018106,11347800
37,0.4604,1.9388,0.5115,0.02234,11347800
38,0.4604,1.9159,0.5218,0.021943,11347800
39,0.4596,1.9631,0.533,0.021223,11347800
40,0.4534,1.9708,0.537,0.02135,11347800
41,0.4564,2.0477,0.5239,0.023474,11347800
42,0.4598,2.0498,0.5281,0.025621,11347800
43,0.4382,2.1447,0.5181,0.025521,11347800
44,0.4596,2.0751,0.5344,0.026989,11347800
45,0.4552,2.1221,0.5333,0.028238,11347800
46,0.4506,2.1277,0.5219,0.031733,11347800
47,0.454,2.1659,0.5373,0.028017,11347800
48,0.4568,2.2279,0.5416,0.028479,11347800
49,0.4546,2.1748,0.5463,0.027722,11347800
50,0.4558,2.2388,0.5526,0.027489,11347800
51,0.4594,2.2169,0.5517,0.027725,11347800
52,0.4554,2.2875,0.5432,0.033556,11347800
53,0.4538,2.2583,0.5645,0.029288,11347800
54,0.4566,2.2929,0.5575,0.030937,11347800
55,0.4578,2.342,0.5562,0.031698,11347800
56,0.4488,2.3396,0.5637,0.028368,11347800
57,0.453,2.432,0.5465,0.036172,11347800
58,0.4548,2.3913,0.5595,0.032218,11347800
59,0.4526,2.4078,0.5614,0.036022,11347800
60,0.4466,2.398,0.5621,0.033244,11347800
