round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1226,2.3063,0.1142,0.028804,11347800
2,0.1712,2.2605,0.1302,0.019187,11347800
3,0.1986,2.1742,0.1565,0.021967,11347800
4,0.2148,2.1175,0.1669,0.022098,11347800
5,0.2396,2.0594,0.1827,0.028297,11347800
6,0.2622,2.0097,0.2306,0.029682,11347800
7,0.2636,1.9797,0.2123,0.030424,11347800
8,0.2786,1.9553,0.2299,0.023902,11347800
9,0.2792,1.9683,0.2626,0.029443,11347800
10,0.3206,1.8744,0.2823,0.016624,11347800
11,0.2974,1.9106,0.2416,0.019096,11347800
12,0.3328,1.8476,0.2921,0.017187,11347800
13,0.3228,1.8518,0.2783,0.023845,11347800
14,0.3324,1.8496,0.2936,0.027206,11347800
15,0.3428,1.8084,0.3132,0.018529,11347800
16,0.3456,1.7993,0.3261,0.021007,11347800
17,0.3378,1.8098,0.3161,0.015248,11347800
18,0.3582,1.764,0.3419,0.015174,11347800
19,0.367,1.7449,0.3452,0.01259,11347800
20,0.3586,1.7421,0.356,0.015095,11347800
21,0.3652,1.7357,0.3362,0.018103,11347800
22,0.3666,1.7403,0.3529,0.023753,11347800
23,0.3618,1.7311,0.3544,0.012659,11347800
24,0.3664,1.7231,0.3503,0.022725,11347800
25,0.377,1.7009,0.3685,0.016833,11347800
26,0.365,1.7201,0.362,0.024646,11347800
27,0.3844,1.6789,0.3627,0.014514,11347800
28,0.3826,1.6897,0.3789,0.014566,11347800
29,0.368,1.7104,0.3498,0.025371,11347800
30,0.381,1.6865,0.3671,0.016379,11347800
31,0.3878,1.6544,0.384,0.016967,11347800
32,0.3778,1.6881,0.3621,0.030182,11347800
33,0.3986,1.6436,0.389,0.01031,11347800
34,0.391,1.6549,0.3821,0.020935,11347800
35,0.4064,1.6297,0.3985,0.011583,11347800
36,0.3954,1.6462,0.3916,0.019181,11347800
37,0.4,1.6269,0.3957,0.013507,11347800
38,0.4016,1.6428,0.395,0.019439,11347800
39,0.3976,1.6346,0.4021,0.012488,11347800
40,0.4032,1.6316,0.4048,0.018848,11347800
41,0.4058,1.6156,0.4041,0.018304,11347800
42,0.4072,1.61,0.4139,0.016806,11347800
43,0.4092,1.6147,0.4161,0.013628,11347800
44,0.4102,1.6093,0.4133,0.017183,11347800
45,0.4144,1.594,0.4235,0.010564,11347800
46,0.4134,1.6001,0.4154,0.018174,11347800
47,0.407,1.63,0.3975,0.018547,11347800
48,0.4144,1.5856,0.4217,0.015361,11347800
49,0.4168,1.592,0.4265,0.017486,11347800
50,0.4198,1.5821,0.4357,0.012338,11347800
51,0.4144,1.5972,0.4235,0.012361,11347800
52,0.4064,1.6019,0.4215,0.014995,11347800
53,0.4192,1.595,0.434,0.016657,11347800
54,0.41,1.6311,0.4139,0.019811,11347800
55,0.4208,1.5895,0.437,0.013794,11347800
56,0.4264,1.5868,0.437,0.016644,11347800
57,0.4256,1.5807,0.4426,0.011714,11347800
58,0.421,1.5879,0.4604,0.007403,11347800
59,0.4246,1.5772,0.4389,0.013952,11347800
60,0.4262,1.5759,0.4476,0.011692,11347800
