round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1494,2.2378,0.1544,0.000179,11347800
2,0.1766,2.2007,0.1765,0.000129,11347800
3,0.2426,2.1425,0.2433,0.000134,11347800
4,0.2952,2.0152,0.293,7.3e-05,11347800
5,0.2702,2.0153,0.2729,7.3e-05,11347800
6,0.293,1.9912,0.2973,0.000137,11347800
7,0.2594,1.9927,0.2636,0.000122,11347800
8,0.3218,1.9013,0.325,0.000125,11347800
9,0.3364,1.8608,0.3337,0.000125,11347800
10,0.3286,1.87,0.3289,0.000239,11347800
11,0.325,1.8782,0.3252,0.000177,11347800
12,0.347,1.8419,0.3361,0.00019,11347800
13,0.3242,1.8909,0.3265,9.9e-05,11347800
14,0.3204,1.8378,0.3238,0.000206,11347800
15,0.3652,1.772,0.3691,0.000146,11347800
16,0.3722,1.7518,0.3766,0.000215,11347800
17,0.356,1.7695,0.3581,0.000161,11347800
18,0.3718,1.7364,0.3805,0.000184,11347800
19,0.374,1.7373,0.3801,0.000189,11347800
20,0.3844,1.7201,0.3877,0.000216,11347800
21,0.381,1.709,0.3897,0.000194,11347800
22,0.3884,1.7132,0.3919,0.000257,11347800
23,0.391,1.6886,0.4013,0.000147,11347800
24,0.3964,1.6885,0.4053,0.000136,11347800
25,0.3716,1.7553,0.3724,0.000144,11347800
26,0.3762,1.7384,0.3902,0.00012,11347800
27,0.3976,1.6796,0.4026,0.000136,11347800
28,0.4058,1.6506,0.4201,0.000123,11347800
29,0.4016,1.6534,0.4147,8.9e-05,11347800
30,0.4028,1.6707,0.4152,0.000115,11347800
31,0.3976,1.6607,0.4104,0.000228,11347800
32,0.4234,1.61,0.4383,0.000166,11347800
33,0.4086,1.6329,0.4287,0.000129,11347800
34,0.415,1.6128,0.4353,0.000172,11347800
35,0.4254,1.6027,0.4465,0.000211,11347800
36,0.42,1.6039,0.4441,9e-05,11347800
37,0.3934,1.6811,0.4167,0.000186,11347800
38,0.4162,1.6028,0.4457,0.000176,11347800
39,0.4208,1.601,0.4509,0.00021,11347800
40,0.4356,1.567,0.4643,0.000149,11347800
41,0.4124,1.612,0.4437,0.000168,11347800
42,0.4252,1.5836,0.4577,0.000137,11347800
43,0.4304,1.5635,0.4635,0.000143,11347800
44,0.4286,1.5667,0.4666,0.000212,11347800
45,0.4292,1.5897,0.4573,0.000269,11347800
46,0.437,1.5538,0.4616,0.000162,11347800
47,0.4234,1.5766,0.4604,0.000259,11347800
48,0.4348,1.561,0.4792,0.000153,11347800
49,0.4194,1.6035,0.4674,0.000133,11347800
50,0.4484,1.5172,0.4984,0.000155,11347800
51,0.4376,1.5457,0.4877,0.00021,11347800
52,0.4428,1.521,0.4961,0.000213,11347800
53,0.438,1.5454,0.4894,0.000222,11347800
54,0.4464,1.5228,0.4983,0.000165,11347800
55,0.452,1.5115,0.508,0.0003,11347800
56,0.456,1.4959,0.5176,0.000179,11347800
57,0.4518,1.514,0.5153,0.000216,11347800
58,0.438,1.522,0.5042,0.000241,11347800
59,0.4482,1.5078,0.512,0.000183,11347800
60,0.4498,1.5241,0.5162,0.000256,11347800
