round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1,2.3442,0.1383,0.033232,11347800
2,0.1136,2.3295,0.1514,0.042599,11347800
3,0.116,2.3108,0.1173,0.029611,11347800
4,0.116,2.3001,0.1165,0.024894,11347800
5,0.1076,2.2943,0.1087,0.017196,11347800
6,0.1164,2.2908,0.115,0.013559,11347800
7,0.127,2.2886,0.1264,0.013452,11347800
8,0.1314,2.2865,0.1304,0.010132,11347800
9,0.1422,2.2841,0.1439,0.010136,11347800
10,0.1486,2.2818,0.1525,0.008708,11347800
11,0.1584,2.2798,0.1596,0.012769,11347800
12,0.1638,2.2779,0.1657,0.009512,11347800
13,0.1684,2.2759,0.1696,0.011191,11347800
14,0.1732,2.2737,0.1711,0.013942,11347800
15,0.1796,2.2718,0.1766,0.013729,11347800
16,0.1806,2.2697,0.1794,0.014171,11347800
17,0.186,2.2676,0.1815,0.01503,11347800
18,0.188,2.265,0.1855,0.014173,11347800
19,0.1928,2.2626,0.188,0.015975,11347800
20,0.194,2.2608,0.189,0.016249,11347800
21,0.1956,2.2586,0.1903,0.016171,11347800
22,0.199,2.2561,0.195,0.015032,11347800
23,0.2014,2.254,0.1937,0.018913,11347800
24,0.2058,2.2515,0.197,0.015535,11347800
25,0.2066,2.2494,0.1914,0.019336,11347800
26,0.2074,2.2469,0.2007,0.020322,11347800
27,0.2084,2.2443,0.1998,0.016771,11347800
28,0.2088,2.2416,0.2033,0.021166,11347800
29,0.2144,2.2387,0.2012,0.018629,11347800
30,0.2088,2.2358,0.2086,0.021349,11347800
31,0.2152,2.2329,0.2031,0.018467,11347800
32,0.2128,2.2296,0.2115,0.024505,11347800
33,0.2182,2.2268,0.2069,0.018224,11347800
34,0.2194,2.2234,0.2103,0.021532,11347800
35,0.2186,2.22,0.2121,0.018258,11347800
36,0.2136,2.2167,0.2159,0.023275,11347800
37,0.2254,2.2141,0.2038,0.020392,11347800
38,0.208,2.2111,0.2163,0.027896,11347800
39,0.2218,2.2081,0.1985,0.024128,11347800
40,0.2026,2.2054,0.2146,0.029516,11347800
41,0.2244,2.2027,0.1906,0.02647,11347800
42,0.1972,2.1996,0.2104,0.039604,11347800
43,0.2256,2.1995,0.1788,0.034785,11347800
44,0.1814,2.1975,0.2021,0.049086,11347800
45,0.2158,2.2014,0.1702,0.040848,11347800
46,0.1622,2.2118,0.1864,0.062693,11347800
47,0.1968,2.2299,0.1524,0.047336,11347800
48,0.1488,2.2423,0.1749,0.071561,11347800
49,0.1868,2.2624,0.1496,0.046769,11347800
50,0.158,2.2546,0.1839,0.045699,11347800
51,0.1904,2.2506,0.1597,0.047962,11347800
52,0.1598,2.2436,0.1831,0.045871,11347800
53,0.1914,2.23,0.1607,0.049911,11347800
54,0.1684,2.2213,0.194,0.033976,11347800
55,0.2012,2.2072,0.1739,0.049663,11347800
56,0.182,2.205,0.2022,0.028774,11347800
57,0.2078,2.2012,0.1768,0.046109,11347800
58,0.1802,2.197,0.2058,0.029877,11347800
59,0.2124,2.1911,0.1743,0.045237,11347800
60,0.1842,2.1909,0.2096,0.027454,11347800
