round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1224,2.3051,0.1143,0.028895,11347800
2,0.1628,2.2889,0.124,0.017662,11347800
3,0.1964,2.1831,0.1579,0.020765,11347800
4,0.2026,2.131,0.1652,0.022395,11347800
5,0.2378,2.0604,0.1801,0.028308,11347800
6,0.2552,2.0264,0.2169,0.033554,11347800
7,0.2572,1.9908,0.2072,0.032551,11347800
8,0.2552,1.9978,0.2049,0.027339,11347800
9,0.2812,1.9508,0.2547,0.032209,11347800
10,0.3026,1.8919,0.2665,0.028203,11347800
11,0.292,1.9151,0.2368,0.02094,11347800
12,0.3072,1.8811,0.2526,0.022528,11347800
13,0.315,1.8646,0.2627,0.024709,11347800
14,0.3176,1.8634,0.2732,0.027855,11347800
15,0.3314,1.818,0.2955,0.022635,11347800
16,0.3336,1.816,0.3015,0.020495,11347800
17,0.3334,1.8157,0.307,0.017564,11347800
18,0.3518,1.7772,0.3211,0.017127,11347800
19,0.3564,1.7561,0.3329,0.014647,11347800
20,0.3624,1.7483,0.3447,0.01776,11347800
21,0.3618,1.744,0.331,0.020086,11347800
22,0.3646,1.7464,0.3417,0.025386,11347800
23,0.3662,1.7376,0.3582,0.015119,11347800
24,0.372,1.7158,0.3481,0.020418,11347800
25,0.3768,1.7182,0.3671,0.017431,11347800
26,0.37,1.7103,0.366,0.020266,11347800
27,0.3822,1.6874,0.3581,0.01713,11347800
28,0.3828,1.6921,0.3694,0.016134,11347800
29,0.3736,1.6932,0.3518,0.02626,11347800
30,0.3808,1.691,0.3576,0.018819,11347800
31,0.3844,1.6668,0.378,0.018662,11347800
32,0.3706,1.6946,0.3492,0.0299,11347800
33,0.3884,1.6546,0.3854,0.017733,11347800
34,0.3818,1.6643,0.3654,0.020761,11347800
35,0.3978,1.6473,0.3916,0.016298,11347800
36,0.3892,1.6589,0.3808,0.021862,11347800
37,0.3928,1.6419,0.3917,0.016442,11347800
38,0.3912,1.6526,0.3861,0.020097,11347800
39,0.3966,1.6521,0.3954,0.016745,11347800
40,0.3996,1.6403,0.3927,0.018764,11347800
41,0.4004,1.6225,0.4039,0.021875,11347800
42,0.4026,1.6322,0.4039,0.019747,11347800
43,0.4018,1.6213,0.4101,0.016798,11347800
44,0.406,1.6244,0.4105,0.022094,11347800
45,0.409,1.6163,0.4189,0.015134,11347800
46,0.4036,1.6196,0.3993,0.021506,11347800
47,0.3942,1.6382,0.3898,0.023351,11347800
48,0.41,1.6022,0.4119,0.018659,11347800
49,0.4096,1.5983,0.4209,0.020233,11347800
50,0.4174,1.5923,0.4261,0.017744,11347800
51,0.4136,1.6008,0.4176,0.014355,11347800
52,0.4058,1.5997,0.4202,0.016013,11347800
53,0.4126,1.5987,0.4287,0.016793,11347800
54,0.4026,1.6445,0.404,0.023329,11347800
55,0.4142,1.6029,0.4314,0.017275,11347800
56,0.416,1.602,0.4282,0.019765,11347800
57,0.4158,1.5913,0.4364,0.016647,11347800
58,0.4166,1.5879,0.4503,0.010709,11347800
59,0.4226,1.5804,0.44,0.015984,11347800
60,0.4166,1.5916,0.4285,0.017099,11347800
