round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1004,2.3442,0.1381,0.033318,11347800
2,0.1214,2.3225,0.1208,0.042929,11347800
3,0.1234,2.2946,0.1429,0.021041,11347800
4,0.1006,2.2937,0.0761,0.024115,11347800
5,0.1202,2.2923,0.1467,0.051671,11347800
6,0.1102,2.2914,0.0832,0.026215,11347800
7,0.1382,2.2904,0.1575,0.046179,11347800
8,0.1152,2.2901,0.0908,0.02337,11347800
9,0.1454,2.2896,0.1601,0.043123,11347800
10,0.119,2.2895,0.097,0.019867,11347800
11,0.1514,2.2895,0.1623,0.042547,11347800
12,0.1238,2.2884,0.1014,0.02105,11347800
13,0.1504,2.2906,0.1553,0.045634,11347800
14,0.1304,2.2887,0.1225,0.016025,11347800
15,0.1566,2.2901,0.1556,0.04052,11347800
16,0.135,2.2898,0.1266,0.029757,11347800
17,0.1568,2.2881,0.1551,0.031848,11347800
18,0.127,2.2889,0.1243,0.035095,11347800
19,0.1538,2.2863,0.1695,0.028479,11347800
20,0.15,2.2872,0.1546,0.031722,11347800
21,0.1632,2.2848,0.1772,0.021132,11347800
22,0.1592,2.2842,0.1714,0.025298,11347800
23,0.1636,2.2829,0.1783,0.02452,11347800
24,0.1642,2.2813,0.1818,0.024688,11347800
25,0.175,2.2801,0.1846,0.024239,11347800
26,0.1668,2.2793,0.1842,0.025779,11347800
27,0.1732,2.2785,0.1925,0.035654,11347800
28,0.1666,2.2777,0.1888,0.026194,11347800
29,0.1794,2.2766,0.1954,0.036793,11347800
30,0.171,2.2755,0.1914,0.024817,11347800
31,0.1746,2.2749,0.1992,0.03543,11347800
32,0.1774,2.2733,0.1913,0.024337,11347800
33,0.1722,2.2734,0.1959,0.041081,11347800
34,0.178,2.272,0.1925,0.026984,11347800
35,0.1734,2.2718,0.2004,0.046305,11347800
36,0.1732,2.2702,0.1898,0.032717,11347800
37,0.1682,2.2707,0.2021,0.049334,11347800
38,0.1684,2.2692,0.1819,0.047444,11347800
39,0.1708,2.2694,0.1989,0.03985,11347800
40,0.1616,2.268,0.178,0.057799,11347800
41,0.1684,2.2686,0.1896,0.042373,11347800
42,0.1632,2.2666,0.1746,0.061481,11347800
43,0.1734,2.2674,0.184,0.032104,11347800
44,0.1702,2.2653,0.1838,0.050666,11347800
45,0.1636,2.266,0.1781,0.050616,11347800
46,0.178,2.2648,0.1892,0.043326,11347800
47,0.1586,2.2669,0.1609,0.055322,11347800
48,0.1874,2.2658,0.1923,0.038326,11347800
49,0.1598,2.2714,0.1505,0.036012,11347800
50,0.1704,2.274,0.1531,0.027762,11347800
51,0.1472,2.2973,0.1325,0.068865,11347800
52,0.1434,2.2874,0.1163,0.053612,11347800
53,0.1184,2.2918,0.0962,0.056049,11347800
54,0.1306,2.2877,0.0983,0.039379,11347800
55,0.1338,2.2893,0.1402,0.076139,11347800
56,0.1288,2.2857,0.122,0.029656,11347800
57,0.1396,2.2884,0.1435,0.075536,11347800
58,0.1546,2.2852,0.1708,0.025534,11347800
59,0.141,2.2881,0.1444,0.073428,11347800
60,0.1654,2.2835,0.1708,0.02979,11347800
