round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.2942,2.0494,0.2594,0.002726,11347800
2,0.3228,1.8942,0.2895,0.003988,11347800
3,0.3382,1.8666,0.3126,0.001492,11347800
4,0.3678,1.7674,0.3448,0.002629,11347800
5,0.3854,1.7116,0.3603,0.002306,11347800
6,0.3944,1.6778,0.3739,0.002925,11347800
7,0.4146,1.6404,0.4049,0.001481,11347800
8,0.4194,1.6016,0.4187,0.00235,11347800
9,0.4276,1.5948,0.4299,0.000788,11347800
10,0.433,1.5818,0.431,0.001893,11347800
11,0.4336,1.5872,0.4222,0.004007,11347800
12,0.4398,1.5569,0.4422,0.002656,11347800
13,0.4564,1.5222,0.4545,0.002489,11347800
14,0.4422,1.5823,0.4542,0.001457,11347800
15,0.4714,1.4929,0.4562,0.003508,11347800
16,0.4616,1.5066,0.4604,0.002687,11347800
17,0.452,1.543,0.4459,0.003941,11347800
18,0.477,1.4844,0.4788,0.0033,11347800
19,0.467,1.5158,0.4746,0.003211,11347800
20,0.4796,1.4862,0.4785,0.004969,11347800
21,0.4652,1.5512,0.4702,0.005501,11347800
22,0.4662,1.5479,0.458,0.013726,11347800
23,0.442,1.6092,0.4574,0.007601,11347800
24,0.4396,1.6299,0.4741,0.004467,11347800
25,0.4658,1.5482,0.4865,0.007027,11347800
26,0.4654,1.5549,0.4871,0.010446,11347800
27,0.4576,1.5908,0.5007,0.006933,11347800
28,0.4496,1.5909,0.4748,0.012235,11347800
29,0.465,1.6314,0.4954,0.012031,11347800
30,0.4642,1.6678,0.501,0.009697,11347800
31,0.4512,1.6668,0.5048,0.010569,11347800
32,0.4584,1.7113,0.5012,0.011134,11347800
33,0.4522,1.7736,0.4957,0.012036,11347800
34,0.4658,1.7258,0.5069,0.014871,11347800
35,0.4638,1.7423,0.5024,0.017554,11347800
36,0.4766,1.7397,0.5174,0.018861,11347800
37,0.4616,1.8111,0.5197,0.017068,11347800
38,0.4442,1.8539,0.5022,0.017131,11347800
39,0.4588,1.8835,0.5145,0.020022,11347800
40,0.4582,1.8391,0.5254,0.018797,11347800
41,0.4578,1.892,0.5196,0.022681,11347800
42,0.4618,1.944,0.5248,0.023075,11347800
43,0.4482,2.0132,0.5221,0.020098,11347800
44,0.471,1.9459,0.5391,0.022004,11347800
45,0.4602,2.0286,0.5302,0.02466,11347800
46,0.4484,2.0343,0.5255,0.021143,11347800
47,0.4654,2.0564,0.5438,0.022889,11347800
48,0.4726,2.0804,0.5357,0.025782,11347800
49,0.4684,2.0746,0.5415,0.026755,11347800
50,0.468,2.0789,0.5496,0.024758,11347800
51,0.4662,2.0398,0.5544,0.023799,11347800
52,0.4712,2.1074,0.5518,0.025582,11347800
53,0.4606,2.1023,0.5483,0.027643,11347800
54,0.4642,2.1799,0.5555,0.027621,11347800
55,0.4578,2.1088,0.553,0.027692,11347800
56,0.4642,2.1571,0.558,0.027283,11347800
57,0.4646,2.2593,0.5544,0.026605,11347800
58,0.4618,2.234,0.5603,0.02833,11347800
59,0.4642,2.2111,0.5652,0.029955,11347800
60,0.4574,2.2225,0.5646,0.029907,11347800
