round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1234,2.3129,0.1237,0.019939,11347800
2,0.143,2.2686,0.1465,0.019148,11347800
3,0.1546,2.2275,0.1558,0.013923,11347800
4,0.1886,2.1964,0.2018,0.014938,11347800
5,0.1894,2.1462,0.2189,0.01955,11347800
6,0.1796,2.1332,0.2296,0.022385,11347800
7,0.204,2.1087,0.2704,0.025032,11347800
8,0.2196,2.0868,0.2763,0.029099,11347800
9,0.223,2.097,0.2715,0.015622,11347800
10,0.2344,2.0719,0.2812,0.025358,11347800
11,0.2512,2.079,0.2829,0.013125,11347800
12,0.2396,2.0841,0.2942,0.018787,11347800
13,0.204,2.1436,0.2602,0.038849,11347800
14,0.2338,2.0721,0.284,0.021195,11347800
15,0.2348,2.0724,0.2916,0.024071,11347800
16,0.2314,2.0606,0.2895,0.034352,11347800
17,0.2598,2.0268,0.2691,0.01714,11347800
18,0.2456,2.0388,0.2539,0.01326,11347800
19,0.2588,2.0177,0.2897,0.014041,11347800
20,0.2272,2.1012,0.2886,0.028775,11347800
21,0.2316,2.0531,0.2811,0.02756,11347800
22,0.2484,2.0642,0.3021,0.02491,11347800
23,0.2214,2.0709,0.2858,0.04258,11347800
24,0.2634,2.0101,0.2829,0.007464,11347800
25,0.2618,2.0074,0.2694,0.01397,11347800
26,0.2336,2.0764,0.2661,0.022722,11347800
27,0.238,2.0563,0.288,0.030692,11347800
28,0.267,1.9905,0.3098,0.01931,11347800
29,0.2682,1.9994,0.2928,0.01414,11347800
30,0.269,1.9859,0.3098,0.015512,11347800
31,0.2558,2.0277,0.3117,0.031876,11347800
32,0.279,1.989,0.318,0.014288,11347800
33,0.2372,2.064,0.2421,0.034654,11347800
34,0.261,2.0095,0.2545,0.013952,11347800
35,0.2702,1.9921,0.2902,0.020281,11347800
36,0.2596,2.0329,0.2931,0.019543,11347800
37,0.2032,2.1231,0.2698,0.059432,11347800
38,0.2416,2.0454,0.3074,0.036666,11347800
39,0.2226,2.084,0.2814,0.050814,11347800
40,0.2484,2.0061,0.3019,0.024509,11347800
41,0.2374,2.0228,0.2837,0.032387,11347800
42,0.2624,2.0524,0.2954,0.024822,11347800
43,0.221,2.0894,0.277,0.055002,11347800
44,0.2716,2.0071,0.2885,0.024445,11347800
45,0.249,2.0124,0.2925,0.031107,11347800
46,0.2782,1.9762,0.3172,0.011071,11347800
47,0.2646,2.009,0.3095,0.018088,11347800
48,0.2462,2.0162,0.2916,0.040172,11347800
49,0.2688,1.9748,0.3111,0.024536,11347800
50,0.2734,2.0092,0.3122,0.024735,11347800
51,0.2352,2.0556,0.3006,0.033391,11347800
52,0.2756,2.0064,0.3284,0.017448,11347800
53,0.2418,2.0372,0.3069,0.038809,11347800
54,0.2684,2.0043,0.3105,0.02294,11347800
55,0.2516,1.9989,0.3003,0.031553,11347800
56,0.2562,2.0148,0.3035,0.02012,11347800
57,0.2694,1.9911,0.2999,0.012651,11347800
58,0.2834,1.9749,0.2938,0.014837,11347800
59,0.2708,1.9779,0.322,0.023833,11347800
60,0.2808,1.958,0.3285,0.018931,11347800
