round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1762,2.2793,0.1679,5.2e-05,11347800
2,0.2298,2.2153,0.2268,4e-05,11347800
3,0.2464,2.1533,0.239,8e-05,11347800
4,0.2572,2.0868,0.2525,5e-05,11347800
5,0.2786,2.0346,0.2778,5.7e-05,11347800
6,0.2908,1.9925,0.2914,5.1e-05,11347800
7,0.3012,1.9707,0.3012,0.000141,11347800
8,0.2876,1.9597,0.2996,9.6e-05,11347800
9,0.3054,1.9188,0.3155,7.9e-05,11347800
10,0.3174,1.9069,0.3182,0.000148,11347800
11,0.3284,1.8733,0.331,0.000109,11347800
12,0.3262,1.8697,0.3345,8.6e-05,11347800
13,0.3364,1.8481,0.3448,9.9e-05,11347800
14,0.3458,1.8312,0.3515,9.1e-05,11347800
15,0.344,1.8401,0.3492,0.000109,11347800
16,0.348,1.8085,0.3623,9.8e-05,11347800
17,0.3604,1.7822,0.3711,0.000158,11347800
18,0.3742,1.769,0.3751,7.7e-05,11347800
19,0.3652,1.7696,0.376,0.00011,11347800
20,0.374,1.7473,0.3819,0.000118,11347800
21,0.3652,1.7588,0.372,9.8e-05,11347800
22,0.3786,1.7291,0.3883,9.4e-05,11347800
23,0.378,1.7314,0.3835,7.7e-05,11347800
24,0.3862,1.7141,0.3923,0.000111,11347800
25,0.391,1.703,0.3986,0.000102,11347800
26,0.3838,1.7036,0.3974,0.0001,11347800
27,0.3948,1.681,0.4088,0.000107,11347800
28,0.399,1.6713,0.4185,0.000156,11347800
29,0.4028,1.6656,0.4213,0.000114,11347800
30,0.386,1.6808,0.4084,0.000109,11347800
31,0.4034,1.648,0.4233,0.000127,11347800
32,0.411,1.6367,0.4321,0.000118,11347800
33,0.401,1.6553,0.4256,6.8e-05,11347800
34,0.4126,1.6288,0.4361,0.000186,11347800
35,0.4118,1.6416,0.4348,0.000102,11347800
36,0.4144,1.6224,0.441,0.000114,11347800
37,0.4116,1.631,0.4397,0.000135,11347800
38,0.4212,1.6056,0.4506,0.000133,11347800
39,0.4162,1.6135,0.4435,0.000123,11347800
40,0.4242,1.5933,0.4534,0.000107,11347800
41,0.415,1.6221,0.4478,0.00012,11347800
42,0.4234,1.6024,0.4511,0.000128,11347800
43,0.431,1.5809,0.464,0.000116,11347800
44,0.4338,1.5732,0.4675,0.000162,11347800
45,0.4352,1.5666,0.469,0.000142,11347800
46,0.44,1.559,0.4791,0.000163,11347800
47,0.4372,1.5681,0.4702,0.000147,11347800
48,0.4406,1.5503,0.4803,0.000107,11347800
49,0.436,1.5612,0.4725,0.000152,11347800
50,0.4382,1.555,0.4782,0.000178,11347800
51,0.4388,1.5493,0.484,0.000109,11347800
52,0.4352,1.5539,0.4786,9.5e-05,11347800
53,0.4492,1.544,0.4883,0.000141,11347800
54,0.446,1.5484,0.4889,0.000235,11347800
55,0.448,1.5353,0.4939,0.000103,11347800
56,0.4434,1.5502,0.4906,0.00013,11347800
57,0.4514,1.5242,0.497,0.000158,11347800
58,0.4544,1.5177,0.5051,0.000152,11347800
59,0.4616,1.5098,0.5117,0.000135,11347800
60,0.4566,1.5118,0.5117,0.000133,11347800
