round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1004,2.3442,0.1381,0.033318,11347800
2,0.1144,2.3446,0.1586,0.084521,11347800
3,0.1202,2.3454,0.1685,0.071841,11347800
4,0.1326,2.3514,0.1727,0.039384,11347800
5,0.1374,2.3416,0.1809,0.043719,11347800
6,0.1374,2.3319,0.1867,0.035462,11347800
7,0.1434,2.3303,0.1885,0.028768,11347800
8,0.1386,2.3341,0.179,0.027585,11347800
9,0.1388,2.3387,0.1803,0.022164,11347800
10,0.1284,2.3438,0.1769,0.036355,11347800
11,0.1298,2.3618,0.1712,0.027604,11347800
12,0.1292,2.3569,0.1759,0.055058,11347800
13,0.1424,2.3486,0.1941,0.029719,11347800
14,0.1278,2.3202,0.1776,0.046614,11347800
15,0.1402,2.3414,0.182,0.091774,11347800
16,0.1298,2.3348,0.1665,0.061734,11347800
17,0.1362,2.3676,0.1798,0.059396,11347800
18,0.1166,2.3497,0.1572,0.094673,11347800
19,0.1426,2.4073,0.2025,0.043066,11347800
20,0.1428,2.3535,0.1902,0.083485,11347800
21,0.14,2.5343,0.1919,0.040422,11347800
22,0.1224,2.2991,0.1485,0.074799,11347800
23,0.1242,2.8442,0.1687,0.092149,11347800
24,0.1292,2.3728,0.114,0.020281,11347800
25,0.1308,2.444,0.1737,0.055093,11347800
26,0.1406,2.3272,0.194,0.08068,11347800
27,0.1506,2.471,0.2113,0.048354,11347800
28,0.1608,2.3079,0.2155,0.07589,11347800
29,0.1006,2.9312,0.1349,0.113293,11347800
30,0.1,2.768,0.1331,0.115094,11347800
31,0.118,2.4557,0.1541,0.10764,11347800
32,0.1162,2.4591,0.1563,0.084788,11347800
33,0.1192,2.5262,0.1558,0.083664,11347800
34,0.1122,2.7733,0.1522,0.091611,11347800
35,0.1102,2.5403,0.1483,0.100708,11347800
36,0.1004,2.3665,0.1344,0.114487,11347800
37,0.137,2.455,0.1785,0.060334,11347800
38,0.1106,2.3615,0.1523,0.076287,11347800
39,0.143,2.51,0.1865,0.085571,11347800
40,0.1252,2.2853,0.1407,0.020618,11347800
41,0.1398,2.8531,0.1825,0.08057,11347800
42,0.116,2.4992,0.0833,0.032773,11347800
43,0.1424,3.0938,0.1909,0.084498,11347800
44,0.1102,2.4397,0.0985,0.037586,11347800
45,0.1242,2.8977,0.1664,0.089891,11347800
46,0.1218,2.6101,0.1637,0.106969,11347800
47,0.1042,2.5315,0.1356,0.112487,11347800
48,0.138,2.7971,0.1831,0.106081,11347800
49,0.112,2.6424,0.1474,0.105284,11347800
50,0.1106,2.4387,0.1449,0.090625,11347800
51,0.1078,2.4941,0.1453,0.112002,11347800
52,0.1026,2.7259,0.1376,0.108747,11347800
53,0.146,2.7579,0.1944,0.104496,11347800
54,0.1072,3.0378,0.1412,0.101421,11347800
55,0.1304,2.6862,0.1761,0.10198,11347800
56,0.1,2.4719,0.1333,0.115156,11347800
57,0.1138,2.5069,0.1527,0.105693,11347800
58,0.1036,2.4529,0.1152,0.05322,11347800
59,0.1428,2.7888,0.1941,0.086121,11347800
60,0.154,2.3711,0.1415,0.065488,11347800
