round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.2942,2.0494,0.2594,0.002726,11347800
2,0.316,1.931,0.295,0.002811,11347800
3,0.2968,1.9628,0.2948,0.001315,11347800
4,0.3444,1.8466,0.3281,0.003457,11347800
5,0.345,1.8402,0.33,0.002789,11347800
6,0.3492,1.8218,0.3561,0.001364,11347800
7,0.3432,1.8402,0.3521,0.000643,11347800
8,0.3602,1.7839,0.3615,0.001329,11347800
9,0.3668,1.7823,0.3713,0.002908,11347800
10,0.3664,1.7789,0.3781,0.001132,11347800
11,0.3698,1.7571,0.3936,0.000996,11347800
12,0.3682,1.76,0.3976,0.002261,11347800
13,0.3752,1.7484,0.4002,0.00097,11347800
14,0.3788,1.7246,0.4052,0.000362,11347800
15,0.397,1.7146,0.4349,0.006454,11347800
16,0.3672,1.7709,0.4024,0.00136,11347800
17,0.3926,1.7137,0.4359,0.005768,11347800
18,0.3966,1.6878,0.4424,0.002547,11347800
19,0.3954,1.6854,0.4643,0.006865,11347800
20,0.4038,1.6614,0.4829,0.008773,11347800
21,0.393,1.6864,0.4528,0.001692,11347800
22,0.3986,1.6735,0.4741,0.009475,11347800
23,0.373,1.7298,0.4525,0.005951,11347800
24,0.3828,1.67,0.4704,0.004167,11347800
25,0.403,1.6586,0.5043,0.014069,11347800
26,0.4032,1.6566,0.5014,0.009583,11347800
27,0.409,1.6567,0.5053,0.008591,11347800
28,0.4138,1.6306,0.5282,0.009114,11347800
29,0.4106,1.6471,0.5212,0.014799,11347800
30,0.3988,1.6512,0.521,0.016073,11347800
31,0.4056,1.6518,0.5125,0.013546,11347800
32,0.4244,1.6162,0.5547,0.014887,11347800
33,0.4206,1.6251,0.5618,0.015423,11347800
34,0.4134,1.6524,0.5312,0.013989,11347800
35,0.4226,1.6099,0.5656,0.015802,11347800
36,0.3968,1.6729,0.547,0.018733,11347800
37,0.413,1.6345,0.5674,0.020311,11347800
38,0.4068,1.637,0.5741,0.020936,11347800
39,0.385,1.6938,0.537,0.020007,11347800
40,0.3866,1.6749,0.5479,0.023973,11347800
41,0.3974,1.6797,0.5795,0.028692,11347800
42,0.4262,1.6153,0.6016,0.023625,11347800
43,0.4094,1.6331,0.5866,0.025673,11347800
44,0.4152,1.6317,0.6113,0.026521,11347800
45,0.4036,1.6401,0.589,0.025205,11347800
46,0.4264,1.5996,0.6288,0.031534,11347800
47,0.4282,1.6026,0.6231,0.02882,11347800
48,0.4222,1.6083,0.6171,0.027137,11347800
49,0.4108,1.6456,0.6109,0.03245,11347800
50,0.4068,1.6409,0.63,0.03588,11347800
51,0.4268,1.5988,0.6426,0.031157,11347800
52,0.4084,1.6263,0.6143,0.030346,11347800
53,0.3972,1.6325,0.615,0.031132,11347800
54,0.427,1.5913,0.6661,0.031438,11347800
55,0.3882,1.6774,0.6098,0.034763,11347800
56,0.4242,1.6313,0.6622,0.037504,11347800
57,0.4104,1.6314,0.6315,0.034796,11347800
58,0.4114,1.635,0.6415,0.032772,11347800
59,0.4288,1.6045,0.6673,0.036995,11347800
60,0.4266,1.5969,0.677,0.03606,11347800
