round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1728,2.1739,0.0992,0.043013,7899420
2,0.2643,2.0954,0.1448,0.036685,7899420
3,0.4051,1.9659,0.292,0.048172,7899420
4,0.3439,1.8944,0.2019,0.0344,7899420
5,0.4577,1.7416,0.3143,0.054387,7899420
6,0.4461,1.7419,0.3254,0.06355,7899420
7,0.4755,1.6035,0.3587,0.082387,7899420
8,0.5047,1.5764,0.3462,0.065419,7899420
9,0.4529,1.5623,0.3492,0.078121,7899420
10,0.5205,1.5567,0.399,0.084772,7899420
11,0.4711,1.5267,0.3844,0.093905,7899420
12,0.5213,1.3669,0.428,0.037714,7899420
13,0.5069,1.475,0.3954,0.089439,7899420
14,0.5291,1.3125,0.4823,0.041947,7899420
15,0.4825,1.5218,0.3851,0.082546,7899420
16,0.5177,1.3206,0.4953,0.054801,7899420
17,0.4991,1.4412,0.394,0.091784,7899420
18,0.5343,1.2657,0.4885,0.032663,7899420
19,0.4997,1.3646,0.3958,0.091724,7899420
20,0.5165,1.2642,0.4418,0.072067,7899420
21,0.5307,1.2663,0.4087,0.090809,7899420
22,0.5163,1.2981,0.4297,0.050855,7899420
23,0.4881,1.4153,0.4095,0.090471,7899420
24,0.5441,1.1846,0.4798,0.038143,7899420
25,0.5041,1.3046,0.4434,0.055824,7899420
26,0.5093,1.2818,0.4203,0.086889,7899420
27,0.5187,1.226,0.4341,0.054089,7899420
28,0.5373,1.2013,0.4377,0.079789,7899420
29,0.5461,1.1735,0.4569,0.050301,7899420
30,0.5339,1.1863,0.4846,0.06183,7899420
31,0.5481,1.1426,0.4718,0.053339,7899420
32,0.5181,1.2336,0.4207,0.080851,7899420
33,0.5547,1.1553,0.4882,0.06047,7899420
34,0.5331,1.2077,0.435,0.085164,7899420
35,0.5151,1.1972,0.5061,0.039909,7899420
36,0.5211,1.2572,0.4214,0.093461,7899420
37,0.5487,1.1567,0.5239,0.022925,7899420
38,0.5263,1.1917,0.4702,0.060408,7899420
39,0.5569,1.1149,0.5196,0.037761,7899420
40,0.5679,1.1044,0.5281,0.049018,7899420
41,0.5337,1.1697,0.4423,0.059299,7899420
42,0.5821,1.0853,0.5596,0.028387,7899420
43,0.5433,1.1242,0.498,0.05096,7899420
44,0.6021,1.0323,0.5665,0.028081,7899420
45,0.5387,1.1594,0.4582,0.069884,7899420
46,0.5771,1.1025,0.5551,0.025032,7899420
47,0.5573,1.1763,0.463,0.080084,7899420
48,0.5337,1.0776,0.5026,0.05259,7899420
49,0.5249,1.2693,0.4328,0.090269,7899420
50,0.5275,1.0675,0.5026,0.058318,7899420
51,0.5633,1.1471,0.4933,0.07632,7899420
52,0.5837,1.0625,0.561,0.02235,7899420
53,0.5371,1.2068,0.4694,0.0646,7899420
54,0.5305,1.0721,0.5159,0.052385,7899420
55,0.5543,1.1319,0.5132,0.056856,7899420
56,0.5917,1.048,0.5624,0.021447,7899420
57,0.5725,1.0925,0.5346,0.047643,7899420
58,0.5883,1.0488,0.5753,0.024625,7899420
59,0.5289,1.2293,0.4802,0.073698,7899420
60,0.5973,1.0298,0.5734,0.022197,7899420
