round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.5271,1.5813,0.3894,0.002976,7899420
2,0.4885,1.2794,0.3657,0.001403,7899420
3,0.5875,1.214,0.4211,0.001629,7899420
4,0.5789,1.1745,0.449,0.000795,7899420
5,0.6159,0.9917,0.5405,0.000658,7899420
6,0.6671,0.9246,0.5889,0.000612,7899420
7,0.6255,1.0563,0.5373,0.002213,7899420
8,0.6523,0.9334,0.5623,0.000675,7899420
9,0.6519,0.9553,0.5797,0.001283,7899420
10,0.6603,0.934,0.5848,0.001689,7899420
11,0.6647,0.8809,0.5697,0.000748,7899420
12,0.6773,0.8793,0.6045,0.001489,7899420
13,0.7007,0.8216,0.6255,0.00091,7899420
14,0.7075,0.8053,0.6354,0.000877,7899420
15,0.6761,0.8558,0.6074,0.000419,7899420
16,0.6725,0.9033,0.6206,0.002809,7899420
17,0.6699,0.876,0.6296,0.001286,7899420
18,0.7089,0.7788,0.643,0.001807,7899420
19,0.6623,0.9172,0.6023,0.003836,7899420
20,0.7263,0.7384,0.6619,0.000585,7899420
21,0.7061,0.8123,0.6662,0.001092,7899420
22,0.7311,0.7651,0.6748,0.000687,7899420
23,0.7207,0.7796,0.6852,0.001038,7899420
24,0.6677,0.9221,0.6312,0.005823,7899420
25,0.6967,0.8813,0.6213,0.000963,7899420
26,0.7493,0.7112,0.6814,0.001819,7899420
27,0.6837,0.8795,0.6508,0.00176,7899420
28,0.7325,0.7876,0.6883,0.002681,7899420
29,0.7021,0.8422,0.6637,0.001633,7899420
30,0.6823,0.8451,0.6308,0.001796,7899420
31,0.6855,0.8667,0.6686,0.004417,7899420
32,0.7095,0.802,0.685,0.003787,7899420
33,0.7109,0.8202,0.6858,0.005084,7899420
34,0.7019,0.8278,0.6839,0.003316,7899420
35,0.6975,0.826,0.6579,0.004539,7899420
36,0.6973,0.8809,0.6673,0.005037,7899420
37,0.7149,0.812,0.6862,0.005379,7899420
38,0.6783,0.9222,0.6779,0.005701,7899420
39,0.6935,0.8797,0.6938,0.00703,7899420
40,0.6953,0.9102,0.6948,0.006204,7899420
41,0.7103,0.8569,0.7055,0.006523,7899420
42,0.6795,0.9234,0.6807,0.006467,7899420
43,0.6851,0.926,0.6971,0.006969,7899420
44,0.6643,1.0491,0.6701,0.006956,7899420
45,0.7031,0.8724,0.6916,0.008448,7899420
46,0.6919,1.013,0.693,0.007378,7899420
47,0.6961,0.9762,0.6881,0.006906,7899420
48,0.6807,0.988,0.683,0.007577,7899420
49,0.6575,1.0392,0.6927,0.008777,7899420
50,0.6919,0.9582,0.7059,0.008711,7899420
51,0.7029,0.9529,0.7135,0.009045,7899420
52,0.6655,1.09,0.687,0.009614,7899420
53,0.7087,0.9603,0.7168,0.008995,7899420
54,0.6945,1.0228,0.7126,0.0104,7899420
55,0.6989,0.9849,0.7201,0.010861,7899420
56,0.6933,1.0538,0.726,0.009397,7899420
57,0.7009,1.0182,0.7204,0.011178,7899420
58,0.7083,1.0217,0.7183,0.010228,7899420
59,0.6957,1.0567,0.7024,0.010082,7899420
60,0.6961,1.0301,0.7241,0.01268,7899420
